,Team,Month,No.,Set,AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,GameId,Spectators,Point,AEff%,BAEff%
0,JTサンダーズ広島,1,840,225,530,286,34,54.0,1.27,101,51,6,50.5,48,0.06,514,31,99,138,7.9,376,162,59,50.9,15526,161966,365,47.5,44.6
1,JTサンダーズ広島,10,531,124,298,152,16,51.0,1.23,65,37,7,56.9,40,0.11,297,21,54,69,8.3,188,112,36,69.1,6300,73780,213,45.6,46.2
2,JTサンダーズ広島,11,1164,329,851,390,58,45.8,1.19,171,84,18,49.1,49,0.04,651,28,127,142,4.9,607,258,133,53.5,15750,122724,467,39.0,38.6
3,JTサンダーズ広島,12,292,83,224,113,20,50.4,1.36,56,32,5,57.1,17,0.07,175,4,25,40,4.4,155,66,38,54.8,4522,46158,134,41.5,48.2
4,VC長野トライデンツ,1,788,184,562,263,36,46.8,1.43,99,47,10,47.5,38,0.07,453,10,61,127,5.8,408,180,87,54.8,12656,68684,311,40.4,37.4
5,VC長野トライデンツ,10,652,114,349,159,23,45.6,1.39,73,28,12,38.4,17,0.06,276,13,55,43,3.6,248,116,62,59.3,6216,69860,189,39.0,21.9
6,VC長野トライデンツ,11,1183,253,804,353,56,43.9,1.4,183,84,21,45.9,47,0.06,594,17,102,102,2.9,601,270,127,55.5,15498,110782,417,36.9,34.4
7,VC長野トライデンツ,12,322,53,144,64,11,44.4,1.21,13,4,2,30.8,6,0.04,110,1,17,17,0.9,116,62,15,59.9,4634,34300,71,36.8,15.4
8,ウルフドッグス名古屋,1,1141,183,556,263,40,47.3,1.44,132,67,16,50.8,57,0.1,469,8,71,107,3.6,372,175,92,59.4,15274,108934,328,40.1,38.6
9,ウルフドッグス名古屋,10,732,108,361,186,22,51.5,1.72,84,44,11,52.4,36,0.11,312,8,42,82,5.8,220,120,48,65.5,6076,179522,230,45.4,39.3
10,ウルフドッグス名古屋,11,1526,210,639,348,33,54.5,1.66,128,76,10,59.4,77,0.12,613,18,81,176,6.8,390,221,74,66.2,15512,133882,443,49.3,51.6
11,ウルフドッグス名古屋,12,371,87,266,124,18,46.6,1.43,63,36,5,57.1,29,0.07,213,6,29,47,4.9,178,74,56,57.3,4578,46872,159,39.8,49.2
12,サントリーサンバーズ,1,836,189,560,305,34,54.5,1.61,159,78,17,49.1,55,0.08,482,16,95,100,3.6,392,155,135,56.8,12628,111160,376,48.4,38.4
13,サントリーサンバーズ,10,754,130,406,202,28,49.8,1.55,107,57,11,53.3,32,0.07,354,12,62,89,5.3,262,101,79,53.6,6188,48370,246,42.9,43.0
14,サントリーサンバーズ,11,1460,273,794,436,56,54.9,1.6,230,130,23,56.5,65,0.06,711,29,130,177,5.7,525,234,117,55.7,15722,173950,530,47.9,46.5
15,サントリーサンバーズ,12,366,51,147,84,5,57.1,1.65,27,14,2,51.9,16,0.1,150,4,30,47,5.5,97,45,25,59.3,4606,22232,104,53.7,44.4
16,ジェイテクトSTINGS,1,817,179,540,297,38,55.0,1.66,135,79,13,58.5,38,0.07,474,27,84,148,9.1,341,153,68,54.8,14940,124129,362,48.0,48.9
17,ジェイテクトSTINGS,10,545,118,418,178,26,42.6,1.51,75,38,5,50.7,24,0.06,289,8,55,60,3.2,264,107,75,54.7,6160,142310,210,36.4,44.0
18,ジェイテクトSTINGS,11,1090,313,886,417,57,47.1,1.33,175,83,18,47.4,51,0.04,726,35,118,153,6.0,569,251,153,57.6,15568,217826,503,40.6,37.1
19,ジェイテクトSTINGS,12,282,59,149,89,7,59.7,1.51,35,20,2,57.1,11,0.06,147,12,26,32,9.2,93,57,18,71.0,4634,34300,112,55.0,51.4
20,パナソニックパンサーズ,1,900,171,558,280,37,50.2,1.64,94,45,10,47.9,40,0.06,475,13,55,87,4.4,364,173,94,60.4,12670,108500,333,43.5,37.2
