,Player,Team,No.,PlaySet,AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,GameId,Spectators,WinPoint,OpWinPoint,1setPoint,Op1setPoint,2setPoint,Op2setPoint,3setPoint,Op3setPoint,4setPoint,Op4setPoint,5setPoint,Op5setPoint,TotalPoint,OpTotalPoint,1setTime,2setTime,3setTime,4setTime,5setTime,GetSet,LostSet,TotalSet,Set,Point,AEff%,BAEff%
0,アラウジョスカルカルロスアルベルト,VC長野トライデンツ,16,6,47.0,20.0,4.0,42.6,3.33,19.0,8.0,3.0,42.1,5.0,0.83,13.0,0.0,3.0,5.0,3.8,0.0,0.0,0.0,,1806,1327.0,6.0,0.0,45.0,50.0,58.0,50.0,51.0,43.0,50.0,31.0,0.0,0.0,204.0,174.0,53,61,53,44,0.0,6,2,8.0,0.0,25.0,34.0,26.3
1,イノックモゲニ,大分三好ヴァイセアドラー,4,9,96.0,50.0,7.0,52.1,5.56,40.0,16.0,5.0,40.0,6.0,0.67,29.0,1.0,9.0,8.0,2.6,0.0,0.0,0.0,,1808,1580.0,1.0,5.0,42.0,42.0,41.0,46.0,48.0,45.0,39.0,50.0,10.0,15.0,180.0,198.0,45,46,51,48,17.0,3,6,9.0,0.0,57.0,44.8,27.5
2,エバデダンジェフリー宇意,富士通カワサキレッドスピリッツ,1,4,11.0,9.0,0.0,81.8,2.25,0.0,0.0,0.0,,5.0,1.25,7.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,50.0,901,576.0,0.0,3.0,25.0,23.0,31.0,33.0,19.0,25.0,18.0,25.0,0.0,0.0,93.0,106.0,27,35,25,22,0.0,1,3,0.0,4.0,14.0,81.8,
3,カンタパットクンミー,大分三好ヴァイセアドラー,8,4,25.0,15.0,0.0,60.0,3.75,5.0,4.0,0.0,80.0,1.0,0.25,14.0,0.0,4.0,5.0,1.8,8.0,3.0,2.0,50.0,1808,1580.0,1.0,5.0,42.0,42.0,41.0,46.0,48.0,45.0,39.0,50.0,10.0,15.0,180.0,198.0,45,46,51,48,17.0,3,6,9.0,0.0,16.0,60.0,80.0
4,ハリョーノドニ,VC長野トライデンツ,40,0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,1806,1327.0,6.0,0.0,45.0,50.0,58.0,50.0,51.0,43.0,50.0,31.0,0.0,0.0,204.0,174.0,53,61,53,44,0.0,6,2,8.0,0.0,0.0,,
5,マキネンペェトゥ,ヴォレアス北海道,16,3,7.0,3.0,0.0,42.9,1.0,0.0,0.0,0.0,,0.0,0.0,4.0,0.0,2.0,0.0,-12.5,16.0,7.0,1.0,46.9,1808,1580.0,5.0,1.0,42.0,42.0,46.0,41.0,45.0,48.0,50.0,39.0,15.0,10.0,198.0,180.0,45,46,51,48,17.0,6,3,0.0,9.0,3.0,42.9,
6,三輪大将,VC長野トライデンツ,38,8,34.0,20.0,2.0,58.8,2.5,0.0,0.0,0.0,,6.0,0.75,35.0,1.0,5.0,16.0,10.7,7.0,7.0,0.0,100.0,1806,1327.0,6.0,0.0,45.0,50.0,58.0,50.0,51.0,43.0,50.0,31.0,0.0,0.0,204.0,174.0,53,61,53,44,0.0,6,2,8.0,0.0,27.0,52.9,
7,下川諒,VC長野トライデンツ,10,8,2.0,2.0,0.0,100.0,0.25,0.0,0.0,0.0,,2.0,0.25,43.0,1.0,2.0,15.0,9.9,0.0,0.0,0.0,,1806,1327.0,6.0,0.0,45.0,50.0,58.0,50.0,51.0,43.0,50.0,31.0,0.0,0.0,204.0,174.0,53,61,53,44,0.0,6,2,8.0,0.0,5.0,100.0,
8,中村啓人,VC長野トライデンツ,34,7,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,1806,1327.0,6.0,0.0,45.0,50.0,58.0,50.0,51.0,43.0,50.0,31.0,0.0,0.0,204.0,174.0,53,61,53,44,0.0,6,2,8.0,0.0,0.0,,
9,中村竜輔,大分三好ヴァイセアドラー,12,5,4.0,2.0,0.0,50.0,0.4,0.0,0.0,0.0,,2.0,0.4,10.0,0.0,0.0,2.0,5.0,2.0,0.0,1.0,25.0,1808,1580.0,1.0,5.0,42.0,42.0,41.0,46.0,48.0,45.0,39.0,50.0,10.0,15.0,180.0,198.0,45,46,51,48,17.0,3,6,9.0,0.0,4.0,50.0,
10,久保田雅人,大分三好ヴァイセアドラー,26,9,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,48.0,27.0,8.0,64.6,1808,1580.0,1.0,5.0,42.0,42.0,41.0,46.0,48.0,45.0,39.0,50.0,10.0,15.0,180.0,198.0,45,46,51,48,17.0,3,6,9.0,0.0,0.0,,
11,井上仁,ヴォレアス北海道,14,8,16.0,11.0,1.0,68.8,1.38,0.0,0.0,0.0,,7.0,0.88,23.0,0.0,3.0,6.0,3.3,10.0,7.0,1.0,75.0,1808,1580.0,5.0,1.0,42.0,42.0,46.0,41.0,45.0,48.0,50.0,39.0,15.0,10.0,198.0,180.0,45,46,51,48,17.0,6,3,0.0,9.0,18.0,62.5,
12,井口直紀,大分三好ヴァイセアドラー,42,8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,15.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,,1808,1580.0,1.0,5.0,42.0,42.0,41.0,46.0,48.0,45.0,39.0,50.0,10.0,15.0,180.0,198.0,45,46,51,48,17.0,3,6,9.0,0.0,0.0,0.0,
13,伊藤樹,VC長野トライデンツ,12,1,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,1.0,0.0,-25.0,2.0,1.0,0.0,50.0,1806,1327.0,6.0,0.0,45.0,50.0,58.0,50.0,51.0,43.0,50.0,31.0,0.0,0.0,204.0,174.0,53,61,53,44,0.0,6,2,8.0,0.0,0.0,,
14,伊藤洸貴,大分三好ヴァイセアドラー,22,7,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,15.0,2.0,4.0,3.0,11.7,0.0,0.0,0.0,,1808,1580.0,1.0,5.0,42.0,42.0,41.0,46.0,48.0,45.0,39.0,50.0,10.0,15.0,180.0,198.0,45,46,51,48,17.0,3,6,9.0,0.0,2.0,0.0,
