,Player,Team,No.,PlaySet,AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,GameId,Spectators,WinPoint,OpWinPoint,1setPoint,Op1setPoint,2setPoint,Op2setPoint,3setPoint,Op3setPoint,4setPoint,Op4setPoint,5setPoint,Op5setPoint,TotalPoint,OpTotalPoint,1setTime,2setTime,3setTime,4setTime,5setTime,GetSet,LostSet,TotalSet,Set,Point,AEff%,BAEff%
0,エバデダンラリー,パナソニックパンサーズ,69,13,34.0,21.0,0.0,61.8,1.62,0.0,0.0,0.0,,1.0,0.08,46.0,1.0,6.0,8.0,3.3,1.0,0.0,0.0,0.0,851,7120.0,4.0,5.0,75.0,81.0,73.0,73.0,70.0,69.0,70.0,80.0,9.0,15.0,297.0,318.0,86,85,77,96.0,17.0,6,7,4.0,9.0,23.0,61.8,
1,クビアクミハウ,パナソニックパンサーズ,26,8,62.0,26.0,5.0,41.9,3.25,7.0,6.0,1.0,85.7,2.0,0.25,29.0,0.0,6.0,7.0,0.9,60.0,25.0,8.0,48.3,569,5005.0,3.0,3.0,46.0,50.0,48.0,51.0,45.0,46.0,48.0,55.0,0.0,0.0,187.0,202.0,52,57,50,64.0,0.0,4,4,4.0,4.0,28.0,33.9,71.4
2,クレクバルトシュ,ウルフドッグス名古屋,12,15,173.0,109.0,7.0,63.0,7.27,83.0,50.0,2.0,60.2,8.0,0.53,54.0,3.0,15.0,16.0,6.0,2.0,1.0,0.0,50.0,1136,14329.0,7.0,2.0,103.0,86.0,96.0,84.0,99.0,91.0,44.0,41.0,18.0,20.0,360.0,322.0,111,103,114,52.0,24.0,11,4,12.0,3.0,120.0,59.0,57.8
3,シャロンバーノンエバンズ,堺ブレイザーズ,39,10,91.0,46.0,7.0,50.5,4.6,36.0,19.0,6.0,52.8,3.0,0.3,38.0,0.0,11.0,4.0,-4.6,0.0,0.0,0.0,,851,6611.0,1.0,8.0,63.0,77.0,72.0,74.0,63.0,70.0,59.0,59.0,9.0,15.0,266.0,295.0,75,87,76,73.0,15.0,3,9,0.0,12.0,49.0,42.9,36.1
4,デアルマスアライン,サントリーサンバーズ,28,15,86.0,37.0,3.0,43.0,2.47,21.0,13.0,1.0,61.9,6.0,0.4,59.0,3.0,14.0,24.0,9.3,62.0,32.0,10.0,59.7,1138,13878.0,6.0,3.0,105.0,102.0,86.0,96.0,94.0,96.0,77.0,70.0,50.0,36.0,412.0,400.0,116,109,111,93.0,56.0,9,9,13.0,5.0,46.0,39.5,57.1
5,ムセルスキードミトリー,サントリーサンバーズ,52,17,181.0,109.0,6.0,60.2,6.41,95.0,54.0,5.0,56.8,4.0,0.24,62.0,5.0,23.0,9.0,2.4,0.0,0.0,0.0,,1138,13878.0,6.0,3.0,105.0,102.0,86.0,96.0,94.0,96.0,77.0,70.0,50.0,36.0,412.0,400.0,116,109,111,93.0,56.0,9,9,13.0,5.0,118.0,56.9,51.6
6,中野倭,ウルフドッグス名古屋,48,0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,849,7036.0,7.0,2.0,78.0,63.0,71.0,66.0,71.0,65.0,44.0,41.0,18.0,20.0,282.0,255.0,81,77,79,52.0,24.0,8,4,12.0,0.0,0.0,,
7,今村貴彦,パナソニックパンサーズ,9,0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,284,2308.0,3.0,0.0,27.0,25.0,28.0,26.0,20.0,25.0,32.0,30.0,0.0,0.0,107.0,106.0,27,34,25,38.0,0.0,3,1,4.0,0.0,0.0,,
8,仲本賢優,パナソニックパンサーズ,24,10,39.0,22.0,1.0,56.4,2.2,0.0,0.0,0.0,,1.0,0.1,38.0,0.0,5.0,13.0,5.3,57.0,35.0,8.0,68.4,851,7120.0,4.0,5.0,75.0,81.0,73.0,73.0,70.0,69.0,70.0,80.0,9.0,15.0,297.0,318.0,86,85,77,96.0,17.0,6,7,4.0,9.0,23.0,53.8,
9,伊賀亮平,パナソニックパンサーズ,48,13,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,52.0,30.0,7.0,64.4,851,7120.0,4.0,5.0,75.0,81.0,73.0,73.0,70.0,69.0,70.0,80.0,9.0,15.0,297.0,318.0,86,85,77,96.0,17.0,6,7,4.0,9.0,0.0,,
10,佐藤謙次,サントリーサンバーズ,48,8,9.0,8.0,0.0,88.9,1.0,0.0,0.0,0.0,,2.0,0.25,28.0,0.0,2.0,5.0,2.7,1.0,0.0,0.0,0.0,1138,13878.0,6.0,3.0,105.0,102.0,86.0,96.0,94.0,96.0,77.0,70.0,50.0,36.0,412.0,400.0,116,109,111,93.0,56.0,9,9,13.0,5.0,10.0,88.9,
11,傳田亮太,ウルフドッグス名古屋,44,15,25.0,16.0,1.0,64.0,1.07,0.0,0.0,0.0,,15.0,1.0,26.0,0.0,3.0,3.0,0.0,5.0,3.0,1.0,70.0,1136,14329.0,7.0,2.0,103.0,86.0,96.0,84.0,99.0,91.0,44.0,41.0,18.0,20.0,360.0,322.0,111,103,114,52.0,24.0,11,4,12.0,3.0,31.0,60.0,
12,出耒田敬,堺ブレイザーズ,21,9,24.0,16.0,3.0,66.7,1.78,0.0,0.0,0.0,,6.0,0.67,22.0,0.0,3.0,1.0,-2.3,3.0,0.0,0.0,0.0,851,6611.0,1.0,8.0,63.0,77.0,72.0,74.0,63.0,70.0,59.0,59.0,9.0,15.0,266.0,295.0,75,87,76,73.0,15.0,3,9,0.0,12.0,22.0,54.2,
13,前田一誠,ウルフドッグス名古屋,20,12,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,14.0,1.0,1.0,0.0,5.4,0.0,0.0,0.0,,1136,14329.0,7.0,2.0,103.0,86.0,96.0,84.0,99.0,91.0,44.0,41.0,18.0,20.0,360.0,322.0,111,103,114,52.0,24.0,11,4,12.0,3.0,1.0,,
14,喜入祥充,サントリーサンバーズ,45,0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,852,11661.0,4.0,2.0,80.0,82.0,65.0,71.0,69.0,78.0,50.0,41.0,35.0,27.0,299.0,299.0,94,82,88,58.0,41.0,6,7,8.0,5.0,0.0,,
15,垂水優芽,パナソニックパンサーズ,7,2,8.0,4.0,2.0,50.0,2.0,2.0,1.0,0.0,50.0,0.0,0.0,4.0,0.0,2.0,1.0,-6.2,7.0,5.0,0.0,71.4,282,2115.0,1.0,2.0,29.0,31.0,25.0,22.0,25.0,23.0,22.0,25.0,9.0,15.0,110.0,116.0,34,28,27,32.0,17.0,2,3,0.0,5.0,4.0,25.0,50.0
16,堀江友裕,堺ブレイザーズ,15,7,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,32.0,6.0,19.0,48.4,851,6611.0,1.0,8.0,63.0,77.0,72.0,74.0,63.0,70.0,59.0,59.0,9.0,15.0,266.0,295.0,75,87,76,73.0,15.0,3,9,0.0,12.0,0.0,,
17,大塚達宣,パナソニックパンサーズ,30,8,54.0,29.0,3.0,53.7,3.62,7.0,5.0,1.0,71.4,1.0,0.12,26.0,0.0,4.0,10.0,5.8,68.0,31.0,16.0,57.4,567,4812.0,1.0,5.0,48.0,56.0,45.0,47.0,50.0,44.0,38.0,50.0,9.0,15.0,190.0,212.0,59,51,52,58.0,17.0,3,6,0.0,9.0,30.0,48.1,57.1
18,大宅真樹,サントリーサンバーズ,36,15,2.0,1.0,0.0,50.0,0.07,0.0,0.0,0.0,,3.0,0.2,55.0,0.0,14.0,7.0,-3.2,1.0,0.0,0.0,0.0,1138,13878.0,6.0,3.0,105.0,102.0,86.0,96.0,94.0,96.0,77.0,70.0,50.0,36.0,412.0,400.0,116,109,111,93.0,56.0,9,9,13.0,5.0,4.0,50.0,
19,小宮雄一郎,パナソニックパンサーズ,66,0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,851,7120.0,4.0,5.0,75.0,81.0,73.0,73.0,70.0,69.0,70.0,80.0,9.0,15.0,297.0,318.0,86,85,77,96.0,17.0,6,7,4.0,9.0,0.0,,
20,小山貴稀,ウルフドッグス名古屋,26,0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,572,9990.0,3.0,0.0,50.0,42.0,50.0,38.0,49.0,51.0,25.0,16.0,0.0,0.0,174.0,147.0,55,49,60,26.0,0.0,6,1,4.0,3.0,0.0,,
21,小川智大,ウルフドッグス名古屋,96,15,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,71.0,43.0,14.0,70.4,1136,14329.0,7.0,2.0,103.0,86.0,96.0,84.0,99.0,91.0,44.0,41.0,18.0,20.0,360.0,322.0,111,103,114,52.0,24.0,11,4,12.0,3.0,0.0,,
22,小野遥輝,サントリーサンバーズ,12,12,23.0,13.0,3.0,56.5,1.08,0.0,0.0,0.0,,3.0,0.25,33.0,0.0,8.0,4.0,-3.0,3.0,2.0,0.0,66.7,1138,13878.0,6.0,3.0,105.0,102.0,86.0,96.0,94.0,96.0,77.0,70.0,50.0,36.0,412.0,400.0,116,109,111,93.0,56.0,9,9,13.0,5.0,16.0,43.5,
23,山内晶大,パナソニックパンサーズ,30,13,34.0,20.0,0.0,58.8,1.54,0.0,0.0,0.0,,5.0,0.38,52.0,1.0,1.0,14.0,8.2,2.0,1.0,0.0,50.0,851,7120.0,4.0,5.0,75.0,81.0,73.0,73.0,70.0,69.0,70.0,80.0,9.0,15.0,297.0,318.0,86,85,77,96.0,17.0,6,7,4.0,9.0,26.0,58.8,
24,山口頌平,堺ブレイザーズ,42,10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,0.2,14.0,2.0,1.0,4.0,19.6,0.0,0.0,0.0,,851,6611.0,1.0,8.0,63.0,77.0,72.0,74.0,63.0,70.0,59.0,59.0,9.0,15.0,266.0,295.0,75,87,76,73.0,15.0,3,9,0.0,12.0,4.0,0.0,
25,山崎彰都,ウルフドッグス名古屋,104,15,70.0,38.0,5.0,54.3,2.53,6.0,2.0,2.0,33.3,2.0,0.13,57.0,2.0,9.0,17.0,7.0,79.0,48.0,9.0,66.5,1136,14329.0,7.0,2.0,103.0,86.0,96.0,84.0,99.0,91.0,44.0,41.0,18.0,20.0,360.0,322.0,111,103,114,52.0,24.0,11,4,12.0,3.0,42.0,47.1,0.0
26,山本智大,堺ブレイザーズ,60,7,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,26.0,19.0,2.0,76.9,851,6611.0,1.0,8.0,63.0,77.0,72.0,74.0,63.0,70.0,59.0,59.0,9.0,15.0,266.0,295.0,75,87,76,73.0,15.0,3,9,0.0,12.0,0.0,,
27,山本龍,サントリーサンバーズ,20,6,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,3.0,0.5,14.0,1.0,2.0,3.0,8.9,0.0,0.0,0.0,,1138,13878.0,6.0,3.0,105.0,102.0,86.0,96.0,94.0,96.0,77.0,70.0,50.0,36.0,412.0,400.0,116,109,111,93.0,56.0,9,9,13.0,5.0,4.0,,
