,Player,Team,No.,Set,AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,GameId,Spectators,Point,AEff%,BAEff%
0,アラウジョスカルカルロスアルベルト,VC長野トライデンツ,136,56,476,209,35,43.9,3.73,212,92,25,43.4,17,0.3,159,5,44,26,0.3,1,1,0,100.0,2455,18945,231,36.6,31.6
1,アラウージョラファエル,東京グレートベアーズ,320,56,571,282,52,49.4,5.04,240,116,24,48.3,20,0.36,206,11,50,56,6.1,14,2,3,25.0,2474,27073,313,40.3,38.3
2,イノックモゲニ,大分三好ヴァイセアドラー,34,58,477,236,45,49.5,4.07,186,95,23,51.1,21,0.36,203,19,55,49,8.6,3,1,1,50.0,2583,16019,276,40.0,38.7
3,ウルナウトティネ,ジェイテクトSTINGS,180,62,470,199,31,42.3,3.21,79,35,4,44.3,12,0.19,275,26,42,87,13.5,458,198,124,56.8,2641,34102,237,35.7,39.2
4,エバデダンラリー,パナソニックパンサーズ,138,25,64,40,3,62.5,1.6,0,0,0,,9,0.36,83,0,10,8,-0.6,3,2,1,83.3,1101,9966,49,57.8,
5,カンタパットクンミー,大分三好ヴァイセアドラー,64,49,273,127,19,46.5,2.59,52,31,6,59.6,18,0.37,150,5,27,45,6.3,393,114,88,40.2,2407,15459,150,39.6,48.1
6,クビアクミハウ,パナソニックパンサーズ,260,84,636,312,56,49.1,3.71,102,58,10,56.9,19,0.23,321,19,55,67,6.9,516,244,143,61.1,2988,34500,350,40.3,47.1
7,クレクバルトシュ,ウルフドッグス名古屋,51,56,590,319,34,54.1,5.7,223,128,17,57.4,37,0.66,201,8,52,67,5.8,16,5,5,46.9,2462,30915,364,48.3,49.8
8,シャロンバーノンエバンズ,堺ブレイザーズ,247,67,627,335,32,53.4,5.0,201,103,20,51.2,34,0.51,270,23,84,72,7.4,10,4,3,55.0,2843,20963,392,48.3,41.3
9,デアルマスアライン,サントリーサンバーズ,112,60,389,214,21,55.0,3.57,119,69,8,58.0,24,0.4,222,9,46,82,8.1,192,59,54,44.8,2295,21647,247,49.6,51.3
10,ハリョーノドニ,VC長野トライデンツ,360,37,205,80,21,39.0,2.16,14,8,4,57.1,11,0.3,104,1,19,31,3.8,274,121,68,56.6,2695,20000,92,28.8,28.6
11,パダルクリスティアン,東レアローズ,280,79,755,387,58,51.3,4.9,261,140,28,53.6,22,0.28,317,34,96,104,11.4,53,28,13,65.1,2991,27899,443,43.6,42.9
12,ムセルスキードミトリー,サントリーサンバーズ,221,64,618,327,52,52.9,5.11,274,142,33,51.8,21,0.33,206,13,65,59,5.6,2,1,0,50.0,2467,23820,361,44.5,39.8
13,ラッセルアーロン・ジョセフ,JTサンダーズ広島,84,48,371,190,20,51.2,3.96,79,40,4,50.6,24,0.5,216,26,34,86,18.1,319,150,54,55.5,2085,20139,240,45.8,45.6
14,三輪大将,VC長野トライデンツ,380,72,251,144,16,57.4,2.0,0,0,0,,22,0.31,262,7,38,56,4.4,46,33,8,80.4,2981,21200,173,51.0,
15,上條レイモンド,東レアローズ,320,39,107,64,8,59.8,1.64,1,0,0,0.0,11,0.28,94,5,39,15,-1.1,15,7,4,60.0,2991,27899,80,52.3,0.0
