Team,GetSet,GetPoint,1SetPoint,2SetPoint,3SetPoint,4SetPoint,5SetPoint,TotalPoint,AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,TF,OpE,OpTeam,LostSet,LostPoint,Op1SetPoint,Op2SetPoint,Op3SetPoint,Op4SetPoint,Op5SetPoint,OpTotalPoint,OpAA,OpAP,OpAE,OpASucc%,OpAP/S,OpBAA,OpBAP,OpBAE,OpBASucc%,OpBP,OpBP/S,OpSVA,OpSVP,OpSVE,OpSVx,OpSVEff%,OpRA,OpRx,OpRg,OpRSucc%,OpTF,OpOpE,GameId,Date,Place,Venue,Spectators,StartTime,EndTime,GameTime,JURY,ChiefUmpire,SubUmpire,Judge,TotalSet
ウルフドッグス名古屋,3,3,25,25,25,,,75.0,74.0,48.0,3.0,64.9,16.0,25.0,16.0,1.0,64.0,9.0,3.0,74.0,2.0,16.0,11.0,1.0,47.0,33.0,7.0,77.7,1.0,16,堺ブレイザーズ,0,0,18,21,20,,,59.0,76,33,2,43.4,11.00,17,8,1,47.1,5,1.67,60,1,12,7,-0.4,58,40.0,5.0,73.3,2.0,20,281,2023-04-08,京都府,島津アリーナ京都,2086.0,12:00,13:26,1:26,高橋憲太郎,山本晋五,林淳一,槇隆道,3
堺ブレイザーズ,0,0,18,21,20,,,59.0,76.0,33.0,2.0,43.4,11.0,17.0,8.0,1.0,47.1,5.0,1.67,60.0,1.0,12.0,7.0,-0.4,58.0,40.0,5.0,73.3,2.0,20,ウルフドッグス名古屋,3,3,25,25,25,,,75.0,74,48,3,64.9,16.00,25,16,1,64.0,9,3.00,74,2,16,11,1.0,47,33.0,7.0,77.7,1.0,16,281,2023-04-08,京都府,島津アリーナ京都,2086.0,12:00,13:26,1:26,高橋憲太郎,山本晋五,林淳一,槇隆道,3
サントリーサンバーズ,3,2,31,22,23,25,15,116.0,139.0,76.0,6.0,54.7,15.2,50.0,29.0,3.0,58.0,6.0,1.2,116.0,1.0,23.0,25.0,1.3,88.0,52.0,8.0,63.6,2.0,33,パナソニックパンサーズ,2,1,29,25,25,22,9,110.0,137,70,11,51.1,14.00,17,7,3,41.2,5,1.00,110,4,20,26,5.0,92,58.0,9.0,67.9,2.0,31,282,2023-04-08,京都府,島津アリーナ京都,2115.0,15:00,17:30,2:30,田野昭彦,千代延靖夫,澤達大,平野尚宜,5
パナソニックパンサーズ,2,1,29,25,25,22,9,110.0,137.0,70.0,11.0,51.1,14.0,17.0,7.0,3.0,41.2,5.0,1.0,110.0,4.0,20.0,26.0,5.0,92.0,58.0,9.0,67.9,2.0,31,サントリーサンバーズ,3,2,31,22,23,25,15,116.0,139,76,6,54.7,15.20,50,29,3,58.0,6,1.20,116,1,23,25,1.3,88,52.0,8.0,63.6,2.0,33,282,2023-04-08,京都府,島津アリーナ京都,2115.0,15:00,17:30,2:30,田野昭彦,千代延靖夫,澤達大,平野尚宜,5
ウルフドッグス名古屋,2,1,28,21,25,19,18,111.0,113.0,67.0,7.0,59.3,13.4,24.0,18.0,1.0,75.0,9.0,1.8,111.0,4.0,17.0,19.0,4.1,91.0,54.0,14.0,67.0,2.0,31,サントリーサンバーズ,3,2,26,25,20,25,20,116.0,113,75,5,66.4,15.00,38,28,1,73.7,10,2.00,116,5,22,21,4.1,93,42.0,29.0,60.8,4.0,26,283,2023-04-09,京都府,島津アリーナ京都,2253.0,12:00,14:26,2:26,高橋憲太郎,原啓之,林淳一,三瀧翔平,5
サントリーサンバーズ,3,2,26,25,20,25,20,116.0,113.0,75.0,5.0,66.4,15.0,38.0,28.0,1.0,73.7,10.0,2.0,116.0,5.0,22.0,21.0,4.1,93.0,42.0,29.0,60.8,4.0,26,ウルフドッグス名古屋,2,1,28,21,25,19,18,111.0,113,67,7,59.3,13.40,24,18,1,75.0,9,1.80,111,4,17,19,4.1,91,54.0,14.0,67.0,2.0,31,283,2023-04-09,京都府,島津アリーナ京都,2253.0,12:00,14:26,2:26,高橋憲太郎,原啓之,林淳一,三瀧翔平,5
パナソニックパンサーズ,3,3,27,28,20,32,,107.0,121.0,61.0,3.0,50.4,15.25,17.0,8.0,0.0,47.1,7.0,1.75,106.0,2.0,11.0,29.0,6.1,83.0,48.0,11.0,64.5,2.0,37,堺ブレイザーズ,1,0,25,26,25,30,,106.0,131,71,12,54.2,17.75,27,16,3,59.3,12,3.00,107,7,20,22,7.0,94,54.0,11.0,63.3,5.0,16,284,2023-04-09,京都府,島津アリーナ京都,2308.0,15:20,17:33,2:13,田野昭彦,戸川太輔,澤達大,元木麗,4
堺ブレイザーズ,1,0,25,26,25,30,,106.0,131.0,71.0,12.0,54.2,17.75,27.0,16.0,3.0,59.3,12.0,3.0,107.0,7.0,20.0,22.0,7.0,94.0,54.0,11.0,63.3,5.0,16,パナソニックパンサーズ,3,3,27,28,20,32,,107.0,121,61,3,50.4,15.25,17,8,0,47.1,7,1.75,106,2,11,29,6.1,83,48.0,11.0,64.5,2.0,37,284,2023-04-09,京都府,島津アリーナ京都,2308.0,15:20,17:33,2:13,田野昭彦,戸川太輔,澤達大,元木麗,4
ウルフドッグス名古屋,3,3,25,25,21,25,,96.0,101.0,59.0,4.0,58.4,14.75,27.0,17.0,2.0,63.0,12.0,3.0,95.0,5.0,19.0,29.0,7.9,70.0,27.0,17.0,50.7,1.0,20,パナソニックパンサーズ,1,0,19,20,25,16,,80.0,98,51,7,52.0,12.75,14,6,3,42.9,4,1.00,81,1,11,25,5.6,74,23.0,19.0,43.9,2.0,24,285,2023-04-16,愛知県,豊田市総合体育館,2697.0,12:05,13:53,1:48,髙橋憲太郎,冨田博一,山本晋五,山岸玲央,4
パナソニックパンサーズ,1,0,19,20,25,16,,80.0,98.0,51.0,7.0,52.0,12.75,14.0,6.0,3.0,42.9,4.0,1.0,81.0,1.0,11.0,25.0,5.6,74.0,23.0,19.0,43.9,2.0,24,ウルフドッグス名古屋,3,3,25,25,21,25,,96.0,101,59,4,58.4,14.75,27,17,2,63.0,12,3.00,95,5,19,29,7.9,70,27.0,17.0,50.7,1.0,20,285,2023-04-16,愛知県,豊田市総合体育館,2697.0,12:05,13:53,1:48,髙橋憲太郎,冨田博一,山本晋五,山岸玲央,4
