Team,GetSet,GetPoint,1SetPoint,2SetPoint,3SetPoint,4SetPoint,5SetPoint,TotalPoint,AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,TF,OpE,OpTeam,LostSet,LostPoint,Op1SetPoint,Op2SetPoint,Op3SetPoint,Op4SetPoint,Op5SetPoint,OpTotalPoint,OpAA,OpAP,OpAE,OpASucc%,OpAP/S,OpBAA,OpBAP,OpBAE,OpBASucc%,OpBP,OpBP/S,OpSVA,OpSVP,OpSVE,OpSVx,OpSVEff%,OpRA,OpRx,OpRg,OpRSucc%,OpTF,OpOpE,GameId,Date,Place,Venue,Spectators,StartTime,EndTime,GameTime,JURY,ChiefUmpire,SubUmpire,Judge
ウルフドッグス名古屋,3,3,27,25,25,,,77,73,39,6,53.4,13.00,17,8,4,47.1,14,4.67,75,1,7,16,4.3,48,23.0,15.0,63.5,3.0,23,ジェイテクトSTINGS,0,0,25,18,19,,,62,99,41,7,41.4,13.67,22,11,1,50.0,5,1.67,64,0,16,10,-2.3,68,31.0,20.0,60.3,0.0,16,101,2022/10/22,愛知県,豊田合成記念体育館,2500,13:05,14:49,1:44,利根川忠史,村中伸,沢田元,姫野真行
ジェイテクトSTINGS,0,0,25,18,19,,,62,99,41,7,41.4,13.67,22,11,1,50.0,5,1.67,64,0,16,10,-2.3,68,31.0,20.0,60.3,0.0,16,ウルフドッグス名古屋,3,3,27,25,25,,,77,73,39,6,53.4,13.00,17,8,4,47.1,14,4.67,75,1,7,16,4.3,48,23.0,15.0,63.5,3.0,23,101,2022/10/22,愛知県,豊田合成記念体育館,2500,13:05,14:49,1:44,利根川忠史,村中伸,沢田元,姫野真行
ウルフドッグス名古屋,0,0,23,21,22,,,66,90,38,6,42.2,12.67,23,9,3,39.1,9,3.00,68,2,13,19,5.1,61,33.0,11.0,63.1,3.0,17,ジェイテクトSTINGS,3,3,25,25,25,,,75,97,41,4,42.3,13.67,17,9,1,52.9,7,2.33,73,5,11,13,7.5,54,26.0,8.0,55.6,2.0,22,106,2022/10/23,愛知県,豊田合成記念体育館,2603,13:05,14:54,1:49,利根川忠史,中山健,村中伸,戸田幸喜
ジェイテクトSTINGS,3,3,25,25,25,,,75,97,41,4,42.3,13.67,17,9,1,52.9,7,2.33,73,5,11,13,7.5,54,26.0,8.0,55.6,2.0,22,ウルフドッグス名古屋,0,0,23,21,22,,,66,90,38,6,42.2,12.67,23,9,3,39.1,9,3.00,68,2,13,19,5.1,61,33.0,11.0,63.1,3.0,17,106,2022/10/23,愛知県,豊田合成記念体育館,2603,13:05,14:54,1:49,利根川忠史,中山健,村中伸,戸田幸喜
堺ブレイザーズ,3,3,22,25,25,25,,97,111,55,4,49.5,13.75,24,15,2,62.5,7,1.75,96,9,14,31,13.8,67,31.0,20.0,61.2,3.0,26,大分三好ヴァイセアドラー,1,0,25,16,16,23,,80,107,44,7,41.1,11.00,21,14,1,66.7,11,2.75,81,4,14,12,4.3,78,24.0,18.0,42.3,5.0,21,102,2022/10/22,大阪府,日本製鉄堺体育館,437,13:00,14:58,1:58,塚本健,服部篤史,江口祐一郎,和佐田信行
大分三好ヴァイセアドラー,1,0,25,16,16,23,,80,107,44,7,41.1,11.00,21,14,1,66.7,11,2.75,81,4,14,12,4.3,78,24.0,18.0,42.3,5.0,21,堺ブレイザーズ,3,3,22,25,25,25,,97,111,55,4,49.5,13.75,24,15,2,62.5,7,1.75,96,9,14,31,13.8,67,31.0,20.0,61.2,3.0,26,102,2022/10/22,大阪府,日本製鉄堺体育館,437,13:00,14:58,1:58,塚本健,服部篤史,江口祐一郎,和佐田信行
堺ブレイザーズ,3,3,25,25,25,,,75,60,35,5,58.3,11.67,16,10,2,62.5,8,2.67,74,1,9,23,6.1,40,14.0,12.0,50.0,2.0,31,大分三好ヴァイセアドラー,0,0,16,19,22,,,57,82,35,10,42.7,11.67,20,8,3,40.0,1,0.33,58,5,16,11,6.5,63,21.0,18.0,47.6,5.0,16,107,2022/10/23,大阪府,日本製鉄堺体育館,399,13:00,14:20,1:20,塚本健,正岡卓,服部篤史,和佐田信行
大分三好ヴァイセアドラー,0,0,16,19,22,,,57,82,35,10,42.7,11.67,20,8,3,40.0,1,0.33,58,5,16,11,6.5,63,21.0,18.0,47.6,5.0,16,堺ブレイザーズ,3,3,25,25,25,,,75,60,35,5,58.3,11.67,16,10,2,62.5,8,2.67,74,1,9,23,6.1,40,14.0,12.0,50.0,2.0,31,107,2022/10/23,大阪府,日本製鉄堺体育館,399,13:00,14:20,1:20,塚本健,正岡卓,服部篤史,和佐田信行
パナソニックパンサーズ,3,3,25,25,25,,,75,81,37,6,45.7,12.33,11,5,2,45.5,14,4.67,73,5,6,14,9.6,49,28.0,8.0,65.3,1.0,19,東京グレートベアーズ,0,0,22,19,17,,,58,84,39,6,46.4,13.00,15,5,2,33.3,4,1.33,60,2,10,12,4.2,63,37.0,11.0,67.5,3.0,13,103,2022/10/22,大阪府,パナソニックアリーナ,2255,14:00,15:27,1:27,中馬義郎,戸川太輔,中口岳,藤澤涼加
東京グレートベアーズ,0,0,22,19,17,,,58,84,39,6,46.4,13.00,15,5,2,33.3,4,1.33,60,2,10,12,4.2,63,37.0,11.0,67.5,3.0,13,パナソニックパンサーズ,3,3,25,25,25,,,75,81,37,6,45.7,12.33,11,5,2,45.5,14,4.67,73,5,6,14,9.6,49,28.0,8.0,65.3,1.0,19,103,2022/10/22,大阪府,パナソニックアリーナ,2255,14:00,15:27,1:27,中馬義郎,戸川太輔,中口岳,藤澤涼加
パナソニックパンサーズ,3,3,25,25,25,,,75,67,35,1,52.2,11.67,12,4,1,33.3,8,2.67,72,4,9,21,9.7,38,18.0,11.0,61.8,6.0,28,東京グレートベアーズ,0,0,18,15,20,,,53,88,30,7,34.1,10.00,19,6,3,31.6,5,1.67,54,2,16,7,-0.5,63,22.0,16.0,47.6,5.0,16,108,2022/10/23,大阪府,パナソニックアリーナ,2101,14:00,15:27,1:27,中馬義郎,西中野健,戸川太輔,田中清
東京グレートベアーズ,0,0,18,15,20,,,53,88,30,7,34.1,10.00,19,6,3,31.6,5,1.67,54,2,16,7,-0.5,63,22.0,16.0,47.6,5.0,16,パナソニックパンサーズ,3,3,25,25,25,,,75,67,35,1,52.2,11.67,12,4,1,33.3,8,2.67,72,4,9,21,9.7,38,18.0,11.0,61.8,6.0,28,108,2022/10/23,大阪府,パナソニックアリーナ,2101,14:00,15:27,1:27,中馬義郎,西中野健,戸川太輔,田中清
サントリーサンバーズ,3,3,25,25,25,25,,100,112,65,5,58.0,16.25,32,18,0,56.2,9,2.25,99,1,14,22,3.0,70,26.0,25.0,55.0,2.0,25,東レアローズ,1,0,21,27,18,21,,87,110,57,5,51.8,14.25,27,14,2,51.9,7,1.75,88,2,18,17,2.0,84,45.0,17.0,63.7,2.0,21,104,2022/10/22,大阪府,第一総合運動場,1147,15:05,17:09,2:04,酒出修,原啓之,岡田崇,安田悠司
東レアローズ,1,0,21,27,18,21,,87,110,57,5,51.8,14.25,27,14,2,51.9,7,1.75,88,2,18,17,2.0,84,45.0,17.0,63.7,2.0,21,サントリーサンバーズ,3,3,25,25,25,25,,100,112,65,5,58.0,16.25,32,18,0,56.2,9,2.25,99,1,14,22,3.0,70,26.0,25.0,55.0,2.0,25,104,2022/10/22,大阪府,第一総合運動場,1147,15:05,17:09,2:04,酒出修,原啓之,岡田崇,安田悠司
サントリーサンバーズ,1,0,21,25,23,19,,88,110,37,12,33.6,9.25,27,8,4,29.6,9,2.25,89,4,15,29,8.4,74,30.0,17.0,52.0,5.0,38,東レアローズ,3,3,25,22,25,25,,97,122,53,10,43.4,13.25,25,14,2,56.0,9,2.25,96,3,22,24,3.6,72,21.0,20.0,43.1,6.0,32,109,2022/10/23,大阪府,第一総合運動場,908,15:05,17:18,2:13,酒出修,林淳一,原啓之 ,安田悠司
東レアローズ,3,3,25,22,25,25,,97,122,53,10,43.4,13.25,25,14,2,56.0,9,2.25,96,3,22,24,3.6,72,21.0,20.0,43.1,6.0,32,サントリーサンバーズ,1,0,21,25,23,19,,88,110,37,12,33.6,9.25,27,8,4,29.6,9,2.25,89,4,15,29,8.4,74,30.0,17.0,52.0,5.0,38,109,2022/10/23,大阪府,第一総合運動場,908,15:05,17:18,2:13,酒出修,林淳一,原啓之 ,安田悠司
JTサンダーズ広島,3,3,25,25,25,,,75,74,40,6,54.1,13.33,16,11,2,68.8,8,2.67,74,7,14,9,7.8,47,31.0,10.0,76.6,1.0,20,VC長野トライデンツ,0,0,19,22,20,,,61,76,38,4,50.0,12.67,16,7,2,43.8,1,0.33,62,1,15,5,-2.4,55,33.0,11.0,70.0,1.0,21,105,2022/10/22,広島県,広島県立総合体育館,1590,13:00,14:28,1:28,石井洋壮,千代延靖夫,弘中秀治,奥先裕美
VC長野トライデンツ,0,0,19,22,20,,,61,76,38,4,50.0,12.67,16,7,2,43.8,1,0.33,62,1,15,5,-2.4,55,33.0,11.0,70.0,1.0,21,JTサンダーズ広島,3,3,25,25,25,,,75,74,40,6,54.1,13.33,16,11,2,68.8,8,2.67,74,7,14,9,7.8,47,31.0,10.0,76.6,1.0,20,105,2022/10/22,広島県,広島県立総合体育館,1590,13:00,14:28,1:28,石井洋壮,千代延靖夫,弘中秀治,奥先裕美
JTサンダーズ広島,3,3,26,25,25,,,76,82,39,5,47.6,13.00,22,10,4,45.5,14,4.67,75,4,10,15,7.0,52,25.0,17.0,64.4,4.0,19,VC長野トライデンツ,0,0,24,22,15,,,61,93,35,9,37.6,11.67,18,7,5,38.9,6,2.00,62,1,10,9,1.2,62,34.0,12.0,64.5,0.0,19,110,2022/10/23,広島県,広島県立総合体育館,2000,13:05,14:39,1:34,石井洋壮,本間明,千代延靖夫,奥先裕美
