No.,L,Player,PlaySet,1set,2set,3set,4set,5set,AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,GameId,Date,Place,Venue,Spectators,StartTime,EndTime,GameTime,JURY,ChiefUmpire,SubUmpire,Judge,Team,Op.Team,WinPoint,OpWinPoint,1setPoint,Op1setPoint,2setPoint,Op2setPoint,3setPoint,Op3setPoint,4setPoint,Op4setPoint,5setPoint,Op5setPoint,TotalPoint,OpTotalPoint,1setTime,2setTime,3setTime,4setTime,5setTime,TotalTime,GetSet,LostSet,TotalSet,Set,Point
1,,濱田真友,2,,□,□,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,911,2023-04-08,新潟県,シティホールプラザ アオーレ長岡,750.0,11:00,12:15,1:15,大塚達也,本間明,菅原潤,鷲尾正吾,岡山シーガルズ,群馬銀行グリーンウイングス,3.0,0.0,25.0,18.0,25.0,12.0,25.0,18.0,,,,,75.0,48.0,23,20,26,,,1:09,3,0,3.0,,0.0
2,,佐伯亜魅加,1,,,□,,,3.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,25.0,911,2023-04-08,新潟県,シティホールプラザ アオーレ長岡,750.0,11:00,12:15,1:15,大塚達也,本間明,菅原潤,鷲尾正吾,岡山シーガルズ,群馬銀行グリーンウイングス,3.0,0.0,25.0,18.0,25.0,12.0,25.0,18.0,,,,,75.0,48.0,23,20,26,,,1:09,3,0,3.0,,0.0
5,,宇賀神みずき,3,■,■,■,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,2.0,0.67,13.0,0.0,0.0,2.0,3.8,0.0,0.0,0.0,,911,2023-04-08,新潟県,シティホールプラザ アオーレ長岡,750.0,11:00,12:15,1:15,大塚達也,本間明,菅原潤,鷲尾正吾,岡山シーガルズ,群馬銀行グリーンウイングス,3.0,0.0,25.0,18.0,25.0,12.0,25.0,18.0,,,,,75.0,48.0,23,20,26,,,1:09,3,0,3.0,,2.0
7,,スークソッドタナッチャ,3,■,■,■,,,15.0,6.0,2.0,40.0,2.0,0.0,0.0,0.0,,3.0,1.0,9.0,0.0,2.0,3.0,2.8,3.0,1.0,2.0,66.7,911,2023-04-08,新潟県,シティホールプラザ アオーレ長岡,750.0,11:00,12:15,1:15,大塚達也,本間明,菅原潤,鷲尾正吾,岡山シーガルズ,群馬銀行グリーンウイングス,3.0,0.0,25.0,18.0,25.0,12.0,25.0,18.0,,,,,75.0,48.0,23,20,26,,,1:09,3,0,3.0,,9.0
8,,及川真夢,1,,□,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,911,2023-04-08,新潟県,シティホールプラザ アオーレ長岡,750.0,11:00,12:15,1:15,大塚達也,本間明,菅原潤,鷲尾正吾,岡山シーガルズ,群馬銀行グリーンウイングス,3.0,0.0,25.0,18.0,25.0,12.0,25.0,18.0,,,,,75.0,48.0,23,20,26,,,1:09,3,0,3.0,,0.0
9,,高柳有里,3,■,■,■,,,28.0,11.0,0.0,39.3,3.67,0.0,0.0,0.0,,3.0,1.0,13.0,1.0,1.0,3.0,11.5,11.0,5.0,2.0,54.5,911,2023-04-08,新潟県,シティホールプラザ アオーレ長岡,750.0,11:00,12:15,1:15,大塚達也,本間明,菅原潤,鷲尾正吾,岡山シーガルズ,群馬銀行グリーンウイングス,3.0,0.0,25.0,18.0,25.0,12.0,25.0,18.0,,,,,75.0,48.0,23,20,26,,,1:09,3,0,3.0,,15.0
11,L,城戸陽菜,3,〇,〇,〇,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,911,2023-04-08,新潟県,シティホールプラザ アオーレ長岡,750.0,11:00,12:15,1:15,大塚達也,本間明,菅原潤,鷲尾正吾,岡山シーガルズ,群馬銀行グリーンウイングス,3.0,0.0,25.0,18.0,25.0,12.0,25.0,18.0,,,,,75.0,48.0,23,20,26,,,1:09,3,0,3.0,,0.0
13,,遠藤彩萌,2,,□,□,,,5.0,2.0,0.0,40.0,1.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,911,2023-04-08,新潟県,シティホールプラザ アオーレ長岡,750.0,11:00,12:15,1:15,大塚達也,本間明,菅原潤,鷲尾正吾,岡山シーガルズ,群馬銀行グリーンウイングス,3.0,0.0,25.0,18.0,25.0,12.0,25.0,18.0,,,,,75.0,48.0,23,20,26,,,1:09,3,0,3.0,,2.0
14,,宮下遥,0,,,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,911,2023-04-08,新潟県,シティホールプラザ アオーレ長岡,750.0,11:00,12:15,1:15,大塚達也,本間明,菅原潤,鷲尾正吾,岡山シーガルズ,群馬銀行グリーンウイングス,3.0,0.0,25.0,18.0,25.0,12.0,25.0,18.0,,,,,75.0,48.0,23,20,26,,,1:09,3,0,3.0,,0.0
18,,金田修佳,3,■,■,■,,,23.0,10.0,0.0,43.5,3.33,0.0,0.0,0.0,,1.0,0.33,9.0,0.0,1.0,2.0,2.8,17.0,11.0,2.0,70.6,911,2023-04-08,新潟県,シティホールプラザ アオーレ長岡,750.0,11:00,12:15,1:15,大塚達也,本間明,菅原潤,鷲尾正吾,岡山シーガルズ,群馬銀行グリーンウイングス,3.0,0.0,25.0,18.0,25.0,12.0,25.0,18.0,,,,,75.0,48.0,23,20,26,,,1:09,3,0,3.0,,11.0
