,Player,Team,Month,No.,PlaySet,AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,GameId,Spectators,WinPoint,OpWinPoint,1setPoint,Op1setPoint,2setPoint,Op2setPoint,3setPoint,Op3setPoint,4setPoint,Op4setPoint,5setPoint,Op5setPoint,TotalPoint,OpTotalPoint,1setTime,2setTime,3setTime,4setTime,5setTime,GetSet,LostSet,TotalSet,Set,Point,AEff%,BAEff%
0,オケケアルメソマチ,プレステージ・インターナショナルアランマーレ,4,2,8,61.0,15.0,8.0,24.6,1.88,11.0,3.0,2.0,27.3,7.0,0.88,29.0,1.0,5.0,7.0,5.2,0.0,0.0,0.0,,1826,2493.0,5.0,1.0,50.0,40.0,50.0,43.0,43.0,42.0,16.0,25.0,16.0,14.0,175.0,164.0,54,53,51,23.0,20.0,6,2,0.0,8.0,23.0,11.5,9.1
1,スークソッドタナッチャ,岡山シーガルズ,4,14,5,27.0,9.0,3.0,33.3,1.8,1.0,1.0,0.0,100.0,3.0,0.6,18.0,0.0,2.0,7.0,6.9,5.0,3.0,2.0,80.0,1824,1587.0,6.0,0.0,44.0,43.0,50.0,23.0,50.0,33.0,25.0,23.0,0.0,0.0,169.0,122.0,47,41,47,33.0,0.0,6,1,7.0,0.0,12.0,22.2,100.0
2,ハンタヴァエヴァンゲリア,群馬銀行グリーンウイングス,4,16,7,74.0,30.0,7.0,40.5,4.29,15.0,1.0,3.0,6.7,4.0,0.57,14.0,0.0,1.0,0.0,-1.8,17.0,10.0,1.0,61.8,1824,1587.0,0.0,6.0,43.0,44.0,23.0,50.0,33.0,50.0,23.0,25.0,0.0,0.0,122.0,169.0,47,41,47,33.0,0.0,1,6,0.0,7.0,34.0,31.1,-13.3
3,プラクセレステ,ヴィクトリーナ姫路,4,8,7,67.0,23.0,3.0,34.3,3.29,3.0,0.0,1.0,0.0,3.0,0.43,19.0,0.0,0.0,3.0,3.9,0.0,0.0,0.0,,1826,2493.0,1.0,5.0,40.0,50.0,43.0,50.0,42.0,43.0,25.0,16.0,14.0,16.0,164.0,175.0,54,53,51,23.0,20.0,2,6,8.0,0.0,26.0,29.9,-33.3
4,中本柚朱,岡山シーガルズ,4,66,1,1.0,1.0,0.0,100.0,1.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,1.0,0.0,-25.0,3.0,3.0,0.0,100.0,1824,1587.0,6.0,0.0,44.0,43.0,50.0,23.0,50.0,33.0,25.0,23.0,0.0,0.0,169.0,122.0,47,41,47,33.0,0.0,6,1,7.0,0.0,1.0,100.0,
5,伊藤摩耶,プレステージ・インターナショナルアランマーレ,4,14,8,50.0,18.0,1.0,36.0,2.25,0.0,0.0,0.0,,3.0,0.38,23.0,2.0,1.0,11.0,19.6,0.0,0.0,0.0,,1826,2493.0,5.0,1.0,50.0,40.0,50.0,43.0,43.0,42.0,16.0,25.0,16.0,14.0,175.0,164.0,54,53,51,23.0,20.0,6,2,0.0,8.0,23.0,34.0,
6,佐々木千紘,ヴィクトリーナ姫路,4,28,4,8.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,,2.0,0.5,13.0,0.0,0.0,7.0,13.5,2.0,0.0,0.0,0.0,1826,2493.0,1.0,5.0,40.0,50.0,43.0,50.0,42.0,43.0,25.0,16.0,14.0,16.0,164.0,175.0,54,53,51,23.0,20.0,2,6,8.0,0.0,2.0,-37.5,
7,佐伯亜魅加,岡山シーガルズ,4,4,3,9.0,2.0,1.0,22.2,0.67,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,50.0,1824,1587.0,6.0,0.0,44.0,43.0,50.0,23.0,50.0,33.0,25.0,23.0,0.0,0.0,169.0,122.0,47,41,47,33.0,0.0,6,1,7.0,0.0,2.0,11.1,
8,佐藤菜々美,プレステージ・インターナショナルアランマーレ,4,36,0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,1826,2493.0,5.0,1.0,50.0,40.0,50.0,43.0,43.0,42.0,16.0,25.0,16.0,14.0,175.0,164.0,54,53,51,23.0,20.0,6,2,0.0,8.0,0.0,,
9,前田美紅,プレステージ・インターナショナルアランマーレ,4,4,5,71.0,24.0,3.0,33.8,4.8,3.0,1.0,0.0,33.3,0.0,0.0,16.0,1.0,3.0,3.0,6.2,34.0,15.0,9.0,57.4,1826,2493.0,5.0,1.0,50.0,40.0,50.0,43.0,43.0,42.0,16.0,25.0,16.0,14.0,175.0,164.0,54,53,51,23.0,20.0,6,2,0.0,8.0,25.0,29.6,33.3
10,及川真夢,岡山シーガルズ,4,16,3,7.0,4.0,1.0,57.1,1.33,0.0,0.0,0.0,,1.0,0.33,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1824,1587.0,6.0,0.0,44.0,43.0,50.0,23.0,50.0,33.0,25.0,23.0,0.0,0.0,169.0,122.0,47,41,47,33.0,0.0,6,1,7.0,0.0,5.0,42.9,
11,古市彩音,群馬銀行グリーンウイングス,4,12,3,3.0,1.0,0.0,33.3,0.33,0.0,0.0,0.0,,0.0,0.0,3.0,0.0,1.0,0.0,-8.3,0.0,0.0,0.0,,1824,1587.0,0.0,6.0,43.0,44.0,23.0,50.0,33.0,50.0,23.0,25.0,0.0,0.0,122.0,169.0,47,41,47,33.0,0.0,1,6,0.0,7.0,1.0,33.3,
12,古市梨乃,ヴィクトリーナ姫路,4,36,1,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,0.0,100.0,1826,2493.0,1.0,5.0,40.0,50.0,43.0,50.0,42.0,43.0,25.0,16.0,14.0,16.0,164.0,175.0,54,53,51,23.0,20.0,2,6,8.0,0.0,0.0,-50.0,
13,吉岡みなみ,群馬銀行グリーンウイングス,4,4,4,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,0.0,100.0,1824,1587.0,0.0,6.0,43.0,44.0,23.0,50.0,33.0,50.0,23.0,25.0,0.0,0.0,122.0,169.0,47,41,47,33.0,0.0,1,6,0.0,7.0,0.0,,
14,坊野明里,ヴィクトリーナ姫路,4,46,8,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,1.0,0.12,25.0,0.0,1.0,5.0,4.0,1.0,0.0,0.0,0.0,1826,2493.0,1.0,5.0,40.0,50.0,43.0,50.0,42.0,43.0,25.0,16.0,14.0,16.0,164.0,175.0,54,53,51,23.0,20.0,2,6,8.0,0.0,1.0,,
