,Player,Team,No.,PlaySet,AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,GameId,Spectators,WinPoint,OpWinPoint,1setPoint,Op1setPoint,2setPoint,Op2setPoint,3setPoint,Op3setPoint,4setPoint,Op4setPoint,5setPoint,Op5setPoint,TotalPoint,OpTotalPoint,1setTime,2setTime,3setTime,4setTime,5setTime,GetSet,LostSet,TotalSet,Set,Point,AEff%,BAEff%
0,ウィルハイトサラ,NECレッドロケッツ,54,10,93.0,29.0,3.0,31.2,2.9,8.0,2.0,1.0,25.0,3.0,0.3,38.0,2.0,0.0,13.0,13.8,75.0,14.0,28.0,37.3,1475,5489.0,6.0,3.0,68.0,56.0,69.0,61.0,61.0,73.0,25.0,23.0,0.0,0.0,223.0,213.0,70,77,78,29.0,0.0,6,4,0.0,10.0,34.0,28.0,12.5
1,クランヤナ,東レアローズ,21,9,108.0,53.0,2.0,49.1,5.89,26.0,16.0,0.0,61.5,0.0,0.0,30.0,0.0,2.0,9.0,5.8,2.0,1.0,1.0,75.0,1473,5329.0,6.0,3.0,65.0,66.0,71.0,69.0,73.0,55.0,0.0,0.0,0.0,0.0,209.0,190.0,71,80,73,0.0,0.0,6,3,9.0,0.0,53.0,47.2,61.5
2,サンティアゴアライジャダフニ,埼玉上尾メディックス,9,12,55.0,30.0,1.0,54.5,2.5,0.0,0.0,0.0,,5.0,0.42,20.0,1.0,3.0,1.0,2.5,4.0,2.0,1.0,62.5,1475,5711.0,2.0,7.0,58.0,75.0,68.0,77.0,57.0,68.0,49.0,49.0,15.0,8.0,247.0,277.0,74,85,75,58.0,19.0,4,8,9.0,3.0,36.0,52.7,
3,ファンヘッケリセ,久光スプリングス,21,10,90.0,39.0,6.0,43.3,3.9,12.0,4.0,3.0,33.3,5.0,0.5,15.0,1.0,4.0,5.0,8.3,1.0,1.0,0.0,100.0,1475,5491.0,4.0,5.0,63.0,57.0,70.0,71.0,73.0,68.0,24.0,26.0,8.0,15.0,238.0,237.0,65,84,84,29.0,19.0,5,6,3.0,8.0,45.0,36.7,8.3
4,ロゾサラ,埼玉上尾メディックス,72,12,133.0,52.0,8.0,39.1,4.33,28.0,6.0,1.0,21.4,3.0,0.25,49.0,1.0,7.0,17.0,7.1,61.0,25.0,16.0,54.1,1475,5711.0,2.0,7.0,58.0,75.0,68.0,77.0,57.0,68.0,49.0,49.0,15.0,8.0,247.0,277.0,74,85,75,58.0,19.0,4,8,9.0,3.0,56.0,33.1,17.9
5,上野香織,NECレッドロケッツ,18,9,27.0,6.0,1.0,22.2,0.67,0.0,0.0,0.0,,4.0,0.44,26.0,3.0,3.0,5.0,13.5,5.0,3.0,2.0,80.0,1475,5489.0,6.0,3.0,68.0,56.0,69.0,61.0,61.0,73.0,25.0,23.0,0.0,0.0,223.0,213.0,70,77,78,29.0,0.0,6,4,0.0,10.0,13.0,18.5,
6,中島咲愛,久光スプリングス,63,10,91.0,31.0,4.0,34.1,3.1,1.0,0.0,0.0,0.0,0.0,0.0,31.0,1.0,3.0,6.0,5.6,32.0,12.0,5.0,45.3,1475,5491.0,4.0,5.0,63.0,57.0,70.0,71.0,73.0,68.0,24.0,26.0,8.0,15.0,238.0,237.0,65,84,84,29.0,19.0,5,6,3.0,8.0,32.0,29.7,0.0
7,中島未来,東レアローズ,9,9,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,1473,5329.0,6.0,3.0,65.0,66.0,71.0,69.0,73.0,55.0,0.0,0.0,0.0,0.0,209.0,190.0,71,80,73,0.0,0.0,6,3,9.0,0.0,0.0,,
8,中川つかさ,NECレッドロケッツ,66,7,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,1475,5489.0,6.0,3.0,68.0,56.0,69.0,61.0,61.0,73.0,25.0,23.0,0.0,0.0,223.0,213.0,70,77,78,29.0,0.0,6,4,0.0,10.0,0.0,,
9,中川美柚,久光スプリングス,9,3,28.0,8.0,2.0,28.6,2.67,0.0,0.0,0.0,,2.0,0.67,8.0,0.0,1.0,4.0,9.4,18.0,3.0,4.0,27.8,1475,5491.0,4.0,5.0,63.0,57.0,70.0,71.0,73.0,68.0,24.0,26.0,8.0,15.0,238.0,237.0,65,84,84,29.0,19.0,5,6,3.0,8.0,10.0,21.4,
