,Player,Team,No.,PlaySet,AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,GameId,Spectators,WinPoint,OpWinPoint,1setPoint,Op1setPoint,2setPoint,Op2setPoint,3setPoint,Op3setPoint,4setPoint,Op4setPoint,5setPoint,Op5setPoint,TotalPoint,OpTotalPoint,1setTime,2setTime,3setTime,4setTime,5setTime,GetSet,LostSet,TotalSet,Set,Point,AEff%,BAEff%
0,アコスタロスランディ,PFUブルーキャッツ,396,83,749.0,295.0,35.0,39.4,3.55,59.0,18.0,9.0,30.5,36.0,0.43,270.0,4.0,49.0,53.0,1.9,503.0,232.0,136.0,59.6,7804,16170.0,28.0,38.0,454.0,536.0,483.0,507.0,502.0,506.0,316.0,324.0,68.0,66.0,1823.0,1939.0,554.0,601.0,609.0,383.0,90.0,37,48,49.0,36.0,335.0,34.7,15.3
1,イヴェギントゥーバ,KUROBEアクアフェアリーズ,84,74,631.0,222.0,67.0,35.2,3.0,45.0,15.0,9.0,33.3,22.0,0.3,274.0,17.0,23.0,75.0,10.9,476.0,213.0,108.0,56.1,7438,17579.0,22.0,41.0,458.0,481.0,455.0,506.0,458.0,498.0,340.0,349.0,61.0,61.0,1772.0,1895.0,475.0,518.0,515.0,368.0,82.0,33,49,24.0,58.0,261.0,24.6,13.3
2,ウィルハイトサラ,NECレッドロケッツ,90,9,55.0,17.0,1.0,30.9,1.89,4.0,2.0,0.0,50.0,5.0,0.56,25.0,3.0,2.0,5.0,15.0,13.0,2.0,7.0,42.3,1760,10227.0,15.0,0.0,125.0,117.0,130.0,100.0,131.0,116.0,75.0,58.0,0.0,0.0,461.0,391.0,107.0,104.0,124.0,53.0,0.0,15,3,18.0,0.0,25.0,29.1,50.0
3,オクム大庭冬美ハウィ,日立Astemoリヴァーレ,374,65,573.0,215.0,47.0,37.5,3.31,123.0,48.0,12.0,39.0,21.0,0.32,131.0,5.0,14.0,24.0,5.7,5.0,4.0,0.0,80.0,7796,21217.0,29.0,37.0,491.0,509.0,493.0,494.0,496.0,505.0,280.0,285.0,75.0,64.0,1835.0,1857.0,546.0,578.0,575.0,330.0,91.0,39,45,36.0,48.0,241.0,29.3,29.3
4,オズソイネリマン,デンソーエアリービーズ,682,84,1215.0,445.0,89.0,36.6,5.3,459.0,164.0,47.0,35.7,47.0,0.56,315.0,8.0,11.0,76.0,7.7,18.0,9.0,3.0,58.3,7792,23599.0,28.0,38.0,498.0,523.0,510.0,523.0,528.0,513.0,297.0,300.0,55.0,71.0,1888.0,1930.0,561.0,605.0,636.0,345.0,79.0,37,47,41.0,43.0,500.0,29.3,25.5
5,カッティーノダニエル,トヨタ車体クインシーズ,198,87,1216.0,490.0,113.0,40.3,5.63,338.0,140.0,53.0,41.4,49.0,0.56,217.0,6.0,30.0,56.0,5.8,1.0,0.0,0.0,0.0,7812,18413.0,30.0,36.0,500.0,543.0,449.0,509.0,494.0,515.0,358.0,337.0,74.0,59.0,1875.0,1963.0,592.0,577.0,591.0,404.0,91.0,40,47,31.0,56.0,545.0,31.0,25.7
6,クランヤナ,東レアローズ,154,89,1135.0,478.0,47.0,42.1,5.37,219.0,101.0,16.0,46.1,36.0,0.4,363.0,10.0,18.0,99.0,8.3,11.0,2.0,4.0,36.4,7822,25314.0,46.0,20.0,532.0,482.0,521.0,467.0,540.0,467.0,347.0,329.0,114.0,101.0,2054.0,1846.0,555.0,552.0,572.0,383.0,131.0,57,32,51.0,38.0,524.0,38.0,38.8
7,コクラムピンピチャヤ,KUROBEアクアフェアリーズ,546,80,980.0,396.0,62.0,40.4,4.95,391.0,139.0,33.0,35.5,31.0,0.39,288.0,13.0,27.0,90.0,10.0,4.0,2.0,0.0,50.0,7438,17579.0,22.0,41.0,458.0,481.0,455.0,506.0,458.0,498.0,340.0,349.0,61.0,61.0,1772.0,1895.0,475.0,518.0,515.0,368.0,82.0,33,49,24.0,58.0,440.0,34.1,27.1
8,サンティアゴアライジャダフニ,埼玉上尾メディックス,63,76,329.0,159.0,13.0,48.3,2.09,0.0,0.0,0.0,,51.0,0.67,133.0,4.0,13.0,17.0,3.8,12.0,8.0,1.0,70.8,7432,19917.0,43.0,20.0,509.0,450.0,491.0,449.0,487.0,455.0,209.0,194.0,60.0,53.0,1756.0,1601.0,556.0,549.0,577.0,234.0,73.0,49,27,38.0,38.0,214.0,44.4,
9,ジャンティタントゥイー,PFUブルーキャッツ,240,77,390.0,182.0,25.0,46.7,2.36,11.0,5.0,4.0,45.5,49.0,0.64,231.0,6.0,40.0,62.0,5.0,15.0,11.0,2.0,80.0,7096,14715.0,25.0,35.0,420.0,486.0,439.0,460.0,463.0,461.0,291.0,304.0,68.0,66.0,1681.0,1777.0,510.0,542.0,556.0,353.0,90.0,34,44,42.0,36.0,237.0,40.3,9.1
