Team,GetSet,GetPoint,1SetPoint,2SetPoint,3SetPoint,4SetPoint,5SetPoint,TotalPoint,AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,TF,OpE,OpTeam,LostSet,LostPoint,Op1SetPoint,Op2SetPoint,Op3SetPoint,Op4SetPoint,Op5SetPoint,OpTotalPoint,OpAA,OpAP,OpAE,OpASucc%,OpAP/S,OpBAA,OpBAP,OpBAE,OpBASucc%,OpBP,OpBP/S,OpSVA,OpSVP,OpSVE,OpSVx,OpSVEff%,OpRA,OpRx,OpRg,OpRSucc%,OpTF,OpOpE
東レアローズ,3,3,25,25,25,,,75,109,51,6,46.8,17.00,26,13,1,50.0,5,1.67,73,4,9,18,8.6,57,34.0,16.0,73.7,4.0,15,JTマーヴェラス,0,0,19,22,20,,,61,93,37,6,39.8,12.33,24,10,2,41.7,4,1.33,63,1,6,6,1.6,60,30.0,11.0,59.2,3.0,19
JTマーヴェラス,0,0,19,22,20,,,61,93,37,6,39.8,12.33,24,10,2,41.7,4,1.33,63,1,6,6,1.6,60,30.0,11.0,59.2,3.0,19,東レアローズ,3,3,25,25,25,,,75,109,51,6,46.8,17.00,26,13,1,50.0,5,1.67,73,4,9,18,8.6,57,34.0,16.0,73.7,4.0,15
岡山シーガルズ,3,3,25,27,21,27,,100,190,72,11,37.9,18.00,4,0,0,0.0,8,2.00,99,2,2,13,4.8,90,55.0,18.0,71.1,5.0,18,PFUブルーキャッツ,1,0,22,25,25,25,,97,193,64,10,33.2,16.00,11,4,1,36.4,7,1.75,98,8,4,13,10.5,97,65.0,17.0,75.8,4.0,18
PFUブルーキャッツ,1,0,22,25,25,25,,97,193,64,10,33.2,16.00,11,4,1,36.4,7,1.75,98,8,4,13,10.5,97,65.0,17.0,75.8,4.0,18,岡山シーガルズ,3,3,25,27,21,27,,100,190,72,11,37.9,18.00,4,0,0,0.0,8,2.00,99,2,2,13,4.8,90,55.0,18.0,71.1,5.0,18
東レアローズ,1,0,20,25,21,18,,84,182,70,18,38.5,17.50,19,8,5,42.1,5,1.25,85,3,11,29,8.8,91,48.0,24.0,65.9,1.0,6,岡山シーガルズ,3,3,25,20,25,25,,95,151,58,2,38.4,14.50,0,0,0,-,5,1.25,94,2,2,18,6.4,73,33.0,9.0,51.4,2.0,30
岡山シーガルズ,3,3,25,20,25,25,,95,151,58,2,38.4,14.50,0,0,0,-,5,1.25,94,2,2,18,6.4,73,33.0,9.0,51.4,2.0,30,東レアローズ,1,0,20,25,21,18,,84,182,70,18,38.5,17.50,19,8,5,42.1,5,1.25,85,3,11,29,8.8,91,48.0,24.0,65.9,1.0,6
JTマーヴェラス,3,3,23,25,25,25,,98,156,67,10,42.9,16.75,20,11,1,55.0,4,1.00,97,2,9,20,4.9,79,39.0,22.0,63.3,1.0,25,PFUブルーキャッツ,1,0,25,23,21,22,,91,169,63,10,37.3,15.75,4,3,1,75.0,6,1.50,92,2,13,16,3.0,88,32.0,34.0,55.7,2.0,20
PFUブルーキャッツ,1,0,25,23,21,22,,91,169,63,10,37.3,15.75,4,3,1,75.0,6,1.50,92,2,13,16,3.0,88,32.0,34.0,55.7,2.0,20,JTマーヴェラス,3,3,23,25,25,25,,98,156,67,10,42.9,16.75,20,11,1,55.0,4,1.00,97,2,9,20,4.9,79,39.0,22.0,63.3,1.0,25
東レアローズ,3,3,22,25,26,25,,98,158,63,16,39.9,15.75,14,4,0,28.6,6,1.50,97,4,5,31,10.8,82,39.0,16.0,57.3,4.0,25,ヴィクトリーナ姫路,1,0,25,22,24,21,,92,158,56,15,35.4,14.00,10,1,1,10.0,10,2.50,93,1,10,27,5.6,91,47.0,10.0,57.1,0.0,25
ヴィクトリーナ姫路,1,0,25,22,24,21,,92,158,56,15,35.4,14.00,10,1,1,10.0,10,2.50,93,1,10,27,5.6,91,47.0,10.0,57.1,0.0,25,東レアローズ,3,3,22,25,26,25,,98,158,63,16,39.9,15.75,14,4,0,28.6,6,1.50,97,4,5,31,10.8,82,39.0,16.0,57.3,4.0,25
東レアローズ,3,3,25,25,25,,,75,109,53,5,48.6,17.67,8,3,0,37.5,4,1.33,74,3,3,25,11.5,50,31.0,7.0,69.0,0.0,15,ヴィクトリーナ姫路,0,0,20,17,18,,,55,117,43,10,36.8,14.33,8,3,1,37.5,2,0.67,56,2,5,11,6.2,71,34.0,9.0,54.2,0.0,8
ヴィクトリーナ姫路,0,0,20,17,18,,,55,117,43,10,36.8,14.33,8,3,1,37.5,2,0.67,56,2,5,11,6.2,71,34.0,9.0,54.2,0.0,8,東レアローズ,3,3,25,25,25,,,75,109,53,5,48.6,17.67,8,3,0,37.5,4,1.33,74,3,3,25,11.5,50,31.0,7.0,69.0,0.0,15
NECレッドロケッツ,3,3,25,25,25,,,75,94,52,5,55.3,17.33,11,6,1,54.5,7,2.33,74,5,7,24,12.5,45,17.0,16.0,55.6,2.0,11,KUROBEアクアフェアリーズ,0,0,15,19,12,,,46,100,30,8,30.0,10.00,5,2,1,40.0,2,0.67,47,0,2,12,5.3,65,15.0,23.0,40.8,1.0,14
KUROBEアクアフェアリーズ,0,0,15,19,12,,,46,100,30,8,30.0,10.00,5,2,1,40.0,2,0.67,47,0,2,12,5.3,65,15.0,23.0,40.8,1.0,14,NECレッドロケッツ,3,3,25,25,25,,,75,94,52,5,55.3,17.33,11,6,1,54.5,7,2.33,74,5,7,24,12.5,45,17.0,16.0,55.6,2.0,11
