Team,GetSet,GetPoint,1SetPoint,2SetPoint,3SetPoint,4SetPoint,5SetPoint,TotalPoint,AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,TF,OpE,OpTeam,LostSet,LostPoint,Op1SetPoint,Op2SetPoint,Op3SetPoint,Op4SetPoint,Op5SetPoint,OpTotalPoint,OpAA,OpAP,OpAE,OpASucc%,OpAP/S,OpBAA,OpBAP,OpBAE,OpBASucc%,OpBP,OpBP/S,OpSVA,OpSVP,OpSVE,OpSVx,OpSVEff%,OpRA,OpRx,OpRg,OpRSucc%,OpTF,OpOpE,GameId,Date,Place,Venue,Spectators,StartTime,EndTime,GameTime,JURY,ChiefUmpire,SubUmpire,Judge
日立Astemoリヴァーレ,3,2,16,25,22,25,15,103,168,66,10,39.3,13.20,18,7,2,38.9,12,2.40,102,4,10,33,9.6,89,39.0,14.0,51.7,2.0,21,KUROBEアクアフェアリーズ,2,1,25,20,25,18,8,96,163,60,11,36.8,12.00,15,2,2,13.3,11,2.20,97,3,7,34,10.1,89,47.0,8.0,57.3,3.0,22,291,2022/10/29,茨城県,ひたちなか市総合運動公園総合体育館,983,13:00,15:11,2:11,利根川忠史,津嶋由香,饗庭和恵,酒寄和記
KUROBEアクアフェアリーズ,2,1,25,20,25,18,8,96,163,60,11,36.8,12.00,15,2,2,13.3,11,2.20,97,3,7,34,10.1,89,47.0,8.0,57.3,3.0,22,日立Astemoリヴァーレ,3,2,16,25,22,25,15,103,168,66,10,39.3,13.20,18,7,2,38.9,12,2.40,102,4,10,33,9.6,89,39.0,14.0,51.7,2.0,21,291,2022/10/29,茨城県,ひたちなか市総合運動公園総合体育館,983,13:00,15:11,2:11,利根川忠史,津嶋由香,饗庭和恵,酒寄和記
日立Astemoリヴァーレ,3,3,25,25,25,,,75,103,45,8,43.7,15.00,12,6,0,50.0,8,2.67,74,6,5,23,14.2,50,26.0,9.0,61.0,0.0,16,KUROBEアクアフェアリーズ,0,0,13,21,20,,,54,107,34,11,31.8,11.33,11,2,3,18.2,7,2.33,55,0,5,15,4.5,66,27.0,13.0,50.8,0.0,13,297,2022/10/30,茨城県,ひたちなか市総合運動公園総合体育館,799,13:00,14:22,1:22,利根川忠史,饗庭和恵,津嶋由香,宮本和詮
KUROBEアクアフェアリーズ,0,0,13,21,20,,,54,107,34,11,31.8,11.33,11,2,3,18.2,7,2.33,55,0,5,15,4.5,66,27.0,13.0,50.8,0.0,13,日立Astemoリヴァーレ,3,3,25,25,25,,,75,103,45,8,43.7,15.00,12,6,0,50.0,8,2.67,74,6,5,23,14.2,50,26.0,9.0,61.0,0.0,16,297,2022/10/30,茨城県,ひたちなか市総合運動公園総合体育館,799,13:00,14:22,1:22,利根川忠史,饗庭和恵,津嶋由香,宮本和詮
NECレッドロケッツ,0,0,21,19,13,,,53,130,39,14,30.0,13.00,12,2,2,16.7,2,0.67,54,1,9,18,6.0,69,22.0,18.0,44.9,3.0,11,埼玉上尾メディックス,3,3,25,25,25,,,75,94,41,4,43.6,13.67,7,3,0,42.9,5,1.67,74,3,4,27,11.8,44,19.0,7.0,51.1,3.0,26,292,2022/10/29,神奈川県,とどろきアリーナ,3000,15:00,16:27,1:27,勝又正,渡部菜保子,上總向貴,青山真奈美
埼玉上尾メディックス,3,3,25,25,25,,,75,94,41,4,43.6,13.67,7,3,0,42.9,5,1.67,74,3,4,27,11.8,44,19.0,7.0,51.1,3.0,26,NECレッドロケッツ,0,0,21,19,13,,,53,130,39,14,30.0,13.00,12,2,2,16.7,2,0.67,54,1,9,18,6.0,69,22.0,18.0,44.9,3.0,11,292,2022/10/29,神奈川県,とどろきアリーナ,3000,15:00,16:27,1:27,勝又正,渡部菜保子,上總向貴,青山真奈美
NECレッドロケッツ,0,0,19,23,19,,,61,128,39,5,30.5,13.00,15,8,1,53.3,2,0.67,62,1,6,19,6.9,64,20.0,16.0,43.8,1.0,19,埼玉上尾メディックス,3,3,25,25,25,,,75,133,50,10,37.6,16.67,7,1,2,14.3,10,3.33,74,3,8,27,10.5,55,12.0,24.0,43.6,1.0,12,298,2022/10/30,神奈川県,とどろきアリーナ,3432,13:00,14:38,1:38,勝又正,増岡三佳子,上總向貴,櫻井正司
埼玉上尾メディックス,3,3,25,25,25,,,75,133,50,10,37.6,16.67,7,1,2,14.3,10,3.33,74,3,8,27,10.5,55,12.0,24.0,43.6,1.0,12,NECレッドロケッツ,0,0,19,23,19,,,61,128,39,5,30.5,13.00,15,8,1,53.3,2,0.67,62,1,6,19,6.9,64,20.0,16.0,43.8,1.0,19,298,2022/10/30,神奈川県,とどろきアリーナ,3432,13:00,14:38,1:38,勝又正,増岡三佳子,上總向貴,櫻井正司
PFUブルーキャッツ,2,1,25,25,16,17,13,96,175,64,13,36.6,12.80,12,2,3,16.7,11,2.20,96,2,17,28,4.9,94,42.0,21.0,55.9,3.0,19,東レアローズ,3,2,23,21,25,25,15,109,162,63,7,38.9,12.60,15,2,2,13.3,4,0.80,109,9,11,26,11.7,78,42.0,7.0,58.3,1.0,33,293,2022/10/29,石川県,一本松総合運動公園体育館サン・アリーナ,710,14:00,16:16,2:16,三見洋子,佐々木伸子,品川美帆,桐山比呂子
東レアローズ,3,2,23,21,25,25,15,109,162,63,7,38.9,12.60,15,2,2,13.3,4,0.80,109,9,11,26,11.7,78,42.0,7.0,58.3,1.0,33,PFUブルーキャッツ,2,1,25,25,16,17,13,96,175,64,13,36.6,12.80,12,2,3,16.7,11,2.20,96,2,17,28,4.9,94,42.0,21.0,55.9,3.0,19,293,2022/10/29,石川県,一本松総合運動公園体育館サン・アリーナ,710,14:00,16:16,2:16,三見洋子,佐々木伸子,品川美帆,桐山比呂子
