,Team,GetSet,GetPoint,1SetPoint,2SetPoint,3SetPoint,4SetPoint,5SetPoint,TotalPoint,AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,TF,OpE,LostSet,LostPoint,Op1SetPoint,Op2SetPoint,Op3SetPoint,Op4SetPoint,Op5SetPoint,OpTotalPoint,OpAA,OpAP,OpAE,OpASucc%,OpAP/S,OpBAA,OpBAP,OpBAE,OpBP,OpBP/S,OpSVA,OpSVP,OpSVE,OpSVx,OpSVEff%,OpRA,OpRx,OpRg,OpRSucc%,OpTF,OpOpE,GameId,Spectators,TotalSet,Point,AEff%,BAEff%
0,JTマーヴェラス,73,59,684.0,668.0,676.0,359.0,156.0,2543.0,4174.0,1720.0,195.0,41.2,15.36,485.0,194.0,41.0,40.0,226.0,2.02,2528.0,75.0,182.0,599.0,7.1,2126.0,1024.0,534.0,60.7,63.0,522,39,25,585.0,606.0,597.0,391.0,155.0,2334.0,4218,1606,253,1058.1,398.58,426,151,41,217,53.61,2350,71,192,530,184.4,2315,1099.0,572.0,1664.4,77.0,440,10476,32353.0,112,2021.0,36.5,31.5
1,KUROBEアクアフェアリーズ,35,22,588.0,582.0,587.0,385.0,61.0,2203.0,3917.0,1437.0,245.0,36.7,14.09,558.0,190.0,62.0,34.1,189.0,1.85,2220.0,92.0,182.0,550.0,8.3,2117.0,1005.0,473.0,58.6,82.0,485,67,59,632.0,647.0,649.0,399.0,61.0,2388.0,3938,1579,191,1095.8,419.14,354,138,27,231,61.75,2370,70,231,592,183.9,2015,963.0,434.0,1582.4,63.0,509,10080,24716.0,102,1718.0,30.4,22.9
2,NECレッドロケッツ,66,58,665.0,663.0,681.0,340.0,69.0,2418.0,4177.0,1634.0,211.0,39.1,15.56,356.0,105.0,40.0,29.5,187.0,1.78,2410.0,90.0,186.0,654.0,8.6,2048.0,852.0,597.0,56.2,64.0,507,39,26,633.0,590.0,649.0,319.0,87.0,2278.0,4163,1550,246,1044.3,410.73,385,130,46,206,54.28,2286,61,211,565,187.7,2194,872.0,610.0,1495.1,50.0,461,10631,47277.0,105,1911.0,34.1,18.3
3,PFUブルーキャッツ,42,30,588.0,592.0,619.0,387.0,83.0,2269.0,4037.0,1499.0,198.0,37.1,14.01,288.0,95.0,37.0,33.0,248.0,2.32,2278.0,67.0,278.0,496.0,5.3,2229.0,1043.0,548.0,59.1,62.0,455,65,54,675.0,657.0,651.0,402.0,76.0,2461.0,4082,1613,199,1125.5,429.15,397,146,34,216,57.07,2453,94,192,575,215.1,1979,992.0,445.0,1744.0,64.0,538,10434,24194.0,107,1814.0,32.2,20.1
4,デンソーエアリービーズ,50,40,646.0,644.0,669.0,370.0,55.0,2384.0,4353.0,1612.0,265.0,37.0,15.35,764.0,257.0,73.0,33.6,226.0,2.15,2385.0,78.0,169.0,607.0,7.9,2167.0,1024.0,502.0,58.8,59.0,468,55,44,642.0,657.0,643.0,362.0,71.0,2375.0,4309,1554,228,1021.1999999999999,418.02,411,119,46,245,64.11,2374,83,178,587,217.8,2189,1062.0,471.0,1665.4,62.0,493,10435,31176.0,105,1916.0,30.9,24.1
5,トヨタ車体クインシーズ,46,33,637.0,574.0,609.0,447.0,74.0,2341.0,4067.0,1495.0,301.0,36.8,13.72,531.0,200.0,81.0,37.7,229.0,2.1,2352.0,87.0,205.0,662.0,8.6,2254.0,943.0,568.0,54.4,59.0,530,63,51,688.0,661.0,661.0,438.0,59.0,2507.0,4088,1651,240,1145.9,427.8,411,151,37,207,53.81,2496,84,215,687,230.8,2127,898.0,499.0,1517.4,75.0,565,10452,25515.0,109,1811.0,29.4,22.4
6,ヴィクトリーナ姫路,30,20,584.0,616.0,551.0,323.0,61.0,2135.0,3793.0,1469.0,210.0,38.7,14.26,211.0,61.0,18.0,28.9,175.0,1.7,2148.0,81.0,252.0,548.0,7.2,2203.0,905.0,545.0,53.4,54.0,410,73,64,659.0,652.0,679.0,342.0,83.0,2415.0,3671,1595,183,1233.2,438.7,361,150,34,210,59.47,2402,94,177,683,261.7,1868,816.0,453.0,1553.6,50.0,516,10447,30232.0,103,1725.0,33.2,20.4
7,久光スプリングス,67,55,658.0,679.0,640.0,483.0,79.0,2539.0,4286.0,1732.0,248.0,40.4,15.6,317.0,121.0,34.0,38.2,230.0,2.07,2527.0,65.0,220.0,581.0,6.1,2159.0,1093.0,466.0,61.4,56.0,512,44,29,604.0,603.0,625.0,457.0,71.0,2360.0,4317,1582,239,1027.9,398.7,362,124,39,157,39.51,2372,97,185,532,212.8,2283,1155.0,506.0,1720.1,88.0,524,10481,36439.0,111,2027.0,34.6,27.4
8,埼玉上尾メディックス,64,58,658.0,645.0,633.0,234.0,60.0,2230.0,3718.0,1450.0,165.0,39.0,15.26,295.0,110.0,19.0,37.3,208.0,2.19,2216.0,73.0,146.0,548.0,7.8,1803.0,898.0,422.0,61.5,80.0,499,31,23,576.0,579.0,578.0,212.0,53.0,1998.0,3849,1363,237,957.2,387.13,418,139,49,193,54.05,2012,51,194,448,148.4,2047,968.0,481.0,1599.3,68.0,391,10080,26042.0,95,1731.0,34.6,30.8
9,岡山シーガルズ,43,27,628.0,590.0,636.0,420.0,95.0,2369.0,4545.0,1564.0,210.0,34.4,14.09,125.0,26.0,20.0,20.8,218.0,1.96,2381.0,65.0,121.0,480.0,6.5,2283.0,1072.0,476.0,57.4,72.0,523,68,57,654.0,678.0,659.0,459.0,98.0,2548.0,4653,1834,234,1113.1,464.55,396,152,40,206,53.2,2535,105,217,665,238.6,2238,1076.0,639.0,1740.3,72.0,403,10687,26382.0,111,1847.0,29.8,4.8
