No.,L,Player,PlaySet,1set,2set,3set,4set,5set,AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,GameId,Date,Place,Venue,Spectators,StartTime,EndTime,GameTime,JURY,ChiefUmpire,SubUmpire,Judge,Team,Op.Team,WinPoint,OpWinPoint,1setPoint,Op1setPoint,2setPoint,Op2setPoint,3setPoint,Op3setPoint,4setPoint,Op4setPoint,5setPoint,Op5setPoint,TotalPoint,OpTotalPoint,1setTime,2setTime,3setTime,4setTime,5setTime,TotalTime,GetSet,LostSet,TotalSet,Set,Point
2,,渡邊和馬,3,□,□,□,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,3.0,0.0,0.0,1.0,8.3,0.0,0.0,0.0,,903,2023-04-08,岩手県,オガールアリーナ,80.0,11:00,12:31,1:31,佐々木克之,小松剛,大塚健之,小野寺太,大同特殊鋼レッドスター,クボタスピアーズ,0.0,3.0,23.0,25.0,28.0,30.0,22.0,25.0,,,,,73.0,80.0,26,32,27,,,1:25,0,3,3.0,,0.0
3,,吉田魁成,3,■,■,■,,,18.0,8.0,2.0,44.4,2.67,0.0,0.0,0.0,,5.0,1.67,8.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,903,2023-04-08,岩手県,オガールアリーナ,80.0,11:00,12:31,1:31,佐々木克之,小松剛,大塚健之,小野寺太,大同特殊鋼レッドスター,クボタスピアーズ,0.0,3.0,23.0,25.0,28.0,30.0,22.0,25.0,,,,,73.0,80.0,26,32,27,,,1:25,0,3,3.0,,13.0
4,,早坂心之介,2,,□,■,,,1.0,1.0,0.0,100.0,0.5,0.0,0.0,0.0,,0.0,,6.0,1.0,0.0,0.0,16.7,0.0,0.0,0.0,,903,2023-04-08,岩手県,オガールアリーナ,80.0,11:00,12:31,1:31,佐々木克之,小松剛,大塚健之,小野寺太,大同特殊鋼レッドスター,クボタスピアーズ,0.0,3.0,23.0,25.0,28.0,30.0,22.0,25.0,,,,,73.0,80.0,26,32,27,,,1:25,0,3,3.0,,2.0
6,,三渡たくみ,3,■,■,■,,,13.0,6.0,0.0,46.2,2.0,0.0,0.0,0.0,,1.0,0.33,14.0,0.0,0.0,3.0,5.4,0.0,0.0,0.0,,903,2023-04-08,岩手県,オガールアリーナ,80.0,11:00,12:31,1:31,佐々木克之,小松剛,大塚健之,小野寺太,大同特殊鋼レッドスター,クボタスピアーズ,0.0,3.0,23.0,25.0,28.0,30.0,22.0,25.0,,,,,73.0,80.0,26,32,27,,,1:25,0,3,3.0,,7.0
7,L,藤川裕樹,3,●,●,●,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,17.0,9.0,5.0,67.6,903,2023-04-08,岩手県,オガールアリーナ,80.0,11:00,12:31,1:31,佐々木克之,小松剛,大塚健之,小野寺太,大同特殊鋼レッドスター,クボタスピアーズ,0.0,3.0,23.0,25.0,28.0,30.0,22.0,25.0,,,,,73.0,80.0,26,32,27,,,1:25,0,3,3.0,,0.0
8,,森陽希,0,,,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,903,2023-04-08,岩手県,オガールアリーナ,80.0,11:00,12:31,1:31,佐々木克之,小松剛,大塚健之,小野寺太,大同特殊鋼レッドスター,クボタスピアーズ,0.0,3.0,23.0,25.0,28.0,30.0,22.0,25.0,,,,,73.0,80.0,26,32,27,,,1:25,0,3,3.0,,0.0
9,,長谷川優太,2,■,■,,,,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,8.0,1.0,2.0,1.0,9.4,0.0,0.0,0.0,,903,2023-04-08,岩手県,オガールアリーナ,80.0,11:00,12:31,1:31,佐々木克之,小松剛,大塚健之,小野寺太,大同特殊鋼レッドスター,クボタスピアーズ,0.0,3.0,23.0,25.0,28.0,30.0,22.0,25.0,,,,,73.0,80.0,26,32,27,,,1:25,0,3,3.0,,1.0
10,,二五田大輔,1,,□,,,,1.0,1.0,0.0,100.0,1.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,903,2023-04-08,岩手県,オガールアリーナ,80.0,11:00,12:31,1:31,佐々木克之,小松剛,大塚健之,小野寺太,大同特殊鋼レッドスター,クボタスピアーズ,0.0,3.0,23.0,25.0,28.0,30.0,22.0,25.0,,,,,73.0,80.0,26,32,27,,,1:25,0,3,3.0,,1.0
12,,藤春秀崇,3,■,■,■,,,21.0,11.0,2.0,52.4,3.67,0.0,0.0,0.0,,0.0,,10.0,0.0,3.0,0.0,-7.5,34.0,20.0,11.0,75.0,903,2023-04-08,岩手県,オガールアリーナ,80.0,11:00,12:31,1:31,佐々木克之,小松剛,大塚健之,小野寺太,大同特殊鋼レッドスター,クボタスピアーズ,0.0,3.0,23.0,25.0,28.0,30.0,22.0,25.0,,,,,73.0,80.0,26,32,27,,,1:25,0,3,3.0,,11.0
13,,境龍生,3,■,■,■,,,28.0,7.0,1.0,25.0,2.33,2.0,0.0,0.0,0.0,0.0,,12.0,1.0,3.0,3.0,8.3,0.0,0.0,0.0,,903,2023-04-08,岩手県,オガールアリーナ,80.0,11:00,12:31,1:31,佐々木克之,小松剛,大塚健之,小野寺太,大同特殊鋼レッドスター,クボタスピアーズ,0.0,3.0,23.0,25.0,28.0,30.0,22.0,25.0,,,,,73.0,80.0,26,32,27,,,1:25,0,3,3.0,,8.0
