No.,L,Player,PlaySet,1set,2set,3set,4set,5set,AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,GameId,Date,Place,Venue,Spectators,StartTime,EndTime,GameTime,JURY,ChiefUmpire,SubUmpire,Judge,Team,Op.Team,WinPoint,OpWinPoint,1setPoint,Op1setPoint,2setPoint,Op2setPoint,3setPoint,Op3setPoint,4setPoint,Op4setPoint,5setPoint,Op5setPoint,TotalPoint,OpTotalPoint,1setTime,2setTime,3setTime,4setTime,5setTime,TotalTime,GetSet,LostSet,TotalSet,Set,Point
1,L,川崎翔太,5,●,●,●,●,●,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,14.0,6.0,1.0,46.4,501,2022-11-05,埼玉県,川越運動公園総合体育館,369.0,13:00,15:18,2:18,小林朝実,関野智史,上健太郎,大木茂男,埼玉アザレア,つくばユナイテッドSunGAIA,1.0,2.0,21.0,25.0,25.0,23.0,23.0,25.0,25.0,22.0,12.0,15.0,106.0,110.0,28,28,27,25.0,18.0,2:06,2,3,5.0,,0.0
2,,渡辺大亮,3,■,■,■,,,5.0,0.0,2.0,0.0,,0.0,0.0,0.0,,0.0,,7.0,0.0,2.0,1.0,-3.6,0.0,0.0,0.0,,501,2022-11-05,埼玉県,川越運動公園総合体育館,369.0,13:00,15:18,2:18,小林朝実,関野智史,上健太郎,大木茂男,埼玉アザレア,つくばユナイテッドSunGAIA,1.0,2.0,21.0,25.0,25.0,23.0,23.0,25.0,25.0,22.0,12.0,15.0,106.0,110.0,28,28,27,25.0,18.0,2:06,2,3,5.0,,0.0
4,,森田凌雅,5,■,■,■,■,■,38.0,13.0,4.0,34.2,2.6,3.0,1.0,1.0,33.3,4.0,0.8,18.0,0.0,2.0,9.0,9.7,48.0,25.0,6.0,58.3,501,2022-11-05,埼玉県,川越運動公園総合体育館,369.0,13:00,15:18,2:18,小林朝実,関野智史,上健太郎,大木茂男,埼玉アザレア,つくばユナイテッドSunGAIA,1.0,2.0,21.0,25.0,25.0,23.0,23.0,25.0,25.0,22.0,12.0,15.0,106.0,110.0,28,28,27,25.0,18.0,2:06,2,3,5.0,,17.0
5,,佐藤匠,5,■,■,■,■,■,13.0,6.0,0.0,46.2,1.2,1.0,0.0,0.0,0.0,2.0,0.4,18.0,1.0,1.0,5.0,11.1,0.0,0.0,0.0,,501,2022-11-05,埼玉県,川越運動公園総合体育館,369.0,13:00,15:18,2:18,小林朝実,関野智史,上健太郎,大木茂男,埼玉アザレア,つくばユナイテッドSunGAIA,1.0,2.0,21.0,25.0,25.0,23.0,23.0,25.0,25.0,22.0,12.0,15.0,106.0,110.0,28,28,27,25.0,18.0,2:06,2,3,5.0,,9.0
6,,赤川尚暉,3,,,□,■,■,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,6.0,0.0,0.0,1.0,4.2,0.0,0.0,0.0,,501,2022-11-05,埼玉県,川越運動公園総合体育館,369.0,13:00,15:18,2:18,小林朝実,関野智史,上健太郎,大木茂男,埼玉アザレア,つくばユナイテッドSunGAIA,1.0,2.0,21.0,25.0,25.0,23.0,23.0,25.0,25.0,22.0,12.0,15.0,106.0,110.0,28,28,27,25.0,18.0,2:06,2,3,5.0,,0.0
7,,笠原啓太,4,□,,□,□,□,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,5.0,0.0,1.0,2.0,5.0,0.0,0.0,0.0,,501,2022-11-05,埼玉県,川越運動公園総合体育館,369.0,13:00,15:18,2:18,小林朝実,関野智史,上健太郎,大木茂男,埼玉アザレア,つくばユナイテッドSunGAIA,1.0,2.0,21.0,25.0,25.0,23.0,23.0,25.0,25.0,22.0,12.0,15.0,106.0,110.0,28,28,27,25.0,18.0,2:06,2,3,5.0,,0.0
8,,筒井匠,5,■,■,■,■,■,15.0,8.0,2.0,53.3,1.6,0.0,0.0,0.0,,1.0,0.2,14.0,0.0,0.0,4.0,7.1,0.0,0.0,0.0,,501,2022-11-05,埼玉県,川越運動公園総合体育館,369.0,13:00,15:18,2:18,小林朝実,関野智史,上健太郎,大木茂男,埼玉アザレア,つくばユナイテッドSunGAIA,1.0,2.0,21.0,25.0,25.0,23.0,23.0,25.0,25.0,22.0,12.0,15.0,106.0,110.0,28,28,27,25.0,18.0,2:06,2,3,5.0,,9.0
9,,前田将武,3,,□,,□,□,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,4.0,0.0,0.0,1.0,6.2,0.0,0.0,0.0,,501,2022-11-05,埼玉県,川越運動公園総合体育館,369.0,13:00,15:18,2:18,小林朝実,関野智史,上健太郎,大木茂男,埼玉アザレア,つくばユナイテッドSunGAIA,1.0,2.0,21.0,25.0,25.0,23.0,23.0,25.0,25.0,22.0,12.0,15.0,106.0,110.0,28,28,27,25.0,18.0,2:06,2,3,5.0,,0.0
11,L,小堀優,0,,,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,501,2022-11-05,埼玉県,川越運動公園総合体育館,369.0,13:00,15:18,2:18,小林朝実,関野智史,上健太郎,大木茂男,埼玉アザレア,つくばユナイテッドSunGAIA,1.0,2.0,21.0,25.0,25.0,23.0,23.0,25.0,25.0,22.0,12.0,15.0,106.0,110.0,28,28,27,25.0,18.0,2:06,2,3,5.0,,0.0
12,,田中涼,5,■,■,■,■,■,26.0,10.0,2.0,38.5,2.0,9.0,3.0,2.0,33.3,4.0,0.8,16.0,0.0,0.0,2.0,3.1,19.0,8.0,3.0,50.0,501,2022-11-05,埼玉県,川越運動公園総合体育館,369.0,13:00,15:18,2:18,小林朝実,関野智史,上健太郎,大木茂男,埼玉アザレア,つくばユナイテッドSunGAIA,1.0,2.0,21.0,25.0,25.0,23.0,23.0,25.0,25.0,22.0,12.0,15.0,106.0,110.0,28,28,27,25.0,18.0,2:06,2,3,5.0,,14.0
