,Player,Team,Month,No.,PlaySet,5set,AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,GameId,Spectators,WinPoint,OpWinPoint,1setPoint,Op1setPoint,2setPoint,Op2setPoint,3setPoint,Op3setPoint,4setPoint,Op4setPoint,5setPoint,Op5setPoint,TotalPoint,OpTotalPoint,1setTime,2setTime,3setTime,4setTime,5setTime,GetSet,LostSet,TotalSet,Set,Point,AEff%,BAEff%
0,三木大成,兵庫デルフィーノ,4,62,1,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1812,90.0,0.0,6.0,46.0,52.0,41.0,50.0,43.0,50.0,0.0,0.0,0.0,0.0,130.0,152.0,52,44,47,0.0,0.0,0,6,6.0,0.0,0.0,,
1,三渡たくみ,大同特殊鋼レッドスター,4,12,7,0.0,38.0,17.0,2.0,44.7,2.43,0.0,0.0,0.0,,2.0,0.29,28.0,0.0,2.0,7.0,4.5,0.0,0.0,0.0,,1810,150.0,0.0,6.0,48.0,48.0,46.0,55.0,42.0,50.0,20.0,25.0,0.0,0.0,156.0,178.0,51,54,48,23.0,0.0,1,6,7.0,0.0,19.0,39.5,
2,上坂将輝,トヨタ自動車サンホークス,4,36,0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,1812,90.0,6.0,0.0,52.0,46.0,50.0,41.0,50.0,43.0,0.0,0.0,0.0,0.0,152.0,130.0,52,44,47,0.0,0.0,6,0,0.0,6.0,0.0,,
3,中野将太,兵庫デルフィーノ,4,10,6,0.0,4.0,2.0,0.0,50.0,0.33,1.0,1.0,0.0,100.0,0.0,0.0,25.0,1.0,1.0,3.0,6.0,0.0,0.0,0.0,,1812,90.0,0.0,6.0,46.0,52.0,41.0,50.0,43.0,50.0,0.0,0.0,0.0,0.0,130.0,152.0,52,44,47,0.0,0.0,0,6,6.0,0.0,3.0,50.0,100.0
4,丸一達也,クボタスピアーズ,4,10,0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,1810,150.0,6.0,0.0,48.0,48.0,55.0,46.0,50.0,42.0,25.0,20.0,0.0,0.0,178.0,156.0,51,54,48,23.0,0.0,6,1,0.0,7.0,0.0,,
5,二五田大輔,大同特殊鋼レッドスター,4,20,4,0.0,15.0,8.0,2.0,53.3,2.0,3.0,3.0,0.0,100.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1810,150.0,0.0,6.0,48.0,48.0,46.0,55.0,42.0,50.0,20.0,25.0,0.0,0.0,156.0,178.0,51,54,48,23.0,0.0,1,6,7.0,0.0,8.0,40.0,100.0
6,井上大地,クボタスピアーズ,4,28,7,0.0,66.0,36.0,4.0,54.5,5.14,21.0,16.0,4.0,76.2,3.0,0.43,29.0,0.0,7.0,2.0,-4.3,2.0,0.0,1.0,25.0,1810,150.0,6.0,0.0,48.0,48.0,55.0,46.0,50.0,42.0,25.0,20.0,0.0,0.0,178.0,156.0,51,54,48,23.0,0.0,6,1,0.0,7.0,39.0,48.5,57.1
7,佃壮悟,トヨタ自動車サンホークス,4,26,0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,1812,90.0,6.0,0.0,52.0,46.0,50.0,41.0,50.0,43.0,0.0,0.0,0.0,0.0,152.0,130.0,52,44,47,0.0,0.0,6,0,0.0,6.0,0.0,,
8,吉岡衛,トヨタ自動車サンホークス,4,32,6,0.0,75.0,32.0,5.0,42.7,5.33,10.0,6.0,1.0,60.0,8.0,1.33,22.0,0.0,1.0,1.0,0.0,12.0,8.0,2.0,75.0,1812,90.0,6.0,0.0,52.0,46.0,50.0,41.0,50.0,43.0,0.0,0.0,0.0,0.0,152.0,130.0,52,44,47,0.0,0.0,6,0,0.0,6.0,40.0,36.0,50.0
9,吉田洋大,兵庫デルフィーノ,4,50,6,0.0,29.0,8.0,4.0,27.6,1.33,0.0,0.0,0.0,,2.0,0.33,15.0,1.0,2.0,1.0,5.0,20.0,4.0,6.0,35.0,1812,90.0,0.0,6.0,46.0,52.0,41.0,50.0,43.0,50.0,0.0,0.0,0.0,0.0,130.0,152.0,52,44,47,0.0,0.0,0,6,6.0,0.0,11.0,13.8,
