,Player,Team,No.,PlaySet,AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,GameId,Spectators,WinPoint,OpWinPoint,1setPoint,Op1setPoint,2setPoint,Op2setPoint,3setPoint,Op3setPoint,4setPoint,Op4setPoint,5setPoint,Op5setPoint,TotalPoint,OpTotalPoint,1setTime,2setTime,3setTime,4setTime,5setTime,GetSet,LostSet,TotalSet,Set,Point,AEff%,BAEff%
0,エバデダンジェフリー宇意,富士通カワサキレッドスピリッツ,12,44,131.0,67.0,8.0,51.1,1.52,0.0,0.0,0.0,,30.0,0.68,106.0,7.0,10.0,18.0,8.5,9.0,2.0,4.0,44.4,6459,5893.0,25.0,11.0,280.0,248.0,285.0,247.0,290.0,285.0,168.0,175.0,30.0,23.0,1053.0,978.0,265,276,320,181.0,29.0,30,16,21.0,25.0,104.0,45.0,
1,ジェイレンペンローズ,サフィルヴァ北海道,312,50,414.0,205.0,42.0,49.5,4.1,191.0,101.0,28.0,52.9,34.0,0.68,186.0,21.0,53.0,53.0,11.3,2.0,0.0,1.0,25.0,6957,8336.0,27.0,12.0,310.0,295.0,319.0,278.0,313.0,265.0,186.0,164.0,39.0,47.0,1167.0,1049.0,293,309,308,177.0,51.0,31,19,30.0,20.0,260.0,39.4,38.2
2,マキネンペェトゥ,ヴォレアス北海道,104,44,289.0,151.0,19.0,52.2,3.43,55.0,31.0,1.0,56.4,22.0,0.5,171.0,8.0,30.0,68.0,10.2,193.0,80.0,43.0,52.6,6962,6377.0,35.0,4.0,305.0,283.0,335.0,278.0,320.0,286.0,170.0,139.0,43.0,37.0,1173.0,1023.0,291,323,324,166.0,48.0,38,11,41.0,8.0,181.0,45.7,54.5
3,三好佳介,ヴィアティン三重,510,58,225.0,118.0,8.0,52.4,2.03,3.0,2.0,1.0,66.7,31.0,0.53,231.0,15.0,66.0,48.0,4.5,9.0,3.0,4.0,55.6,8126,7602.0,30.0,15.0,359.0,345.0,354.0,340.0,366.0,341.0,265.0,236.0,73.0,79.0,1417.0,1341.0,344,367,372,261.0,83.0,36,25,48.0,13.0,164.0,48.9,33.3
4,三木裕人,きんでんトリニティーブリッツ,288,40,4.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,51.0,1.0,5.0,3.0,1.0,23.0,10.0,4.0,52.2,8609,5607.0,20.0,28.0,361.0,384.0,350.0,382.0,354.0,374.0,264.0,249.0,72.0,72.0,1401.0,1461.0,367,359,385,265.0,82.0,28,36,22.0,42.0,1.0,-25.0,-100.0
5,三浦一真,埼玉アザレア,36,2,4.0,1.0,0.0,25.0,0.5,0.0,0.0,0.0,,0.0,0.0,4.0,0.0,0.0,1.0,6.2,0.0,0.0,0.0,,1007,695.0,1.0,5.0,40.0,50.0,47.0,48.0,45.0,50.0,25.0,22.0,12.0,15.0,169.0,185.0,51,54,54,25.0,18.0,2,6,8.0,0.0,1.0,25.0,
6,三浦拓,サフィルヴァ北海道,80,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,6.0,0.0,1.0,0.0,-4.2,0.0,0.0,0.0,,4246,3658.0,18.0,6.0,192.0,181.0,199.0,187.0,195.0,166.0,115.0,105.0,27.0,27.0,728.0,666.0,179,200,195,111.0,31.0,20,11,18.0,13.0,0.0,0.0,
7,三渡たくみ,大同特殊鋼レッドスター,84,43,109.0,56.0,10.0,51.4,1.3,0.0,0.0,0.0,,16.0,0.37,146.0,4.0,13.0,39.0,7.2,6.0,1.0,3.0,41.7,7573,5501.0,7.0,35.0,309.0,334.0,288.0,334.0,290.0,338.0,129.0,139.0,12.0,15.0,1028.0,1160.0,318,320,327,138.0,13.0,12,37,23.0,26.0,76.0,42.2,
8,中前宙,兵庫デルフィーノ,234,47,345.0,123.0,43.0,35.7,2.62,66.0,23.0,15.0,34.8,12.0,0.26,162.0,8.0,41.0,39.0,4.6,181.0,73.0,50.0,54.1,7163,3743.0,1.0,38.0,261.0,331.0,283.0,311.0,284.0,311.0,113.0,175.0,12.0,15.0,953.0,1143.0,292,310,315,148.0,17.0,8,39,15.0,32.0,143.0,23.2,12.1
9,中山翔理,ヴィアティン三重,792,2,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,0.0,0.0,1.0,12.5,0.0,0.0,0.0,,4797,4716.0,13.0,14.0,217.0,218.0,213.0,208.0,213.0,202.0,165.0,169.0,58.0,67.0,866.0,864.0,214,219,221,170.0,70.0,18,20,25.0,13.0,0.0,,
