Team,GetSet,GetPoint,1SetPoint,2SetPoint,3SetPoint,4SetPoint,5SetPoint,TotalPoint,AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,TF,OpE,OpTeam,LostSet,LostPoint,Op1SetPoint,Op2SetPoint,Op3SetPoint,Op4SetPoint,Op5SetPoint,OpTotalPoint,OpAA,OpAP,OpAE,OpASucc%,OpAP/S,OpBAA,OpBAP,OpBAE,OpBASucc%,OpBP,OpBP/S,OpSVA,OpSVP,OpSVE,OpSVx,OpSVEff%,OpRA,OpRx,OpRg,OpRSucc%,OpTF,OpOpE
警視庁フォートファイターズ,3,3,25,19,25,25,,94,111,48,7,43.2,12.00,11,8,0,72.7,12,3.00,93,1,15,17,1.6,69,28.0,14.0,50.7,3.0,33,長野GaRons,1,0,22,25,18,18,,83,124,43,10,34.7,10.75,7,1,2,14.3,9,2.25,84,6,15,27,10.7,77,46.0,14.0,68.8,8.0,25
長野GaRons,1,0,22,25,18,18,,83,124,43,10,34.7,10.75,7,1,2,14.3,9,2.25,84,6,15,27,10.7,77,46.0,14.0,68.8,8.0,25,警視庁フォートファイターズ,3,3,25,19,25,25,,94,111,48,7,43.2,12.00,11,8,0,72.7,12,3.00,93,1,15,17,1.6,69,28.0,14.0,50.7,3.0,33
大同特殊鋼レッドスター,3,3,25,25,22,25,,97,116,47,7,40.5,11.75,18,8,0,44.4,11,2.75,96,4,11,12,4.4,70,45.0,9.0,70.7,1.0,35,埼玉アザレア,1,0,18,19,25,21,,83,132,56,17,42.4,14.00,15,7,3,46.7,5,1.25,84,3,13,16,4.5,82,50.0,20.0,73.2,5.0,19
埼玉アザレア,1,0,18,19,25,21,,83,132,56,17,42.4,14.00,15,7,3,46.7,5,1.25,84,3,13,16,4.5,82,50.0,20.0,73.2,5.0,19,大同特殊鋼レッドスター,3,3,25,25,22,25,,97,116,47,7,40.5,11.75,18,8,0,44.4,11,2.75,96,4,11,12,4.4,70,45.0,9.0,70.7,1.0,35
つくばユナイテッドSunGAIA,3,3,28,20,25,25,,98,111,54,5,48.6,13.50,8,5,1,62.5,8,2.00,96,2,12,29,6.5,72,26.0,25.0,53.5,7.0,34,東京ヴェルディ,1,0,26,25,22,14,,87,116,54,10,46.6,13.50,15,7,2,46.7,6,1.50,88,3,15,21,5.1,84,38.0,17.0,55.4,9.0,24
東京ヴェルディ,1,0,26,25,22,14,,87,116,54,10,46.6,13.50,15,7,2,46.7,6,1.50,88,3,15,21,5.1,84,38.0,17.0,55.4,9.0,24,つくばユナイテッドSunGAIA,3,3,28,20,25,25,,98,111,54,5,48.6,13.50,8,5,1,62.5,8,2.00,96,2,12,29,6.5,72,26.0,25.0,53.5,7.0,34
トヨタ自動車サンホークス,3,3,19,25,25,25,,94,111,48,15,43.2,12.00,13,6,0,46.2,5,1.25,93,1,10,25,5.1,64,42.0,13.0,75.8,0.0,40,きんでんトリニティーブリッツ,1,0,25,18,21,16,,80,121,53,17,43.8,13.25,23,8,7,34.8,2,0.50,81,0,17,9,-2.5,82,38.0,19.0,57.9,6.0,25
きんでんトリニティーブリッツ,1,0,25,18,21,16,,80,121,53,17,43.8,13.25,23,8,7,34.8,2,0.50,81,0,17,9,-2.5,82,38.0,19.0,57.9,6.0,25,トヨタ自動車サンホークス,3,3,19,25,25,25,,94,111,48,15,43.2,12.00,13,6,0,46.2,5,1.25,93,1,10,25,5.1,64,42.0,13.0,75.8,0.0,40
警視庁フォートファイターズ,3,3,25,28,19,25,,97,137,62,15,45.3,15.50,18,7,2,38.9,6,1.50,96,2,14,16,2.6,86,46.0,23.0,66.9,5.0,27,埼玉アザレア,1,0,22,26,25,22,,95,131,52,11,39.7,13.00,15,9,2,60.0,8,2.00,96,1,10,17,2.9,82,52.0,14.0,72.0,6.0,34
埼玉アザレア,1,0,22,26,25,22,,95,131,52,11,39.7,13.00,15,9,2,60.0,8,2.00,96,1,10,17,2.9,82,52.0,14.0,72.0,6.0,34,警視庁フォートファイターズ,3,3,25,28,19,25,,97,137,62,15,45.3,15.50,18,7,2,38.9,6,1.50,96,2,14,16,2.6,86,46.0,23.0,66.9,5.0,27
つくばユナイテッドSunGAIA,0,0,20,23,18,,,61,89,31,5,34.8,10.33,16,6,0,37.5,5,1.67,62,2,9,15,5.6,58,37.0,4.0,67.2,1.0,23,富士通カワサキレッドスピリッツ,3,3,25,25,25,,,75,96,46,5,47.9,15.33,9,3,1,33.3,13,4.33,74,1,15,17,2.0,53,28.0,10.0,62.3,3.0,15
