,Team,Month,GetSet,GetPoint,1SetPoint,2SetPoint,3SetPoint,4SetPoint,5SetPoint,TotalPoint,AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,TF,OpE,LostSet,LostPoint,Op1SetPoint,Op2SetPoint,Op3SetPoint,Op4SetPoint,Op5SetPoint,OpTotalPoint,OpAA,OpAP,OpAE,OpASucc%,OpAP/S,OpBAA,OpBAP,OpBAE,OpBASucc%,OpBP,OpBP/S,OpSVA,OpSVP,OpSVE,OpSVx,OpSVEff%,OpRA,OpRx,OpRg,OpRSucc%,OpTF,OpOpE,GameId,Spectators,TotalSet,Point,AEff%,BAEff%
0,きんでんトリニティーブリッツ,1,9,6,121,109,105,94.0,26.0,455.0,573.0,273.0,42.0,47.6,13.0,116.0,51.0,13.0,44.0,43.0,2.05,455.0,22.0,95.0,87.0,4.4,401.0,165.0,122.0,56.4,15.0,117,12,9,125,115,118,95.0,27.0,480.0,524,256,39,246.10000000000002,61.3,99,47,10,241.8,52,12.07,480,20,68,105,31.1,352,143.0,108.0,271.7,10.0,152,2787,1999.0,21,338.0,40.3,32.8
1,きんでんトリニティーブリッツ,2,10,5,143,141,117,112.0,47.0,560.0,721.0,351.0,60.0,48.7,13.5,182.0,95.0,21.0,52.2,36.0,1.38,563.0,27.0,114.0,148.0,6.3,497.0,213.0,135.0,56.4,25.0,146,16,13,133,151,150,117.0,47.0,598.0,640,317,42,304.9,74.25,95,46,5,299.1,62,14.38,595,20,91,136,31.1,434,150.0,124.0,291.9,13.0,199,3479,2191.0,26,414.0,40.4,40.7
2,きんでんトリニティーブリッツ,3,14,11,160,159,152,69.0,44.0,584.0,733.0,343.0,57.0,46.8,12.7,154.0,81.0,14.0,52.6,43.0,1.59,583.0,31.0,113.0,128.0,6.0,485.0,191.0,149.0,54.7,17.0,167,13,10,163,159,157,66.0,41.0,586.0,680,321,61,323.9,81.4,114,52,15,313.7,55,15.27,587,23,95,129,37.5,455,189.0,122.0,394.6,11.0,187,4329,2219.0,27,417.0,39.0,43.5
3,きんでんトリニティーブリッツ,11,12,11,162,146,165,75.0,15.0,563.0,698.0,326.0,57.0,46.7,13.04,119.0,52.0,20.0,43.7,54.0,2.16,563.0,16.0,86.0,108.0,3.8,473.0,231.0,109.0,60.4,25.0,167,13,10,167,170,163,62.0,12.0,574.0,725,340,53,337.3,96.05,100,47,14,344.2,51,14.52,574,15,96,123,26.7,469,255.0,98.0,447.3,18.0,168,3608,2813.0,25,396.0,38.5,26.9
4,きんでんトリニティーブリッツ,12,2,0,33,48,43,44.0,0.0,168.0,238.0,104.0,29.0,43.7,13.0,37.0,16.0,6.0,43.2,6.0,0.75,170.0,5.0,26.0,42.0,5.3,153.0,69.0,20.0,51.6,8.0,53,6,6,50,47,43,50.0,0.0,190.0,218,103,19,94.6,25.75,44,17,8,78.0,13,3.25,188,11,31,57,18.7,141,84.0,13.0,128.4,3.0,63,1065,315.0,8,115.0,31.5,27.0
5,つくばユナイテッドSunGAIA,1,4,2,90,76,86,60.0,15.0,327.0,465.0,185.0,39.0,39.8,12.33,74.0,31.0,13.0,41.9,32.0,2.13,330.0,8.0,54.0,74.0,3.9,292.0,146.0,52.0,58.9,16.0,102,11,10,90,100,101,53.0,12.0,356.0,478,206,37,177.6,55.28,76,31,6,165.2,27,7.3,353,14,54,87,27.2,271,129.0,65.0,240.4,11.0,109,2231,1711.0,15,225.0,31.4,24.3
6,つくばユナイテッドSunGAIA,2,9,6,117,118,130,91.0,30.0,486.0,588.0,281.0,47.0,47.8,13.38,110.0,50.0,17.0,45.5,62.0,2.95,489.0,16.0,73.0,99.0,4.6,406.0,195.0,102.0,60.6,10.0,127,12,9,131,116,117,94.0,27.0,485.0,639,299,49,238.5,71.75,114,51,18,227.0,47,11.469999999999999,482,9,71,105,19.4,407,204.0,96.0,308.1,7.0,130,2913,1471.0,21,359.0,39.8,30.0
7,つくばユナイテッドSunGAIA,3,7,2,183,172,171,121.0,15.0,662.0,954.0,373.0,69.0,39.1,12.43,173.0,75.0,20.0,43.4,63.0,2.1,672.0,23.0,143.0,142.0,3.4,615.0,303.0,164.0,62.6,28.0,203,23,22,198,199,199,135.0,13.0,744.0,905,412,70,371.8,110.87,161,67,24,332.7,65,17.57,734,27,103,137,40.5,519,241.0,123.0,472.1,30.0,240,4929,3213.0,30,459.0,31.9,31.8
8,つくばユナイテッドSunGAIA,11,16,13,164,150,166,118.0,30.0,628.0,771.0,348.0,61.0,45.1,12.43,130.0,44.0,20.0,33.8,75.0,2.68,628.0,24.0,117.0,144.0,4.9,522.0,284.0,105.0,64.5,19.0,181,12,8,161,162,146,116.0,25.0,610.0,762,330,72,304.8,82.08,122,60,20,328.6,69,17.52,610,14,83,124,26.3,498,225.0,118.0,397.4,26.0,197,3597,3470.0,28,447.0,37.2,18.5
9,つくばユナイテッドSunGAIA,12,6,6,50,47,43,50.0,0.0,190.0,218.0,103.0,19.0,47.2,12.88,44.0,17.0,8.0,38.6,13.0,1.62,188.0,11.0,31.0,57.0,9.3,141.0,84.0,13.0,64.2,3.0,63,2,0,33,48,43,44.0,0.0,168.0,238,104,29,87.4,26.0,37,16,6,87.4,6,1.5,170,5,26,42,10.4,153,69.0,20.0,103.3,8.0,53,1065,315.0,8,127.0,38.5,20.5
