No.,L,Player,Set,1set,2set,3set,4set,5set,AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,GameId,Date,Place,Venue,Spectators,StartTime,EndTime,GameTime,JURY,ChiefUmpire,SubUmpire,Judge,Team,Op.Team,Point
1,,オケケアルメソマチ,5,■,■,□,■,■,45,15,5,33.3,3.0,7,1,1,14.3,4,0.8,11,0,2,0,-4.5,0,0,0,,641,2022-10-29,山形県,酒田市国体記念体育館,540,13:00,15:19,2:19,斎藤篤,赤川孝義,斎藤隆介,佐藤大輔,プレステージ・インターナショナルアランマーレ,千葉エンゼルクロス,19
2,,前田美紅,5,■,■,■,■,■,62,21,5,33.9,4.2,2,1,0,50.0,3,0.6,14,1,2,2,7.1,38,19,10,63.2,641,2022-10-29,山形県,酒田市国体記念体育館,540,13:00,15:19,2:19,斎藤篤,赤川孝義,斎藤隆介,佐藤大輔,プレステージ・インターナショナルアランマーレ,千葉エンゼルクロス,25
3,,木村友里,4,■,■,■,■,,33,9,2,27.3,2.25,4,0,0,0.0,0,,11,0,0,1,2.3,23,12,5,63.0,641,2022-10-29,山形県,酒田市国体記念体育館,540,13:00,15:19,2:19,斎藤篤,赤川孝義,斎藤隆介,佐藤大輔,プレステージ・インターナショナルアランマーレ,千葉エンゼルクロス,9
4,,菅原里奈,5,■,■,■,■,■,18,4,2,22.2,0.8,0,0,0,,2,0.4,13,0,0,3,5.8,0,0,0,,641,2022-10-29,山形県,酒田市国体記念体育館,540,13:00,15:19,2:19,斎藤篤,赤川孝義,斎藤隆介,佐藤大輔,プレステージ・インターナショナルアランマーレ,千葉エンゼルクロス,6
6,,宮本菜月,3,,□,■,□,,10,2,1,20.0,0.67,1,0,0,0.0,0,,10,0,1,3,5.0,0,0,0,,641,2022-10-29,山形県,酒田市国体記念体育館,540,13:00,15:19,2:19,斎藤篤,赤川孝義,斎藤隆介,佐藤大輔,プレステージ・インターナショナルアランマーレ,千葉エンゼルクロス,2
7,,伊藤摩耶,5,■,■,■,■,■,37,13,1,35.1,2.6,0,0,0,,2,0.4,19,1,1,9,15.8,4,3,0,75.0,641,2022-10-29,山形県,酒田市国体記念体育館,540,13:00,15:19,2:19,斎藤篤,赤川孝義,斎藤隆介,佐藤大輔,プレステージ・インターナショナルアランマーレ,千葉エンゼルクロス,16
9,,草島華穂,2,,□,,,□,0,0,0,,,0,0,0,,0,,3,1,0,2,50.0,2,1,0,50.0,641,2022-10-29,山形県,酒田市国体記念体育館,540,13:00,15:19,2:19,斎藤篤,赤川孝義,斎藤隆介,佐藤大輔,プレステージ・インターナショナルアランマーレ,千葉エンゼルクロス,1
10,,柳沢紫子,2,,□,,,□,0,0,0,,,0,0,0,,1,0.5,3,0,0,0,0.0,0,0,0,,641,2022-10-29,山形県,酒田市国体記念体育館,540,13:00,15:19,2:19,斎藤篤,赤川孝義,斎藤隆介,佐藤大輔,プレステージ・インターナショナルアランマーレ,千葉エンゼルクロス,1
12,,石盛めるも,5,■,■,■,■,■,4,0,0,0.0,,0,0,0,,0,,13,0,0,3,5.8,0,0,0,,641,2022-10-29,山形県,酒田市国体記念体育館,540,13:00,15:19,2:19,斎藤篤,赤川孝義,斎藤隆介,佐藤大輔,プレステージ・インターナショナルアランマーレ,千葉エンゼルクロス,0
14,,長尾のどか,3,,□,□,□,,0,0,0,,,0,0,0,,0,,0,0,0,0,,0,0,0,,641,2022-10-29,山形県,酒田市国体記念体育館,540,13:00,15:19,2:19,斎藤篤,赤川孝義,斎藤隆介,佐藤大輔,プレステージ・インターナショナルアランマーレ,千葉エンゼルクロス,0
16,,角田南見,0,,,,,,0,0,0,,,0,0,0,,0,,0,0,0,0,,0,0,0,,641,2022-10-29,山形県,酒田市国体記念体育館,540,13:00,15:19,2:19,斎藤篤,赤川孝義,斎藤隆介,佐藤大輔,プレステージ・インターナショナルアランマーレ,千葉エンゼルクロス,0
17,,有村涼美,3,,,□,□,■,28,11,3,39.3,3.67,3,0,0,0.0,0,,11,1,0,4,18.2,18,12,3,75.0,641,2022-10-29,山形県,酒田市国体記念体育館,540,13:00,15:19,2:19,斎藤篤,赤川孝義,斎藤隆介,佐藤大輔,プレステージ・インターナショナルアランマーレ,千葉エンゼルクロス,12
18,,佐藤菜々美,1,,,□,,,0,0,0,,,0,0,0,,0,,4,1,0,0,25.0,0,0,0,,641,2022-10-29,山形県,酒田市国体記念体育館,540,13:00,15:19,2:19,斎藤篤,赤川孝義,斎藤隆介,佐藤大輔,プレステージ・インターナショナルアランマーレ,千葉エンゼルクロス,1
19,L,有薗未也美,5,●,●,●,●,●,0,0,0,,,0,0,0,,0,,0,0,0,0,,16,7,8,68.8,641,2022-10-29,山形県,酒田市国体記念体育館,540,13:00,15:19,2:19,斎藤篤,赤川孝義,斎藤隆介,佐藤大輔,プレステージ・インターナショナルアランマーレ,千葉エンゼルクロス,0
2,,岡部美優,5,■,■,■,■,■,2,0,0,0.0,,0,0,0,,0,,20,0,2,3,1.2,0,0,0,,641,2022-10-29,山形県,酒田市国体記念体育館,540,13:00,15:19,2:19,斎藤篤,赤川孝義,斎藤隆介,佐藤大輔,千葉エンゼルクロス,プレステージ・インターナショナルアランマーレ,0
3,,黒田夢乃,5,□,□,□,□,□,0,0,0,,,0,0,0,,0,,9,1,0,2,16.7,14,5,3,46.4,641,2022-10-29,山形県,酒田市国体記念体育館,540,13:00,15:19,2:19,斎藤篤,赤川孝義,斎藤隆介,佐藤大輔,千葉エンゼルクロス,プレステージ・インターナショナルアランマーレ,1
