,Player,Team,Month,No.,Set,AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,GameId,Spectators,Point,AEff%,BAEff%
0,アンドラデレイレライニ,ブレス浜松,1,16,15,181,62,10,34.3,4.13,33,7,3,21.2,3,0.2,59,5,16,19,9.7,90,49,16,63.3,2769,3293,70,28.7,12.1
1,アンドラデレイレライニ,ブレス浜松,10,8,4,11,4,1,36.4,1.0,1,0,0,0.0,0,0.0,3,0,2,0,-16.7,0,0,0,,1290,700,4,27.3,0.0
2,アンドラデレイレライニ,ブレス浜松,11,16,17,152,53,9,34.9,3.12,39,9,5,23.1,4,0.24,50,10,11,12,20.5,0,0,0,,2652,2035,67,28.9,10.3
3,アンドラデレイレライニ,ブレス浜松,12,8,8,79,24,6,30.4,3.0,19,6,2,31.6,4,0.5,28,2,7,9,8.9,20,7,4,45.0,1356,795,30,22.8,21.1
4,オケケアルメソマチ,プレステージ・インターナショナルアランマーレ,1,4,15,127,50,8,39.4,3.33,21,4,2,19.0,13,0.87,44,1,8,14,5.7,0,0,0,,2760,3034,64,33.1,9.5
5,オケケアルメソマチ,プレステージ・インターナショナルアランマーレ,10,2,8,77,23,7,29.9,2.88,13,3,1,23.1,6,0.75,21,0,4,2,-2.4,0,0,0,,1286,1210,29,20.8,15.4
6,オケケアルメソマチ,プレステージ・インターナショナルアランマーレ,11,4,11,82,37,8,45.1,3.36,10,2,2,20.0,9,0.82,26,2,5,2,4.8,0,0,0,,2649,1831,48,35.4,0.0
7,オケケアルメソマチ,プレステージ・インターナショナルアランマーレ,12,2,9,71,31,7,43.7,3.44,14,6,4,42.9,4,0.44,23,1,1,8,12.0,2,0,0,0.0,1357,1270,36,33.8,14.3
8,ハンタヴァエヴァンゲリア,群馬銀行グリーンウイングス,1,32,10,70,30,10,42.9,3.0,9,4,2,44.4,4,0.4,18,0,6,5,-1.4,18,4,6,38.9,2759,1905,34,28.6,22.2
9,ハンタヴァエヴァンゲリア,群馬銀行グリーンウイングス,10,16,2,15,6,1,40.0,3.0,0,0,0,,1,0.5,0,0,0,0,,4,2,1,62.5,1288,720,7,33.3,
10,ハンタヴァエヴァンゲリア,群馬銀行グリーンウイングス,11,40,12,104,36,9,34.6,3.0,13,3,1,23.1,3,0.25,28,0,3,7,3.6,22,10,4,54.5,3305,2375,39,26.0,15.4
11,ハンタヴァエヴァンゲリア,群馬銀行グリーンウイングス,12,8,1,4,2,0,50.0,2.0,0,0,0,,0,0.0,0,0,0,0,,1,1,0,100.0,683,230,2,50.0,
12,七條彩乃,フォレストリーヴズ熊本,1,52,0,0,0,0,,,0,0,0,,0,,0,0,0,0,,0,0,0,,2779,1151,0,,
13,七條彩乃,フォレストリーヴズ熊本,11,78,0,0,0,0,,,0,0,0,,0,,0,0,0,0,,0,0,0,,3973,1832,0,,
14,三宅楓,JAぎふリオレーナ,1,22,3,0,0,0,,0.0,0,0,0,,0,0.0,0,0,0,0,,0,0,0,,1396,2993,0,,
15,三宅楓,JAぎふリオレーナ,10,22,6,0,0,0,,0.0,0,0,0,,0,0.0,13,0,1,3,3.8,0,0,0,,1291,880,0,,
