,Team,Month,GetSet,GetPoint,1SetPoint,2SetPoint,3SetPoint,4SetPoint,5SetPoint,TotalPoint,AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,TF,OpE,LostSet,LostPoint,Op1SetPoint,Op2SetPoint,Op3SetPoint,Op4SetPoint,Op5SetPoint,OpTotalPoint,OpAA,OpAP,OpAE,OpASucc%,OpAP/S,OpBAA,OpBAP,OpBAE,OpBP,OpBP/S,OpSVA,OpSVP,OpSVE,OpSVx,OpSVEff%,OpRA,OpRx,OpRg,OpRSucc%,OpTF,OpOpE,GameId,Spectators,TotalSet,Point,AEff%,BAEff%
0,GSS東京サンビームズ,1,3,0,88.0,81.0,82.0,59.0,0.0,310.0,630.0,191.0,40.0,30.3,12.73,23.0,4.0,4.0,17.4,26.0,1.73,315.0,5.0,24.0,78.0,5.9,320.0,152.0,63.0,57.3,17.0,88,12,12,99.0,97.0,99.0,75.0,0.0,370.0,692,246,33,142.2,64.92,19,2,2,25,6.75,365,18,40,92,34.6,290,146.0,62.0,241.2,15.0,81,2791,2681.0,15,222.0,24.0,0.0
1,GSS東京サンビームズ,2,11,8,121.0,113.0,107.0,104.0,15.0,460.0,892.0,281.0,46.0,31.5,13.38,64.0,17.0,6.0,26.6,30.0,1.43,460.0,26.0,25.0,92.0,9.3,389.0,171.0,102.0,57.1,32.0,123,10,7,97.0,100.0,122.0,113.0,11.0,443.0,888,297,55,169.7,63.15,57,13,8,28,5.95,451,16,47,110,34.2,427,183.0,138.0,297.2,21.0,103,3615,2192.0,21,337.0,26.3,17.2
2,GSS東京サンビームズ,3,5,4,47.0,50.0,46.0,48.0,10.0,201.0,360.0,128.0,24.0,35.6,14.22,8.0,5.0,0.0,62.5,13.0,1.44,200.0,9.0,16.0,32.0,6.5,166.0,59.0,53.0,51.5,5.0,51,4,2,47.0,37.0,39.0,49.0,15.0,187.0,364,124,29,67.9,27.5,24,3,5,12,2.45,188,6,19,51,14.600000000000001,183,80.0,63.0,121.69999999999999,3.0,45,1491,2570.0,9,150.0,28.9,62.5
3,GSS東京サンビームズ,10,1,0,36.0,46.0,38.0,19.0,0.0,139.0,280.0,76.0,19.0,27.1,10.86,14.0,2.0,1.0,14.3,9.0,1.29,141.0,1.0,12.0,23.0,2.7,154.0,68.0,34.0,55.2,10.0,53,6,6,50.0,50.0,50.0,25.0,0.0,175.0,302,118,25,77.6,33.5,37,12,7,10,3.08,173,6,19,46,15.0,129,84.0,21.0,145.7,9.0,41,1291,1000.0,7,86.0,20.4,7.1
4,GSS東京サンビームズ,11,10,8,108.0,104.0,106.0,63.0,18.0,399.0,815.0,261.0,48.0,32.0,13.74,22.0,5.0,0.0,22.7,33.0,1.74,398.0,12.0,24.0,78.0,6.4,411.0,210.0,89.0,61.9,21.0,93,9,7,122.0,114.0,112.0,66.0,16.0,430.0,814,291,56,178.8,76.94,18,3,1,30,8.16,430,15,17,100,40.0,370,196.0,88.0,320.6,20.0,93,3284,1916.0,19,306.0,26.1,22.7
5,GSS東京サンビームズ,12,4,3,51.0,44.0,47.0,20.0,0.0,162.0,305.0,108.0,18.0,35.4,15.43,7.0,4.0,0.0,57.1,16.0,2.29,162.0,8.0,6.0,38.0,9.9,162.0,89.0,34.0,65.4,7.0,30,3,3,47.0,48.0,48.0,25.0,0.0,168.0,319,121,18,75.0,34.17,7,2,1,14,4.08,168,2,6,37,12.4,156,83.0,27.0,123.2,6.0,31,1361,390.0,7,132.0,29.5,57.1
6,JAぎふリオレーナ,1,15,13,148.0,146.0,142.0,97.0,8.0,541.0,1022.0,364.0,63.0,35.6,15.83,23.0,6.0,2.0,26.1,39.0,1.7,536.0,20.0,51.0,138.0,7.8,456.0,201.0,93.0,54.3,26.0,118,8,5,145.0,127.0,121.0,84.0,15.0,492.0,956,300,56,187.2,77.68,37,6,4,40,10.14,497,12,39,152,47.4,482,240.0,87.0,357.8,23.0,140,4197,4007.0,23,423.0,29.5,17.4
7,JAぎふリオレーナ,2,10,8,97.0,100.0,82.0,65.0,15.0,359.0,662.0,251.0,36.0,37.9,15.69,15.0,5.0,2.0,33.3,27.0,1.69,357.0,14.0,47.0,90.0,6.9,318.0,139.0,88.0,57.5,16.0,67,6,4,91.0,79.0,94.0,66.0,7.0,337.0,616,194,35,128.2,48.93,12,3,0,33,8.2,339,11,18,83,33.4,304,127.0,78.0,217.7,14.0,99,2916,2622.0,16,292.0,32.5,20.0
8,JAぎふリオレーナ,3,3,3,25.0,25.0,21.0,25.0,0.0,96.0,183.0,67.0,16.0,36.6,16.75,3.0,1.0,1.0,33.3,9.0,2.25,95.0,2.0,10.0,25.0,6.1,80.0,29.0,26.0,52.5,2.0,18,1,0,18.0,20.0,25.0,22.0,0.0,85.0,189,52,12,27.5,13.0,6,0,0,2,0.5,86,3,6,22,8.1,83,38.0,20.0,57.8,0.0,28,744,1310.0,4,78.0,27.9,0.0
9,JAぎふリオレーナ,10,1,0,39.0,37.0,42.0,19.0,0.0,137.0,282.0,82.0,21.0,29.1,11.71,26.0,8.0,4.0,30.8,9.0,1.29,140.0,2.0,26.0,32.0,2.5,144.0,59.0,29.0,51.0,5.0,44,6,6,45.0,50.0,51.0,25.0,0.0,171.0,247,94,14,78.5,27.17,33,9,7,16,4.42,168,9,22,49,20.0,113,63.0,17.0,125.2,8.0,52,1291,880.0,7,93.0,21.6,15.4
