,Team,GetSet,GetPoint,1SetPoint,2SetPoint,3SetPoint,4SetPoint,5SetPoint,TotalPoint,AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,TF,OpE,LostSet,LostPoint,Op1SetPoint,Op2SetPoint,Op3SetPoint,Op4SetPoint,Op5SetPoint,OpTotalPoint,OpAA,OpAP,OpAE,OpASucc%,OpAP/S,OpBAA,OpBAP,OpBAE,OpBP,OpBP/S,OpSVA,OpSVP,OpSVE,OpSVx,OpSVEff%,OpRA,OpRx,OpRg,OpRSucc%,OpTF,OpOpE,GameId,Spectators,Point,Set,AEff%,BAEff%
0,GSS東京サンビームズ,17,11,262.0,250.0,250.0,142.0,18.0,922,1887,593,116,31.4,13.48,60,13,5,21.7,74,1.68,927,23,62,199,6.2,970,476,209,59.8,48.0,232,27,25,293.0,287.0,284.0,166.0,16.0,1046,1944,711,123,438.1,193.28,68,18,9,71,20.07,1040,37,63,256,97.8,860,463.0,180.0,766.0,46.0,226,8022,5481,690,44,25.3,13.3
1,JAぎふリオレーナ,17,12,270.0,256.0,273.0,162.0,23.0,984,1965,653,135,33.2,13.6,105,28,20,26.7,59,1.23,991,38,135,258,6.9,992,427,214,53.8,43.0,234,31,27,318.0,301.0,303.0,158.0,28.0,1108,1796,649,93,485.0,176.99,129,28,18,102,28.14,1101,44,96,319,119.7,848,408.0,153.0,760.6,45.0,313,8757,7386,750,48,26.4,7.6
2,フォレストリーヴズ熊本,15,9,247.0,238.0,234.0,173.0,29.0,921,1867,621,88,33.3,14.44,41,10,6,24.4,57,1.33,928,30,49,207,7.5,903,395,195,54.5,19.0,213,28,24,253.0,250.0,264.0,184.0,29.0,980,1865,701,107,420.9,181.27,88,23,15,82,20.73,973,41,63,279,106.3,868,474.0,168.0,703.0,43.0,156,7434,3163,708,43,28.5,9.8
3,ブレス浜松,31,24,270.0,269.0,288.0,232.0,74.0,1133,1925,683,131,35.5,13.13,270,58,38,21.5,119,2.29,1129,66,152,329,9.8,961,519,171,62.9,61.0,265,21,12,266.0,259.0,253.0,209.0,75.0,1062,1913,604,127,378.1,139.68,96,20,11,72,16.37,1066,42,90,245,89.4,957,410.0,172.0,617.9,48.0,344,8067,6823,868,52,28.7,7.4
4,プレステージ・インターナショナルアランマーレ,34,31,299.0,289.0,293.0,143.0,33.0,1057,1823,650,128,35.7,14.77,170,39,15,22.9,108,2.45,1044,49,84,301,9.9,854,442,214,64.3,35.0,250,10,5,282.0,223.0,256.0,139.0,23.0,923,1859,585,126,377.90000000000003,159.76,91,22,15,70,18.48,935,21,75,183,59.800000000000004,950,380.0,230.0,626.5,49.0,247,8052,7345,807,44,28.6,14.1
5,リガーレ仙台,24,20,252.0,256.0,270.0,108.0,15.0,901,1622,585,73,36.1,15.0,13,0,1,0.0,59,1.51,897,21,39,204,6.9,729,344,182,59.7,34.0,236,15,13,231.0,215.0,234.0,118.0,13.0,811,1690,566,121,363.1,157.43,125,30,20,73,19.67,814,26,83,180,67.6,850,400.0,234.0,665.2,32.0,146,7377,5526,665,39,31.6,-7.7
6,ルートインホテルズブリリアントアリーズ,25,21,250.0,236.0,239.0,141.0,28.0,894,1512,551,92,36.4,14.5,139,40,21,28.8,101,2.66,889,42,46,226,9.8,705,363,120,60.0,56.0,200,13,9,192.0,196.0,226.0,142.0,24.0,780,1633,503,100,304.90000000000003,130.55,108,23,11,48,12.53,784,35,74,193,71.8,835,392.0,184.0,574.8,26.0,194,6719,4955,694,38,30.4,13.7
7,ヴィアティン三重,13,8,211.0,241.0,202.0,131.0,41.0,826,1720,542,100,31.5,13.9,112,20,14,17.9,50,1.28,830,27,75,181,6.4,824,383,154,55.8,30.0,207,26,22,253.0,242.0,239.0,142.0,32.0,908,1644,583,91,358.3,152.37,115,26,12,84,21.92,904,36,70,261,93.0,748,373.0,173.0,619.4,46.0,205,6783,4721,619,39,25.7,5.4
8,千葉エンゼルクロス,12,8,242.0,211.0,247.0,104.0,32.0,836,1715,552,115,32.2,13.8,25,5,2,20.0,51,1.27,845,22,28,204,7.8,840,395,215,59.8,40.0,210,28,25,257.0,266.0,252.0,118.0,36.0,929,1701,610,104,404.8,169.35999999999999,69,10,10,92,25.89,920,44,63,202,96.0,812,419.0,172.0,682.6,43.0,183,7328,3172,625,40,25.5,12.0
9,大野石油広島オイラーズ,14,9,221.0,222.0,197.0,110.0,57.0,807,1540,486,110,31.6,12.15,41,7,8,17.1,55,1.38,813,42,59,211,9.8,779,361,163,56.8,30.0,224,26,21,227.0,235.0,235.0,116.0,74.0,887,1560,567,101,373.9,145.14000000000001,119,24,18,69,17.8,881,52,89,216,92.7,743,350.0,152.0,577.4,34.0,199,6742,3762,583,40,24.4,-2.4
10,群馬銀行グリーンウイングス,33,33,295.0,276.0,285.0,175.0,0.0,1031,1775,666,118,37.5,15.49,122,22,19,18.0,96,2.23,1016,45,116,243,7.6,802,349,207,56.4,48.0,224,10,3,247.0,270.0,232.0,129.0,0.0,878,1746,503,113,347.5,138.83,90,18,10,66,18.83,891,27,79,229,87.5,888,385.0,226.0,670.8,32.0,282,8035,5230,807,43,30.9,2.5
