No.,L,Player,Set,1set,2set,3set,4set,5set,AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,GameId,Date,Place,Venue,Spectators,StartTime,EndTime,GameTime,JURY,ChiefUmpire,SubUmpire,Judge,Team,Op.Team
1,,渡邊徹,0,,,,,,0,0,0,,,0,0,0,,0,,0,0,0,0,,0,0,0,,761,2022-11-05,京都府,舞鶴文化公園体育館,300,11:00,12:27,1:27,大塚達也,辻本貴大,梅崎幸人,槇隆道,奈良ドリーマーズ,千葉ZELVA
5,,中西翔太,1,□,,,,,0,0,0,,,0,0,0,,0,,1,0,1,0,-25.0,0,0,0,,761,2022-11-05,京都府,舞鶴文化公園体育館,300,11:00,12:27,1:27,大塚達也,辻本貴大,梅崎幸人,槇隆道,奈良ドリーマーズ,千葉ZELVA
7,,有津翔太,3,■,■,■,,,8,4,1,50.0,1.33,0,0,0,,2,0.67,5,0,0,1,5.0,0,0,0,,761,2022-11-05,京都府,舞鶴文化公園体育館,300,11:00,12:27,1:27,大塚達也,辻本貴大,梅崎幸人,槇隆道,奈良ドリーマーズ,千葉ZELVA
8,,高橋和希,1,,,■,,,7,1,0,14.3,1.0,0,0,0,,0,,6,0,0,1,4.2,5,3,1,70.0,761,2022-11-05,京都府,舞鶴文化公園体育館,300,11:00,12:27,1:27,大塚達也,辻本貴大,梅崎幸人,槇隆道,奈良ドリーマーズ,千葉ZELVA
10,,檀上正健,2,■,,■,,,7,3,1,42.9,1.5,0,0,0,,1,0.5,10,0,0,0,0.0,0,0,0,,761,2022-11-05,京都府,舞鶴文化公園体育館,300,11:00,12:27,1:27,大塚達也,辻本貴大,梅崎幸人,槇隆道,奈良ドリーマーズ,千葉ZELVA
11,,後藤和志,1,,□,,,,0,0,0,,,0,0,0,,0,,1,0,0,0,0.0,0,0,0,,761,2022-11-05,京都府,舞鶴文化公園体育館,300,11:00,12:27,1:27,大塚達也,辻本貴大,梅崎幸人,槇隆道,奈良ドリーマーズ,千葉ZELVA
12,,江崎闘愛,3,■,■,■,,,36,17,3,47.2,5.67,12,7,0,58.3,2,0.67,12,0,3,3,0.0,0,0,0,,761,2022-11-05,京都府,舞鶴文化公園体育館,300,11:00,12:27,1:27,大塚達也,辻本貴大,梅崎幸人,槇隆道,奈良ドリーマーズ,千葉ZELVA
15,,上竣,1,,□,,,,0,0,0,,,0,0,0,,0,,1,0,1,0,-25.0,0,0,0,,761,2022-11-05,京都府,舞鶴文化公園体育館,300,11:00,12:27,1:27,大塚達也,辻本貴大,梅崎幸人,槇隆道,奈良ドリーマーズ,千葉ZELVA
16,,片野坂拓人,3,■,■,□,,,12,8,0,66.7,2.67,0,0,0,,0,,10,0,0,5,12.5,13,12,0,92.3,761,2022-11-05,京都府,舞鶴文化公園体育館,300,11:00,12:27,1:27,大塚達也,辻本貴大,梅崎幸人,槇隆道,奈良ドリーマーズ,千葉ZELVA
17,,近藤海斗,3,■,■,■,,,1,1,0,100.0,0.33,0,0,0,,1,0.33,13,0,2,3,1.9,1,0,0,0.0,761,2022-11-05,京都府,舞鶴文化公園体育館,300,11:00,12:27,1:27,大塚達也,辻本貴大,梅崎幸人,槇隆道,奈良ドリーマーズ,千葉ZELVA
18,,チョンテヒョン,3,■,■,■,,,25,15,4,60.0,5.0,4,2,1,50.0,0,,18,2,3,10,20.8,12,4,4,50.0,761,2022-11-05,京都府,舞鶴文化公園体育館,300,11:00,12:27,1:27,大塚達也,辻本貴大,梅崎幸人,槇隆道,奈良ドリーマーズ,千葉ZELVA
19,L,石渡瑛法,0,,,,,,0,0,0,,,0,0,0,,0,,0,0,0,0,,0,0,0,,761,2022-11-05,京都府,舞鶴文化公園体育館,300,11:00,12:27,1:27,大塚達也,辻本貴大,梅崎幸人,槇隆道,奈良ドリーマーズ,千葉ZELVA
25,L,山根志哉,3,●,●,●,,,0,0,0,,,0,0,0,,0,,0,0,0,0,,23,17,3,80.4,761,2022-11-05,京都府,舞鶴文化公園体育館,300,11:00,12:27,1:27,大塚達也,辻本貴大,梅崎幸人,槇隆道,奈良ドリーマーズ,千葉ZELVA
33,,岡本伊武己,1,,■,,,,3,2,0,66.7,2.0,0,0,0,,1,1.0,4,0,0,1,6.2,0,0,0,,761,2022-11-05,京都府,舞鶴文化公園体育館,300,11:00,12:27,1:27,大塚達也,辻本貴大,梅崎幸人,槇隆道,奈良ドリーマーズ,千葉ZELVA
1,,浅野晶,0,,,,,,0,0,0,,,0,0,0,,0,,0,0,0,0,,0,0,0,,761,2022-11-05,京都府,舞鶴文化公園体育館,300,11:00,12:27,1:27,大塚達也,辻本貴大,梅崎幸人,槇隆道,千葉ZELVA,奈良ドリーマーズ
3,,齋藤貴大,3,■,■,■,,,10,3,1,30.0,1.0,0,0,0,,3,1.0,10,1,0,1,12.5,0,0,0,,761,2022-11-05,京都府,舞鶴文化公園体育館,300,11:00,12:27,1:27,大塚達也,辻本貴大,梅崎幸人,槇隆道,千葉ZELVA,奈良ドリーマーズ
4,,橋本大海,3,■,■,■,,,5,1,1,20.0,0.33,0,0,0,,2,0.67,10,1,2,3,12.5,1,1,0,100.0,761,2022-11-05,京都府,舞鶴文化公園体育館,300,11:00,12:27,1:27,大塚達也,辻本貴大,梅崎幸人,槇隆道,千葉ZELVA,奈良ドリーマーズ
