Team,GetSet,GetPoint,1SetPoint,2SetPoint,3SetPoint,4SetPoint,5SetPoint,TotalPoint,AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,TF,OpE,OpTeam,LostSet,LostPoint,Op1SetPoint,Op2SetPoint,Op3SetPoint,Op4SetPoint,Op5SetPoint,OpTotalPoint,OpAA,OpAP,OpAE,OpASucc%,OpAP/S,OpBAA,OpBAP,OpBAE,OpBASucc%,OpBP,OpBP/S,OpSVA,OpSVP,OpSVE,OpSVx,OpSVEff%,OpRA,OpRx,OpRg,OpRSucc%,OpTF,OpOpE,GameId,Date,Place,Venue,Spectators,StartTime,EndTime,GameTime,JURY,ChiefUmpire,SubUmpire,Judge,TotalSet
福岡ウイニングスピリッツ,1,0,20,25,22,22,,89.0,120.0,53.0,6.0,44.2,13.25,31.0,16.0,2.0,51.6,7.0,1.75,90.0,5.0,19.0,19.0,5.6,83.0,39.0,18.0,57.8,2.0,24,長野GaRons,3,3,25,19,25,25,,94.0,112,55,9,49.1,13.75,27,13,4,48.1,11,2.75,93,1,10,25,5.1,68,29.0,18.0,55.9,5.0,27,851,2023-02-11,福岡県,福岡市民体育館,200.0,13:00,14:44,1:44,芦田光巨,外室善英,坂口美華,賀来愛実,4
長野GaRons,3,3,25,19,25,25,,94.0,112.0,55.0,9.0,49.1,13.75,27.0,13.0,4.0,48.1,11.0,2.75,93.0,1.0,10.0,25.0,5.1,68.0,29.0,18.0,55.9,5.0,27,福岡ウイニングスピリッツ,1,0,20,25,22,22,,89.0,120,53,6,44.2,13.25,31,16,2,51.6,7,1.75,90,5,19,19,5.6,83,39.0,18.0,57.8,2.0,24,851,2023-02-11,福岡県,福岡市民体育館,200.0,13:00,14:44,1:44,芦田光巨,外室善英,坂口美華,賀来愛実,4
奈良ドリーマーズ,3,3,25,25,32,,,82.0,99.0,51.0,9.0,51.5,17.0,16.0,9.0,1.0,56.2,7.0,2.33,81.0,2.0,10.0,24.0,6.8,54.0,36.0,8.0,74.1,1.0,22,千葉ZELVA,0,0,11,22,30,,,63.0,78,31,9,39.7,10.33,10,4,1,40.0,10,3.33,64,2,9,9,3.1,71,34.0,11.0,55.6,4.0,20,761,2022-11-05,京都府,舞鶴文化公園体育館,300.0,11:00,12:27,1:27,大塚達也,辻本貴大,梅崎幸人,槇隆道,3
千葉ZELVA,0,0,11,22,30,,,63.0,78.0,31.0,9.0,39.7,10.33,10.0,4.0,1.0,40.0,10.0,3.33,64.0,2.0,9.0,9.0,3.1,71.0,34.0,11.0,55.6,4.0,20,奈良ドリーマーズ,3,3,25,25,32,,,82.0,99,51,9,51.5,17.00,16,9,1,56.2,7,2.33,81,2,10,24,6.8,54,36.0,8.0,74.1,1.0,22,761,2022-11-05,京都府,舞鶴文化公園体育館,300.0,11:00,12:27,1:27,大塚達也,辻本貴大,梅崎幸人,槇隆道,3
トヨタ自動車サンホークス,3,3,25,25,25,,,75.0,80.0,42.0,2.0,52.5,14.0,4.0,2.0,0.0,50.0,9.0,3.0,73.0,2.0,16.0,24.0,5.5,42.0,31.0,1.0,75.0,2.0,22,東京ヴェルディ,0,0,12,18,18,,,48.0,75,23,12,30.7,7.67,16,3,6,18.8,5,1.67,50,0,8,10,1.0,57,30.0,1.0,53.5,2.0,20,762,2022-11-05,京都府,舞鶴文化公園体育館,300.0,13:30,14:39,1:09,北村友香,德田幸恵,吉山弘道,平野尚宣,3
東京ヴェルディ,0,0,12,18,18,,,48.0,75.0,23.0,12.0,30.7,7.67,16.0,3.0,6.0,18.8,5.0,1.67,50.0,0.0,8.0,10.0,1.0,57.0,30.0,1.0,53.5,2.0,20,トヨタ自動車サンホークス,3,3,25,25,25,,,75.0,80,42,2,52.5,14.00,4,2,0,50.0,9,3.00,73,2,16,24,5.5,42,31.0,1.0,75.0,2.0,22,762,2022-11-05,京都府,舞鶴文化公園体育館,300.0,13:30,14:39,1:09,北村友香,德田幸恵,吉山弘道,平野尚宣,3
クボタスピアーズ,3,3,25,25,23,25,,98.0,115.0,60.0,9.0,52.2,15.0,20.0,12.0,2.0,60.0,12.0,3.0,97.0,1.0,17.0,18.0,1.3,78.0,57.0,3.0,75.0,4.0,25,長野GaRons,1,0,22,17,25,21,,85.0,115,45,14,39.1,11.25,35,12,9,34.3,7,1.75,86,3,7,17,6.4,80,42.0,19.0,64.4,4.0,30,763,2022-11-05,京都府,舞鶴文化公園体育館,170.0,16:00,17:33,1:33,大塚達也,梅﨑幸人,小倉肇,元木麗,4
長野GaRons,1,0,22,17,25,21,,85.0,115.0,45.0,14.0,39.1,11.25,35.0,12.0,9.0,34.3,7.0,1.75,86.0,3.0,7.0,17.0,6.4,80.0,42.0,19.0,64.4,4.0,30,クボタスピアーズ,3,3,25,25,23,25,,98.0,115,60,9,52.2,15.00,20,12,2,60.0,12,3.00,97,1,17,18,1.3,78,57.0,3.0,75.0,4.0,25,763,2022-11-05,京都府,舞鶴文化公園体育館,170.0,16:00,17:33,1:33,大塚達也,梅﨑幸人,小倉肇,元木麗,4
東京ヴェルディ,0,0,18,18,21,,,57.0,83.0,31.0,6.0,37.3,10.33,18.0,5.0,1.0,27.8,10.0,3.33,58.0,2.0,7.0,18.0,8.2,67.0,31.0,8.0,52.2,4.0,14,長野GaRons,3,3,25,25,25,,,75.0,88,40,6,45.5,13.33,25,11,3,44.0,11,3.67,74,7,6,22,14.9,51,23.0,8.0,52.9,2.0,17,766,2022-11-06,京都府,舞鶴文化公園体育館,140.0,11:00,12:20,1:20,北村友香,梅﨑幸人,德田幸恵,槇隆道,3
長野GaRons,3,3,25,25,25,,,75.0,88.0,40.0,6.0,45.5,13.33,25.0,11.0,3.0,44.0,11.0,3.67,74.0,7.0,6.0,22.0,14.9,51.0,23.0,8.0,52.9,2.0,17,東京ヴェルディ,0,0,18,18,21,,,57.0,83,31,6,37.3,10.33,18,5,1,27.8,10,3.33,58,2,7,18,8.2,67,31.0,8.0,52.2,4.0,14,766,2022-11-06,京都府,舞鶴文化公園体育館,140.0,11:00,12:20,1:20,北村友香,梅﨑幸人,德田幸恵,槇隆道,3
