,Team,Month,No.,Set,AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,GameId,Spectators,Point,AEff%,BAEff%
0,クボタスピアーズ,1,886,189,633,324,43,51.2,1.71,111,53,17,47.7,56,0.3,542,16,67,128,5.8,422,221,104,64.7,65326,22386,396,44.4,32.4
1,クボタスピアーズ,11,452,114,425,215,31,50.6,1.89,64,37,6,57.8,34,0.3,343,10,48,76,5.0,269,170,39,70.4,37248,6708,259,43.3,48.4
2,クボタスピアーズ,12,214,56,198,102,18,51.5,1.82,36,17,7,47.2,24,0.43,186,7,22,42,6.5,144,71,39,62.8,19092,5280,133,42.4,27.8
3,トヨタモビリティ東京スパークル,1,951,194,733,301,54,41.1,1.55,110,43,14,39.1,41,0.21,519,14,55,77,3.8,468,240,105,62.5,59566,13094,356,33.7,26.4
4,トヨタモビリティ東京スパークル,11,914,197,705,269,65,38.2,1.37,79,28,15,35.4,43,0.22,492,19,56,97,5.9,457,193,144,58.0,58915,9877,331,28.9,16.5
5,トヨタモビリティ東京スパークル,12,339,58,251,106,21,42.2,1.83,34,11,8,32.4,16,0.28,167,9,14,48,10.5,137,69,40,65.0,20657,0,131,33.9,8.8
6,トヨタ自動車サンホークス,1,856,207,728,355,64,48.8,1.71,63,26,11,41.3,40,0.19,552,24,49,124,7.7,468,219,137,61.4,59748,11234,419,40.0,23.8
7,トヨタ自動車サンホークス,11,1057,235,765,363,42,47.5,1.54,59,31,8,52.5,85,0.36,659,17,80,145,5.0,466,268,97,67.9,70616,19383,465,42.0,39.0
8,トヨタ自動車サンホークス,12,292,50,147,91,10,61.9,1.82,13,5,3,38.5,20,0.4,146,3,20,41,5.7,91,43,13,54.4,19116,7908,114,55.1,15.4
9,千葉ZELVA,1,1144,237,817,369,72,45.2,1.56,78,24,19,30.8,67,0.28,618,33,102,136,6.7,541,278,115,62.0,77561,17886,469,36.4,6.4
10,千葉ZELVA,11,1046,210,567,236,59,41.6,1.12,84,32,10,38.1,50,0.24,447,18,76,69,3.6,424,214,106,63.0,64247,17566,304,31.2,26.2
11,千葉ZELVA,12,381,62,178,80,13,44.9,1.29,31,14,4,45.2,15,0.24,140,1,30,23,-0.5,129,49,34,51.2,22232,0,96,37.6,32.3
12,奈良ドリーマーズ,1,1554,256,820,379,70,46.2,1.48,119,49,17,41.2,78,0.3,672,22,111,144,4.5,548,249,148,58.9,80164,21490,479,37.7,26.9
13,奈良ドリーマーズ,11,1252,183,612,314,65,51.3,1.72,104,42,17,40.4,47,0.26,525,26,97,103,5.2,403,222,88,66.0,63559,17273,387,40.7,24.0
14,奈良ドリーマーズ,12,432,56,165,84,13,50.9,1.5,22,9,4,40.9,15,0.27,148,8,23,29,6.4,107,73,15,75.2,22330,8190,107,43.0,22.7
15,東京ヴェルディ,1,939,242,743,318,53,42.8,1.31,109,47,14,43.1,87,0.36,600,21,49,118,6.4,481,188,120,51.6,73631,14414,426,35.7,30.3
16,東京ヴェルディ,11,728,200,577,230,54,39.9,1.15,109,40,18,36.7,49,0.24,436,14,57,86,4.9,422,160,127,53.0,59684,11789,293,30.5,20.2
17,東京ヴェルディ,12,286,69,244,99,18,40.6,1.43,33,11,6,33.3,17,0.25,177,6,16,29,5.2,161,60,36,48.4,22232,0,122,33.2,15.2
18,福岡ウイニングスピリッツ,1,1439,213,772,338,56,43.8,1.59,153,64,19,41.8,44,0.21,552,18,103,99,3.1,530,249,124,58.7,70250,13795,400,36.5,29.4
19,福岡ウイニングスピリッツ,11,799,109,428,172,34,40.2,1.58,67,32,8,47.8,18,0.17,287,11,38,52,5.1,274,112,71,53.8,39581,5886,201,32.2,35.8
20,福岡ウイニングスピリッツ,12,415,50,160,67,22,41.9,1.34,17,5,3,29.4,16,0.32,126,4,17,17,3.2,124,70,18,63.7,19935,7326,87,28.1,11.8
21,警視庁フォートファイターズ,1,1136,218,759,330,68,43.5,1.51,162,65,25,40.1,52,0.24,535,29,72,129,8.1,470,276,100,69.4,68558,18452,411,34.5,24.7
22,警視庁フォートファイターズ,11,1488,273,840,400,80,47.6,1.47,151,82,17,54.3,66,0.24,684,33,105,131,5.8,532,282,132,65.4,85312,18574,499,38.1,43.0
23,警視庁フォートファイターズ,12,383,66,196,104,13,53.1,1.58,37,17,3,45.9,16,0.24,167,5,26,53,7.0,131,65,38,64.1,22218,0,125,46.4,37.8
24,近畿クラブスフィーダ,1,1874,290,881,410,67,46.5,1.41,159,75,18,47.2,43,0.15,660,32,92,140,6.7,553,277,143,63.0,71838,12536,485,38.9,35.8
25,近畿クラブスフィーダ,11,1332,210,721,318,61,44.1,1.51,69,27,9,39.1,40,0.19,505,17,69,99,4.9,465,237,104,62.2,57431,5598,375,35.6,26.1
26,近畿クラブスフィーダ,12,500,54,170,57,18,33.5,1.06,14,5,3,35.7,7,0.13,106,4,13,33,8.5,126,68,14,59.5,19116,7908,68,22.9,14.3
27,長野GaRons,1,834,262,852,377,66,44.2,1.44,193,82,25,42.5,76,0.29,671,24,76,127,5.5,567,236,157,55.5,71882,13744,477,36.5,29.5
28,長野GaRons,11,631,211,667,311,57,46.6,1.47,196,91,27,46.4,56,0.27,556,21,71,114,5.7,455,192,122,55.6,65896,12888,388,38.1,32.7
29,長野GaRons,12,248,66,216,104,20,48.1,1.58,60,29,8,48.3,12,0.18,174,5,29,30,3.0,161,68,47,56.8,22274,6160,121,38.9,35.0
