,Team,GetSet,GetPoint,1SetPoint,2SetPoint,3SetPoint,4SetPoint,5SetPoint,TotalPoint,AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,TF,OpE,LostSet,LostPoint,Op1SetPoint,Op2SetPoint,Op3SetPoint,Op4SetPoint,Op5SetPoint,OpTotalPoint,OpAA,OpAP,OpAE,OpASucc%,OpAP/S,OpBAA,OpBAP,OpBAE,OpBASucc%,OpBP,OpBP/S,OpSVA,OpSVP,OpSVE,OpSVx,OpSVEff%,OpRA,OpRx,OpRg,OpRSucc%,OpTF,OpOpE,GameId,Spectators,TotalSet,Point,AEff%,BAEff%
0,クボタスピアーズ,69,62,663,639,663,267.0,70.0,2302.0,2712.0,1361.0,212.0,50.2,14.03,465.0,224.0,75.0,48.2,263.0,2.71,2275.0,82.0,278.0,515.0,6.2,1794.0,967.0,373.0,64.3,89.0,596,28,19,554,608,600,241.0,60.0,2063.0,2841,1228,251,1164.4,343.32,528,227,76,1142.0,184,50.22,2090,72,263,416,137.20000000000002,1956,924.0,477.0,1604.1,82.0,579,22617,5723.0,97,1706.0,42.4,32.0
1,トヨタモビリティ東京スパークル,45,35,592,621,605,366.0,77.0,2261.0,3185.0,1291.0,264.0,40.5,12.53,441.0,173.0,69.0,39.2,184.0,1.79,2269.0,75.0,255.0,436.0,5.3,2009.0,961.0,535.0,61.1,78.0,711,58,46,649,642,635,376.0,88.0,2390.0,3154,1474,275,1273.9,391.04,516,231,78,1186.1,240,63.16,2382,79,336,468,123.4,1989,1065.0,437.0,1746.5,100.0,597,22429,3572.0,103,1550.0,32.2,23.6
2,トヨタ自動車サンホークス,75,66,666,683,657,290.0,117.0,2413.0,2855.0,1438.0,221.0,50.4,14.1,233.0,115.0,30.0,49.4,248.0,2.43,2391.0,72.0,268.0,532.0,5.8,1784.0,936.0,435.0,64.7,81.0,656,27,15,582,561,584,273.0,110.0,2110.0,2981,1293,247,1140.1,335.48,532,245,67,1199.1,165,42.64,2131,82,305,372,123.3,2100,1039.0,482.0,1621.0,104.0,570,22257,5336.0,102,1758.0,42.6,36.5
3,千葉ZELVA,36,24,595,591,631,329.0,76.0,2222.0,2942.0,1274.0,270.0,43.3,12.61,346.0,123.0,59.0,35.5,240.0,2.38,2233.0,100.0,371.0,404.0,4.8,2055.0,1023.0,488.0,61.7,110.0,608,65,57,658,637,670,338.0,88.0,2391.0,2917,1335,237,1244.8,359.85,464,211,68,1252.5,219,58.83,2378,86,296,485,156.3,1811,893.0,464.0,1683.0,75.0,751,22300,5313.0,101,1614.0,34.1,18.5
4,奈良ドリーマーズ,64,52,639,641,661,382.0,110.0,2433.0,3002.0,1435.0,261.0,47.8,13.54,499.0,212.0,79.0,42.5,257.0,2.42,2416.0,88.0,389.0,524.0,5.0,1976.0,1025.0,447.0,63.2,73.0,653,42,29,579,609,608,397.0,99.0,2292.0,2922,1271,272,1174.8,322.57,481,205,62,1104.3,216,55.53,2309,83,303,451,130.3,1993,922.0,492.0,1583.9,78.0,723,22356,5158.0,106,1780.0,39.1,26.7
5,東京ヴェルディ,35,24,598,578,566,265.0,81.0,2088.0,2859.0,1176.0,246.0,41.1,11.88,450.0,171.0,81.0,38.0,242.0,2.44,2109.0,71.0,214.0,433.0,6.0,1892.0,723.0,500.0,51.4,80.0,599,64,57,643,609,640,279.0,81.0,2252.0,3036,1376,223,1235.5,376.34,463,186,73,1088.8,235,65.03,2229,101,301,603,211.7,1870,923.0,467.0,1691.5,75.0,540,22354,3830.0,99,1489.0,32.5,20.0
6,福岡ウイニングスピリッツ,18,10,540,543,564,193.0,33.0,1873.0,2747.0,1121.0,220.0,40.8,12.05,457.0,194.0,54.0,42.5,142.0,1.53,1903.0,70.0,295.0,341.0,4.3,1892.0,837.0,480.0,56.9,76.0,540,75,71,655,648,663,219.0,37.0,2222.0,2606,1267,202,1330.3,372.35,393,176,51,1204.9,252,75.32,2192,112,257,504,216.2,1582,801.0,396.0,1708.4,81.0,591,22495,5079.0,93,1333.0,32.8,30.6
7,警視庁フォートファイターズ,62,53,648,632,649,338.0,80.0,2347.0,3019.0,1417.0,258.0,46.9,14.03,619.0,283.0,86.0,45.7,222.0,2.2,2330.0,105.0,346.0,530.0,6.5,1889.0,1025.0,473.0,66.8,76.0,603,39,28,602,608,583,316.0,83.0,2192.0,2856,1242,232,1179.3,328.92,468,188,68,1065.4,224,58.89,2208,46,299,366,73.8,1938,836.0,509.0,1521.0,72.0,680,22206,3654.0,101,1744.0,38.4,31.8
8,近畿クラブスフィーダ,56,45,608,604,623,462.0,101.0,2398.0,3265.0,1455.0,253.0,44.6,13.47,509.0,228.0,63.0,44.8,209.0,1.94,2400.0,97.0,283.0,527.0,6.6,2048.0,1055.0,457.0,62.7,87.0,637,52,36,631,595,633,443.0,82.0,2384.0,3170,1429,251,1249.5,361.43,480,205,78,1166.1,247,61.71,2382,85,301,484,148.7,2077,983.0,510.0,1622.2,85.0,623,22359,3701.0,108,1761.0,36.8,32.4
9,長野GaRons,47,34,636,622,643,379.0,75.0,2355.0,2983.0,1343.0,244.0,45.0,12.91,763.0,342.0,103.0,44.8,232.0,2.23,2363.0,87.0,311.0,466.0,5.3,1997.0,841.0,538.0,55.6,87.0,693,57,47,632,637,646,389.0,92.0,2396.0,3086,1396,259,1228.2,363.03,457,191,78,1111.2,257,67.09,2388,101,349,559,172.4,2020,1007.0,492.0,1665.0,85.0,642,22187,4352.0,104,1662.0,36.8,31.3
