,date,home_team,away_team,home_point,away_point,serve_right,team,skill,player_num,player_name,trainsition,set,url_id,point,challange,in_player_num,in_player_name,out_player_num,out_player_name,timeout
0,20230409,WD名古屋,サントリー,0,0,*,a,サーブミス,13,ムセルスキー,0,1,3356,,,,,,,
1,20230409,WD名古屋,サントリー,1,0,*,*,,,,0,1,3356,得点,,,,,,
2,20230409,WD名古屋,サントリー,1,0,*,*,サーブ,21,永露,0,1,3356,,,,,,,
3,20230409,WD名古屋,サントリー,1,0,*,a,レシーブ成功(優),8,藤中(颯),1,1,3356,,,,,,,
4,20230409,WD名古屋,サントリー,1,0,*,a,アタック成功,13,ムセルスキー,1,1,3356,,,,,,,
5,20230409,WD名古屋,サントリー,1,1,a,a,,,,1,1,3356,得点,,,,,,
6,20230409,WD名古屋,サントリー,1,1,a,a,サーブ,10,藤中(謙),0,1,3356,,,,,,,
7,20230409,WD名古屋,サントリー,1,1,a,*,レシーブ成功(優),26,山崎,1,1,3356,,,,,,,
8,20230409,WD名古屋,サントリー,1,1,a,*,アタック成功,3,クレク,1,1,3356,,,,,,,
9,20230409,WD名古屋,サントリー,2,1,*,*,,,,1,1,3356,得点,,,,,,
10,20230409,WD名古屋,サントリー,2,1,*,*,サーブ,9,高梨,0,1,3356,,,,,,,
11,20230409,WD名古屋,サントリー,2,1,*,a,レシーブ成功(良),8,藤中(颯),1,1,3356,,,,,,,
12,20230409,WD名古屋,サントリー,2,1,*,a,アタック,7,アライン,1,1,3356,,,,,,,
13,20230409,WD名古屋,サントリー,2,1,*,*,アタック成功,3,クレク,2,1,3356,,,,,,,
14,20230409,WD名古屋,サントリー,3,1,*,*,,,,2,1,3356,得点,,,,,,
15,20230409,WD名古屋,サントリー,3,1,*,*,サーブ,9,高梨,0,1,3356,,,,,,,
16,20230409,WD名古屋,サントリー,3,1,*,a,レシーブ成功(優),8,藤中(颯),1,1,3356,,,,,,,
17,20230409,WD名古屋,サントリー,3,1,*,a,アタック,7,アライン,1,1,3356,,,,,,,
18,20230409,WD名古屋,サントリー,3,1,*,a,アタック成功,13,ムセルスキー,2,1,3356,,,,,,,
19,20230409,WD名古屋,サントリー,3,2,a,a,,,,2,1,3356,得点,,,,,,
20,20230409,WD名古屋,サントリー,3,2,a,a,サーブ,6,彭,0,1,3356,,,,,,,
21,20230409,WD名古屋,サントリー,3,2,a,*,レシーブ成功(優),24,小川,1,1,3356,,,,,,,
22,20230409,WD名古屋,サントリー,3,2,a,*,アタック,3,クレク,1,1,3356,,,,,,,
23,20230409,WD名古屋,サントリー,3,2,a,a,アタック,13,ムセルスキー,2,1,3356,,,,,,,
24,20230409,WD名古屋,サントリー,3,2,a,*,アタック成功,26,山崎,3,1,3356,,,,,,,
25,20230409,WD名古屋,サントリー,4,2,*,*,,,,3,1,3356,得点,,,,,,
26,20230409,WD名古屋,サントリー,4,2,*,*,サーブ,8,王,0,1,3356,,,,,,,
27,20230409,WD名古屋,サントリー,4,2,*,a,レシーブ成功(優),10,藤中(謙),1,1,3356,,,,,,,
28,20230409,WD名古屋,サントリー,4,2,*,a,アタック,7,アライン,1,1,3356,,,,,,,
29,20230409,WD名古屋,サントリー,4,2,*,a,アタック成功,13,ムセルスキー,2,1,3356,,,,,,,
30,20230409,WD名古屋,サントリー,4,3,a,a,,,,2,1,3356,得点,,,,,,
31,20230409,WD名古屋,サントリー,4,3,a,a,サーブ,9,大宅,0,1,3356,,,,,,,
32,20230409,WD名古屋,サントリー,4,3,a,*,レシーブ成功(優),9,高梨,1,1,3356,,,,,,,
33,20230409,WD名古屋,サントリー,4,3,a,*,アタック,11,傳田,1,1,3356,,,,,,,
34,20230409,WD名古屋,サントリー,4,3,a,a,アタック,7,アライン,2,1,3356,,,,,,,
35,20230409,WD名古屋,サントリー,4,3,a,*,ブロック成功,11,傳田,3,1,3356,,,,,,,
36,20230409,WD名古屋,サントリー,5,3,*,*,,,,3,1,3356,得点,,,,,,
37,20230409,WD名古屋,サントリー,5,3,*,*,サーブミス,3,クレク,0,1,3356,,,,,,,
38,20230409,WD名古屋,サントリー,5,4,a,a,,,,0,1,3356,得点,,,,,,
39,20230409,WD名古屋,サントリー,5,4,a,a,サーブミス,7,アライン,0,1,3356,,,,,,,
40,20230409,WD名古屋,サントリー,6,4,*,*,,,,0,1,3356,得点,,,,,,
41,20230409,WD名古屋,サントリー,6,4,*,*,サーブ,26,山崎,0,1,3356,,,,,,,
42,20230409,WD名古屋,サントリー,6,4,*,a,レシーブ成功(優),7,アライン,1,1,3356,,,,,,,
43,20230409,WD名古屋,サントリー,6,4,*,a,アタック成功,3,小野,1,1,3356,,,,,,,
44,20230409,WD名古屋,サントリー,6,5,a,a,,,,1,1,3356,得点,,,,,,
45,20230409,WD名古屋,サントリー,6,5,a,a,サーブ,3,小野,0,1,3356,,,,,,,
46,20230409,WD名古屋,サントリー,6,5,a,*,レシーブ成功(優),9,高梨,1,1,3356,,,,,,,
47,20230409,WD名古屋,サントリー,6,5,a,*,アタック成功,3,クレク,1,1,3356,,,,,,,
48,20230409,WD名古屋,サントリー,7,5,*,*,,,,1,1,3356,得点,,,,,,
49,20230409,WD名古屋,サントリー,7,5,*,*,サーブ,11,傳田,0,1,3356,,,,,,,
50,20230409,WD名古屋,サントリー,7,5,*,a,レシーブ成功(優),10,藤中(謙),1,1,3356,,,,,,,
51,20230409,WD名古屋,サントリー,7,5,*,a,アタック成功,6,彭,1,1,3356,,,,,,,
52,20230409,WD名古屋,サントリー,7,6,a,a,,,,1,1,3356,得点,,,,,,
53,20230409,WD名古屋,サントリー,7,6,a,a,サーブ,13,ムセルスキー,0,1,3356,,,,,,,
54,20230409,WD名古屋,サントリー,7,6,a,*,レシーブ成功(優),24,小川,1,1,3356,,,,,,,
55,20230409,WD名古屋,サントリー,7,6,a,*,アタック失敗,9,高梨,1,1,3356,,,,,,,
56,20230409,WD名古屋,サントリー,7,7,a,a,,,,1,1,3356,得点,,,,,,
57,20230409,WD名古屋,サントリー,7,7,a,a,サーブ,13,ムセルスキー,0,1,3356,,,,,,,
58,20230409,WD名古屋,サントリー,7,7,a,*,レシーブ失敗,26,山崎,1,1,3356,,,,,,,
59,20230409,WD名古屋,サントリー,7,7,a,*,アタック成功,9,高梨,1,1,3356,,,,,,,
60,20230409,WD名古屋,サントリー,7,7,a,*,,,,1,1,3356,,チャレンジ成功,,,,,
61,20230409,WD名古屋,サントリー,8,7,*,*,,,,1,1,3356,得点,,,,,,
62,20230409,WD名古屋,サントリー,8,7,*,*,サーブ,21,永露,0,1,3356,,,,,,,
63,20230409,WD名古屋,サントリー,8,7,*,a,レシーブ成功(優),8,藤中(颯),1,1,3356,,,,,,,
64,20230409,WD名古屋,サントリー,8,7,*,a,アタック成功,6,彭,1,1,3356,,,,,,,
65,20230409,WD名古屋,サントリー,8,8,a,a,,,,1,1,3356,得点,,,,,,
66,20230409,WD名古屋,サントリー,8,8,a,a,サーブミス,10,藤中(謙),0,1,3356,,,,,,,
67,20230409,WD名古屋,サントリー,9,8,*,*,,,,0,1,3356,得点,,,,,,
68,20230409,WD名古屋,サントリー,9,8,*,*,サーブ,9,高梨,0,1,3356,,,,,,,
69,20230409,WD名古屋,サントリー,9,8,*,a,レシーブ成功(優),7,アライン,1,1,3356,,,,,,,
70,20230409,WD名古屋,サントリー,9,8,*,a,アタック,7,アライン,1,1,3356,,,,,,,
71,20230409,WD名古屋,サントリー,9,8,*,a,アタック成功,13,ムセルスキー,2,1,3356,,,,,,,
72,20230409,WD名古屋,サントリー,9,9,a,a,,,,2,1,3356,得点,,,,,,
73,20230409,WD名古屋,サントリー,9,9,a,a,サーブ,6,彭,0,1,3356,,,,,,,
74,20230409,WD名古屋,サントリー,9,9,a,*,レシーブ成功(優),8,王,1,1,3356,,,,,,,
75,20230409,WD名古屋,サントリー,9,9,a,*,アタック,8,王,1,1,3356,,,,,,,
76,20230409,WD名古屋,サントリー,9,9,a,*,アタック成功,26,山崎,2,1,3356,,,,,,,
77,20230409,WD名古屋,サントリー,10,9,*,*,,,,2,1,3356,得点,,,,,,
78,20230409,WD名古屋,サントリー,10,9,*,*,サーブミス,8,王,0,1,3356,,,,,,,
79,20230409,WD名古屋,サントリー,10,10,a,a,,,,0,1,3356,得点,,,,,,
80,20230409,WD名古屋,サントリー,10,10,a,a,サーブミス,9,大宅,0,1,3356,,,,,,,
81,20230409,WD名古屋,サントリー,11,10,*,*,,,,0,1,3356,得点,,,,,,
82,20230409,WD名古屋,サントリー,11,10,*,*,サーブ,3,クレク,0,1,3356,,,,,,,
83,20230409,WD名古屋,サントリー,11,10,*,a,レシーブ成功(良),10,藤中(謙),1,1,3356,,,,,,,
84,20230409,WD名古屋,サントリー,11,10,*,a,アタック成功,13,ムセルスキー,1,1,3356,,,,,,,
85,20230409,WD名古屋,サントリー,11,11,a,a,,,,1,1,3356,得点,,,,,,
86,20230409,WD名古屋,サントリー,11,11,a,a,サーブ,7,アライン,0,1,3356,,,,,,,
87,20230409,WD名古屋,サントリー,11,11,a,*,レシーブ失敗,9,高梨,1,1,3356,,,,,,,
88,20230409,WD名古屋,サントリー,11,11,a,*,アタック,26,山崎,1,1,3356,,,,,,,
89,20230409,WD名古屋,サントリー,11,11,a,a,アタック,10,藤中(謙),2,1,3356,,,,,,,
90,20230409,WD名古屋,サントリー,11,11,a,a,アタック,13,ムセルスキー,3,1,3356,,,,,,,
91,20230409,WD名古屋,サントリー,11,11,a,*,アタック成功,11,傳田,4,1,3356,,,,,,,
92,20230409,WD名古屋,サントリー,12,11,*,*,,,,4,1,3356,得点,,,,,,
93,20230409,WD名古屋,サントリー,12,11,*,*,,,,0,1,3356,,,,,,,
94,20230409,WD名古屋,サントリー,12,11,*,*,サーブ,26,山崎,0,1,3356,,,,,,,
95,20230409,WD名古屋,サントリー,12,11,*,a,レシーブ成功(良),7,アライン,1,1,3356,,,,,,,
96,20230409,WD名古屋,サントリー,12,11,*,a,アタック成功,13,ムセルスキー,1,1,3356,,,,,,,
97,20230409,WD名古屋,サントリー,12,12,a,a,,,,1,1,3356,得点,,,,,,
98,20230409,WD名古屋,サントリー,12,12,a,a,サーブ,3,小野,0,1,3356,,,,,,,
99,20230409,WD名古屋,サントリー,12,12,a,*,レシーブ成功(良),24,小川,1,1,3356,,,,,,,
100,20230409,WD名古屋,サントリー,12,12,a,*,アタック成功,3,クレク,1,1,3356,,,,,,,
101,20230409,WD名古屋,サントリー,13,12,*,*,,,,1,1,3356,得点,,,,,,
102,20230409,WD名古屋,サントリー,13,12,*,*,サーブ,11,傳田,0,1,3356,,,,,,,
103,20230409,WD名古屋,サントリー,13,12,*,a,レシーブ成功(良),8,藤中(颯),1,1,3356,,,,,,,
104,20230409,WD名古屋,サントリー,13,12,*,a,アタック失敗,10,藤中(謙),1,1,3356,,,,,,,
105,20230409,WD名古屋,サントリー,14,12,*,*,,,,1,1,3356,得点,,,,,,
106,20230409,WD名古屋,サントリー,14,12,*,*,サーブ,11,傳田,0,1,3356,,,,,,,
107,20230409,WD名古屋,サントリー,14,12,*,a,レシーブ成功(優),8,藤中(颯),1,1,3356,,,,,,,
108,20230409,WD名古屋,サントリー,14,12,*,a,アタック,10,藤中(謙),1,1,3356,,,,,,,
109,20230409,WD名古屋,サントリー,14,12,*,*,アタック失敗,26,山崎,2,1,3356,,,,,,,
110,20230409,WD名古屋,サントリー,14,13,a,a,,,,2,1,3356,得点,,,,,,
111,20230409,WD名古屋,サントリー,14,13,a,a,サーブミス,13,ムセルスキー,0,1,3356,,,,,,,
112,20230409,WD名古屋,サントリー,15,13,*,*,,,,0,1,3356,得点,,,,,,
113,20230409,WD名古屋,サントリー,15,13,*,*,サーブ,21,永露,0,1,3356,,,,,,,
114,20230409,WD名古屋,サントリー,15,13,*,a,レシーブ成功(優),10,藤中(謙),1,1,3356,,,,,,,
115,20230409,WD名古屋,サントリー,15,13,*,a,アタック成功,7,アライン,1,1,3356,,,,,,,
116,20230409,WD名古屋,サントリー,15,14,a,a,,,,1,1,3356,得点,,,,,,
117,20230409,WD名古屋,サントリー,15,14,a,a,サーブ,10,藤中(謙),0,1,3356,,,,,,,
118,20230409,WD名古屋,サントリー,15,14,a,*,レシーブ成功(優),24,小川,1,1,3356,,,,,,,
119,20230409,WD名古屋,サントリー,15,14,a,*,アタック,3,クレク,1,1,3356,,,,,,,
120,20230409,WD名古屋,サントリー,15,14,a,a,ブロック成功,9,大宅,2,1,3356,,,,,,,
121,20230409,WD名古屋,サントリー,15,15,a,a,,,,2,1,3356,得点,,,,,,
122,20230409,WD名古屋,サントリー,15,15,a,a,サーブ,10,藤中(謙),0,1,3356,,,,,,,
123,20230409,WD名古屋,サントリー,15,15,a,*,レシーブ失敗,21,永露,1,1,3356,,,,,,,
124,20230409,WD名古屋,サントリー,15,15,a,*,アタック成功,3,クレク,1,1,3356,,,,,,,
125,20230409,WD名古屋,サントリー,16,15,*,*,,,,1,1,3356,得点,,,,,,
126,20230409,WD名古屋,サントリー,16,15,*,*,サーブ,9,高梨,0,1,3356,,,,,,,
127,20230409,WD名古屋,サントリー,16,15,*,a,レシーブ成功(良),8,藤中(颯),1,1,3356,,,,,,,
128,20230409,WD名古屋,サントリー,16,15,*,a,アタック成功,6,彭,1,1,3356,,,,,,,
129,20230409,WD名古屋,サントリー,16,16,a,a,,,,1,1,3356,得点,,,,,,
130,20230409,WD名古屋,サントリー,16,16,a,a,サーブ,6,彭,0,1,3356,,,,,,,
131,20230409,WD名古屋,サントリー,16,16,a,*,レシーブ成功(優),9,高梨,1,1,3356,,,,,,,
132,20230409,WD名古屋,サントリー,16,16,a,*,アタック成功,9,高梨,1,1,3356,,,,,,,
133,20230409,WD名古屋,サントリー,17,16,*,*,,,,1,1,3356,得点,,,,,,
134,20230409,WD名古屋,サントリー,17,16,*,*,,,,0,1,3356,,,IN:5,前田,OUT:8,王,
135,20230409,WD名古屋,サントリー,17,16,*,*,サーブ,5,前田,0,1,3356,,,,,,,
136,20230409,WD名古屋,サントリー,17,16,*,a,レシーブ成功(優),10,藤中(謙),1,1,3356,,,,,,,
137,20230409,WD名古屋,サントリー,17,16,*,a,アタック成功,9,大宅,1,1,3356,,,,,,,
138,20230409,WD名古屋,サントリー,17,17,a,a,,,,1,1,3356,得点,,,,,,
139,20230409,WD名古屋,サントリー,17,17,a,*,,,,0,1,3356,,,IN:8,王,OUT:5,前田,
140,20230409,WD名古屋,サントリー,17,17,a,a,サーブミス,9,大宅,0,1,3356,,,,,,,
141,20230409,WD名古屋,サントリー,18,17,*,*,,,,0,1,3356,得点,,,,,,
142,20230409,WD名古屋,サントリー,18,17,*,*,サーブ,3,クレク,0,1,3356,,,,,,,
143,20230409,WD名古屋,サントリー,18,17,*,a,レシーブ失敗,10,藤中(謙),1,1,3356,,,,,,,
144,20230409,WD名古屋,サントリー,18,17,*,a,アタック成功,13,ムセルスキー,1,1,3356,,,,,,,
145,20230409,WD名古屋,サントリー,18,18,a,a,,,,1,1,3356,得点,,,,,,
146,20230409,WD名古屋,サントリー,18,18,a,a,サーブミス,7,アライン,0,1,3356,,,,,,,
147,20230409,WD名古屋,サントリー,19,18,*,*,,,,0,1,3356,得点,,,,,,
148,20230409,WD名古屋,サントリー,19,18,*,*,サーブ,26,山崎,0,1,3356,,,,,,,
149,20230409,WD名古屋,サントリー,19,18,*,a,レシーブ成功(良),8,藤中(颯),1,1,3356,,,,,,,
150,20230409,WD名古屋,サントリー,19,18,*,a,アタック成功,3,小野,1,1,3356,,,,,,,
151,20230409,WD名古屋,サントリー,19,19,a,a,,,,1,1,3356,得点,,,,,,
152,20230409,WD名古屋,サントリー,19,19,a,a,,,,0,1,3356,,,IN:20,西田,OUT:3,小野,
153,20230409,WD名古屋,サントリー,19,19,a,a,サーブ,20,西田,0,1,3356,,,,,,,
154,20230409,WD名古屋,サントリー,19,19,a,*,レシーブ成功(良),24,小川,1,1,3356,,,,,,,
155,20230409,WD名古屋,サントリー,19,19,a,*,アタック成功,3,クレク,1,1,3356,,,,,,,
156,20230409,WD名古屋,サントリー,20,19,*,*,,,,1,1,3356,得点,,,,,,
157,20230409,WD名古屋,サントリー,20,19,*,a,,,,0,1,3356,,,IN:3,小野,OUT:20,西田,
158,20230409,WD名古屋,サントリー,20,19,*,*,サーブ,11,傳田,0,1,3356,,,,,,,
