,home_point,away_point,serve_right,team,skill,player_num,player_name,trainsition,set,game_id,point,challange,timeout,in_player_num,in_player_name,out_player_num,out_player_name
0,0,0,*,a,サーブ,8,柳田,0,1,2594,,,,,,,
1,0,0,*,*,レシーブ成功(良),24,小川,1,1,2594,,,,,,,
2,0,0,*,*,アタック,11,傳田,1,1,2594,,,,,,,
3,0,0,*,a,アタック成功,10,ウルナウト,2,1,2594,,,,,,,
4,0,1,a,a,,,,0,1,2594,得点,,,,,,
5,0,1,a,a,サーブミス,8,柳田,0,1,2594,,,,,,,
6,1,1,*,*,,,,0,1,2594,得点,,,,,,
7,1,1,*,*,サーブ,11,傳田,0,1,2594,,,,,,,
8,1,1,*,a,レシーブ成功(良),14,西田,1,1,2594,,,,,,,
9,1,1,*,a,アタック成功,10,ウルナウト,1,1,2594,,,,,,,
10,1,2,a,a,,,,0,1,2594,得点,,,,,,
11,1,2,a,a,サーブ,4,福山,0,1,2594,,,,,,,
12,1,2,a,*,レシーブ成功(良),9,高梨,1,1,2594,,,,,,,
13,1,2,a,*,アタック成功,9,高梨,1,1,2594,,,,,,,
14,2,2,*,*,,,,0,1,2594,得点,,,,,,
15,2,2,*,*,サーブミス,21,永露,0,1,2594,,,,,,,
16,2,3,a,a,,,,0,1,2594,得点,,,,,,
17,2,3,a,a,サーブ,14,西田,0,1,2594,,,,,,,
18,2,3,a,*,レシーブ成功(優),24,小川,1,1,2594,,,,,,,
19,2,3,a,*,アタック成功,26,山崎,1,1,2594,,,,,,,
20,3,3,*,*,,,,0,1,2594,得点,,,,,,
21,3,3,*,*,サーブ,9,高梨,0,1,2594,,,,,,,
22,3,3,*,a,レシーブ成功(優),8,柳田,1,1,2594,,,,,,,
23,3,3,*,a,アタック成功,9,村山,1,1,2594,,,,,,,
24,3,4,a,a,,,,0,1,2594,得点,,,,,,
25,3,4,a,a,サーブ,10,ウルナウト,0,1,2594,,,,,,,
26,3,4,a,*,レシーブ成功(優),9,高梨,1,1,2594,,,,,,,
27,3,4,a,*,アタック成功,26,山崎,1,1,2594,,,,,,,
28,4,4,*,*,,,,0,1,2594,得点,,,,,,
29,4,4,*,*,サーブ,8,王,0,1,2594,,,,,,,
30,4,4,*,a,レシーブ成功(優),8,柳田,1,1,2594,,,,,,,
31,4,4,*,a,アタック成功,14,西田,1,1,2594,,,,,,,
32,4,5,a,a,,,,0,1,2594,得点,,,,,,
33,4,5,a,a,サーブミス,9,村山,0,1,2594,,,,,,,
34,5,5,*,*,,,,0,1,2594,得点,,,,,,
35,5,5,*,*,サーブ,3,クレク,0,1,2594,,,,,,,
