,date,home_team,away_team,home_point,away_point,serve_right,team,skill,player_num,player_name,trainsition,set,url_id,point,timeout,in_player_num,in_player_name,out_player_num,out_player_name,challange
0,20221126,久光,東レ,0,0,*,*,サーブ,11,栄,0,1,2818,,,,,,,
1,20221126,久光,東レ,0,0,*,a,レシーブ成功(優),14,西川,1,1,2818,,,,,,,
2,20221126,久光,東レ,0,0,*,a,アタック,7,クラン,1,1,2818,,,,,,,
3,20221126,久光,東レ,0,0,*,*,アタック,21,中島,2,1,2818,,,,,,,
4,20221126,久光,東レ,0,0,*,a,その他ミス,7,クラン,3,1,2818,,,,,,,
5,20221126,久光,東レ,1,0,*,*,,,,3,1,2818,得点,,,,,,
6,20221126,久光,東レ,1,0,*,*,サーブ,11,栄,0,1,2818,,,,,,,
7,20221126,久光,東レ,1,0,*,a,レシーブ失敗,14,西川,1,1,2818,,,,,,,
8,20221126,久光,東レ,1,0,*,a,アタック成功,7,クラン,1,1,2818,,,,,,,
9,20221126,久光,東レ,1,1,a,a,,,,1,1,2818,得点,,,,,,
10,20221126,久光,東レ,1,1,a,a,サーブ,12,大崎,0,1,2818,,,,,,,
11,20221126,久光,東レ,1,1,a,*,レシーブ成功(良),18,戸江,1,1,2818,,,,,,,
12,20221126,久光,東レ,1,1,a,*,アタック,7,ファンヘッケ,1,1,2818,,,,,,,
13,20221126,久光,東レ,1,1,a,*,アタック成功,7,ファンヘッケ,2,1,2818,,,,,,,
14,20221126,久光,東レ,2,1,*,*,,,,2,1,2818,得点,,,,,,
15,20221126,久光,東レ,2,1,*,*,サーブ,21,中島,0,1,2818,,,,,,,
16,20221126,久光,東レ,2,1,*,a,レシーブ失敗,14,西川,1,1,2818,,,,,,,
17,20221126,久光,東レ,2,1,*,a,アタック成功,14,西川,1,1,2818,,,,,,,
18,20221126,久光,東レ,2,2,a,a,,,,1,1,2818,得点,,,,,,
19,20221126,久光,東レ,2,2,a,a,サーブ,14,西川,0,1,2818,,,,,,,
20,20221126,久光,東レ,2,2,a,*,レシーブ成功(良),22,深澤,1,1,2818,,,,,,,
21,20221126,久光,東レ,2,2,a,*,アタック,22,深澤,1,1,2818,,,,,,,
22,20221126,久光,東レ,2,2,a,*,アタック成功,22,深澤,2,1,2818,,,,,,,
23,20221126,久光,東レ,3,2,*,*,,,,2,1,2818,得点,,,,,,
24,20221126,久光,東レ,3,2,*,*,サーブ,8,平山,0,1,2818,,,,,,,
25,20221126,久光,東レ,3,2,*,a,レシーブ失敗,14,西川,1,1,2818,,,,,,,
26,20221126,久光,東レ,3,2,*,*,アタック,7,ファンヘッケ,1,1,2818,,,,,,,
27,20221126,久光,東レ,3,2,*,*,アタック成功,22,深澤,2,1,2818,,,,,,,
28,20221126,久光,東レ,4,2,*,*,,,,2,1,2818,得点,,,,,,
29,20221126,久光,東レ,4,2,*,*,サーブ,8,平山,0,1,2818,,,,,,,
30,20221126,久光,東レ,4,2,*,a,レシーブ成功(良),9,水杉,1,1,2818,,,,,,,
31,20221126,久光,東レ,4,2,*,a,アタック成功,4,小川,1,1,2818,,,,,,,
32,20221126,久光,東レ,4,3,a,a,,,,1,1,2818,得点,,,,,,
33,20221126,久光,東レ,4,3,a,a,サーブ,7,クラン,0,1,2818,,,,,,,
34,20221126,久光,東レ,4,3,a,*,レシーブ失敗,22,深澤,1,1,2818,,,,,,,
35,20221126,久光,東レ,4,3,a,a,アタック,4,小川,1,1,2818,,,,,,,
36,20221126,久光,東レ,4,3,a,*,アタック,22,深澤,2,1,2818,,,,,,,
37,20221126,久光,東レ,4,3,a,a,アタック,10,石川,3,1,2818,,,,,,,
38,20221126,久光,東レ,4,3,a,*,アタック,7,ファンヘッケ,4,1,2818,,,,,,,
39,20221126,久光,東レ,4,3,a,a,アタック失敗,10,石川,5,1,2818,,,,,,,
40,20221126,久光,東レ,5,3,*,*,,,,5,1,2818,得点,,,,,,
41,20221126,久光,東レ,5,3,*,*,サーブ,7,ファンヘッケ,0,1,2818,,,,,,,
42,20221126,久光,東レ,5,3,*,a,レシーブ成功(優),14,西川,1,1,2818,,,,,,,
43,20221126,久光,東レ,5,3,*,a,アタック,4,小川,1,1,2818,,,,,,,
44,20221126,久光,東レ,5,3,*,*,アタック成功,22,深澤,2,1,2818,,,,,,,
45,20221126,久光,東レ,6,3,*,*,,,,2,1,2818,得点,,,,,,
46,20221126,久光,東レ,6,3,*,*,サーブ,7,ファンヘッケ,0,1,2818,,,,,,,
47,20221126,久光,東レ,6,3,*,a,レシーブ失敗,9,水杉,1,1,2818,,,,,,,
48,20221126,久光,東レ,6,3,*,a,アタック成功,10,石川,1,1,2818,,,,,,,
49,20221126,久光,東レ,6,4,a,a,,,,1,1,2818,得点,,,,,,
50,20221126,久光,東レ,6,4,a,a,サービスエース,4,小川,0,1,2818,,,,,,,
51,20221126,久光,東レ,6,4,a,*,レシーブ失敗,21,中島,0,1,2818,,,,,,,
52,20221126,久光,東レ,6,5,a,a,,,,0,1,2818,得点,,,,,,
53,20221126,久光,東レ,6,5,a,a,サーブ,4,小川,0,1,2818,,,,,,,
54,20221126,久光,東レ,6,5,a,*,レシーブ成功(良),22,深澤,1,1,2818,,,,,,,
55,20221126,久光,東レ,6,5,a,*,アタック,22,深澤,1,1,2818,,,,,,,
56,20221126,久光,東レ,6,5,a,a,アタック,10,石川,2,1,2818,,,,,,,
57,20221126,久光,東レ,6,5,a,*,アタック成功,10,大竹,3,1,2818,,,,,,,
58,20221126,久光,東レ,7,5,*,*,,,,3,1,2818,得点,,,,,,
59,20221126,久光,東レ,7,5,*,*,サーブ,22,深澤,0,1,2818,,,,,,,
60,20221126,久光,東レ,7,5,*,a,レシーブ失敗,10,石川,1,1,2818,,,,,,,
61,20221126,久光,東レ,7,5,*,a,アタック,10,石川,1,1,2818,,,,,,,
62,20221126,久光,東レ,7,5,*,*,アタック成功,21,中島,2,1,2818,,,,,,,
63,20221126,久光,東レ,8,5,*,*,,,,2,1,2818,得点,,,,,,
64,20221126,久光,東レ,8,5,*,*,サーブ,22,深澤,0,1,2818,,,,,,,
65,20221126,久光,東レ,8,5,*,a,レシーブ失敗,14,西川,1,1,2818,,,,,,,
66,20221126,久光,東レ,8,5,*,a,アタック,7,クラン,1,1,2818,,,,,,,
67,20221126,久光,東レ,8,5,*,*,アタック,7,ファンヘッケ,2,1,2818,,,,,,,
68,20221126,久光,東レ,8,5,*,a,アタック,10,石川,3,1,2818,,,,,,,
69,20221126,久光,東レ,8,5,*,*,アタック成功,21,中島,4,1,2818,,,,,,,
70,20221126,久光,東レ,9,5,*,*,,,,4,1,2818,得点,,,,,,
71,20221126,久光,東レ,9,5,*,a,,,,0,1,2818,,タイムアウト,,,,,
72,20221126,久光,東レ,9,5,*,*,サーブ,22,深澤,0,1,2818,,,,,,,
73,20221126,久光,東レ,9,5,*,a,レシーブ失敗,9,水杉,1,1,2818,,,,,,,
74,20221126,久光,東レ,9,5,*,a,アタック失敗,10,石川,1,1,2818,,,,,,,
75,20221126,久光,東レ,10,5,*,*,,,,1,1,2818,得点,,,,,,
76,20221126,久光,東レ,10,5,*,*,サーブミス,22,深澤,0,1,2818,,,,,,,
77,20221126,久光,東レ,10,6,a,a,,,,0,1,2818,得点,,,,,,
78,20221126,久光,東レ,10,6,a,a,サーブミス,6,関,0,1,2818,,,,,,,
79,20221126,久光,東レ,11,6,*,*,,,,0,1,2818,得点,,,,,,
80,20221126,久光,東レ,11,6,*,*,サーブ,10,大竹,0,1,2818,,,,,,,
81,20221126,久光,東レ,11,6,*,a,レシーブ成功(優),9,水杉,1,1,2818,,,,,,,
82,20221126,久光,東レ,11,6,*,a,アタック成功,12,大崎,1,1,2818,,,,,,,
83,20221126,久光,東レ,11,7,a,a,,,,1,1,2818,得点,,,,,,
84,20221126,久光,東レ,11,7,a,a,サーブミス,10,石川,0,1,2818,,,,,,,
85,20221126,久光,東レ,12,7,*,*,,,,0,1,2818,得点,,,,,,
86,20221126,久光,東レ,12,7,*,*,,,,0,1,2818,,,,,,,
87,20221126,久光,東レ,12,7,*,*,サーブ,11,栄,0,1,2818,,,,,,,
88,20221126,久光,東レ,12,7,*,a,レシーブ失敗,9,水杉,1,1,2818,,,,,,,
89,20221126,久光,東レ,12,7,*,a,アタック,7,クラン,1,1,2818,,,,,,,
90,20221126,久光,東レ,12,7,*,*,アタック成功,21,中島,2,1,2818,,,,,,,
91,20221126,久光,東レ,13,7,*,*,,,,2,1,2818,得点,,,,,,
92,20221126,久光,東レ,13,7,*,*,サーブ,11,栄,0,1,2818,,,,,,,
93,20221126,久光,東レ,13,7,*,a,レシーブ成功(優),14,西川,1,1,2818,,,,,,,
94,20221126,久光,東レ,13,7,*,a,アタック成功,14,西川,1,1,2818,,,,,,,
95,20221126,久光,東レ,13,8,a,a,,,,1,1,2818,得点,,,,,,
96,20221126,久光,東レ,13,8,a,a,サーブ,12,大崎,0,1,2818,,,,,,,
97,20221126,久光,東レ,13,8,a,*,レシーブ成功(良),18,戸江,1,1,2818,,,,,,,
98,20221126,久光,東レ,13,8,a,*,アタック,8,平山,1,1,2818,,,,,,,
99,20221126,久光,東レ,13,8,a,a,アタック成功,7,クラン,2,1,2818,,,,,,,
100,20221126,久光,東レ,13,9,a,a,,,,2,1,2818,得点,,,,,,
101,20221126,久光,東レ,13,9,a,a,サーブ,12,大崎,0,1,2818,,,,,,,
102,20221126,久光,東レ,13,9,a,*,レシーブ成功(優),22,深澤,1,1,2818,,,,,,,
103,20221126,久光,東レ,13,9,a,*,アタック成功,8,平山,1,1,2818,,,,,,,
104,20221126,久光,東レ,14,9,*,*,,,,1,1,2818,得点,,,,,,
105,20221126,久光,東レ,14,9,*,*,サーブ,21,中島,0,1,2818,,,,,,,
106,20221126,久光,東レ,14,9,*,a,レシーブ成功(優),14,西川,1,1,2818,,,,,,,
107,20221126,久光,東レ,14,9,*,a,アタック,4,小川,1,1,2818,,,,,,,
108,20221126,久光,東レ,14,9,*,a,アタック,14,西川,2,1,2818,,,,,,,
109,20221126,久光,東レ,14,9,*,*,アタック成功,7,ファンヘッケ,3,1,2818,,,,,,,
110,20221126,久光,東レ,15,9,*,*,,,,3,1,2818,得点,,,,,,
111,20221126,久光,東レ,15,9,*,*,サーブ,21,中島,0,1,2818,,,,,,,
112,20221126,久光,東レ,15,9,*,a,レシーブ成功(良),9,水杉,1,1,2818,,,,,,,
113,20221126,久光,東レ,15,9,*,a,アタック成功,14,西川,1,1,2818,,,,,,,
114,20221126,久光,東レ,15,10,a,a,,,,1,1,2818,得点,,,,,,
115,20221126,久光,東レ,15,10,a,a,,,,0,1,2818,,,IN:2,中田,OUT:6,関,
116,20221126,久光,東レ,15,10,a,a,,,,0,1,2818,,,IN:8,真鍋,OUT:14,西川,
117,20221126,久光,東レ,15,10,a,a,サーブ,8,真鍋,0,1,2818,,,,,,,
118,20221126,久光,東レ,15,10,a,*,レシーブ成功(良),22,深澤,1,1,2818,,,,,,,
119,20221126,久光,東レ,15,10,a,*,アタック,22,深澤,1,1,2818,,,,,,,
120,20221126,久光,東レ,15,10,a,a,アタック,7,クラン,2,1,2818,,,,,,,
121,20221126,久光,東レ,15,10,a,*,アタック,22,深澤,3,1,2818,,,,,,,
122,20221126,久光,東レ,15,10,a,a,アタック,2,中田,4,1,2818,,,,,,,
123,20221126,久光,東レ,15,10,a,*,アタック,7,ファンヘッケ,5,1,2818,,,,,,,
124,20221126,久光,東レ,15,10,a,a,アタック,7,クラン,6,1,2818,,,,,,,
125,20221126,久光,東レ,15,10,a,*,アタック成功,22,深澤,7,1,2818,,,,,,,
126,20221126,久光,東レ,16,10,*,*,,,,7,1,2818,得点,,,,,,
127,20221126,久光,東レ,16,10,*,*,サービスエース,8,平山,0,1,2818,,,,,,,
128,20221126,久光,東レ,16,10,*,a,レシーブ失敗,10,石川,0,1,2818,,,,,,,
129,20221126,久光,東レ,17,10,*,*,,,,0,1,2818,得点,,,,,,
130,20221126,久光,東レ,17,10,*,a,,,,0,1,2818,,タイムアウト,,,,,
131,20221126,久光,東レ,17,10,*,*,サーブ,8,平山,0,1,2818,,,,,,,
132,20221126,久光,東レ,17,10,*,a,レシーブ成功(優),2,中田,1,1,2818,,,,,,,
133,20221126,久光,東レ,17,10,*,a,アタック,4,小川,1,1,2818,,,,,,,
134,20221126,久光,東レ,17,10,*,*,アタック,22,深澤,2,1,2818,,,,,,,
135,20221126,久光,東レ,17,10,*,a,アタック成功,2,中田,3,1,2818,,,,,,,
136,20221126,久光,東レ,17,11,a,a,,,,3,1,2818,得点,,,,,,
137,20221126,久光,東レ,17,11,a,a,,,,0,1,2818,,,IN:11,野呂,OUT:7,クラン,
138,20221126,久光,東レ,17,11,a,a,サーブ,11,野呂,0,1,2818,,,,,,,
139,20221126,久光,東レ,17,11,a,*,レシーブ成功(優),21,中島,1,1,2818,,,,,,,
140,20221126,久光,東レ,17,11,a,*,アタック成功,10,大竹,1,1,2818,,,,,,,
141,20221126,久光,東レ,18,11,*,*,,,,1,1,2818,得点,,,,,,
142,20221126,久光,東レ,18,11,*,*,,,,0,1,2818,,,IN:1,長岡,OUT:11,栄,
143,20221126,久光,東レ,18,11,*,*,サーブ,7,ファンヘッケ,0,1,2818,,,,,,,
144,20221126,久光,東レ,18,11,*,a,レシーブ成功(優),2,中田,1,1,2818,,,,,,,
145,20221126,久光,東レ,18,11,*,a,アタック成功,4,小川,1,1,2818,,,,,,,
146,20221126,久光,東レ,18,12,a,a,,,,1,1,2818,得点,,,,,,
147,20221126,久光,東レ,18,12,a,*,,,,0,1,2818,,,IN:2,井上(美),OUT:7,ファンヘッケ,
148,20221126,久光,東レ,18,12,a,a,サーブミス,4,小川,0,1,2818,,,,,,,
149,20221126,久光,東レ,19,12,*,*,,,,0,1,2818,得点,,,,,,
150,20221126,久光,東レ,19,12,*,*,サーブ,22,深澤,0,1,2818,,,,,,,
151,20221126,久光,東レ,19,12,*,a,レシーブ成功(良),11,野呂,1,1,2818,,,,,,,
152,20221126,久光,東レ,19,12,*,a,アタック,10,石川,1,1,2818,,,,,,,
153,20221126,久光,東レ,19,12,*,a,アタック,12,大崎,2,1,2818,,,,,,,
154,20221126,久光,東レ,19,12,*,a,アタック成功,12,大崎,3,1,2818,,,,,,,
155,20221126,久光,東レ,19,13,a,a,,,,3,1,2818,得点,,,,,,
156,20221126,久光,東レ,19,13,a,a,,,,0,1,2818,,,IN:6,関,OUT:2,中田,
157,20221126,久光,東レ,19,13,a,a,,,,0,1,2818,,,IN:14,西川,OUT:8,真鍋,
158,20221126,久光,東レ,19,13,a,*,,,,0,1,2818,,,IN:24,西村,OUT:22,深澤,
159,20221126,久光,東レ,19,13,a,a,サーブ,6,関,0,1,2818,,,,,,,
160,20221126,久光,東レ,19,13,a,*,レシーブ成功(良),21,中島,1,1,2818,,,,,,,
161,20221126,久光,東レ,19,13,a,*,アタック成功,21,中島,1,1,2818,,,,,,,
162,20221126,久光,東レ,20,13,*,*,,,,1,1,2818,得点,,,,,,
163,20221126,久光,東レ,20,13,*,*,サーブ,10,大竹,0,1,2818,,,,,,,
164,20221126,久光,東レ,20,13,*,a,レシーブ失敗,11,野呂,1,1,2818,,,,,,,
165,20221126,久光,東レ,20,13,*,a,アタック,14,西川,1,1,2818,,,,,,,
166,20221126,久光,東レ,20,13,*,a,アタック成功,12,大崎,2,1,2818,,,,,,,
167,20221126,久光,東レ,20,14,a,a,,,,2,1,2818,得点,,,,,,
168,20221126,久光,東レ,20,14,a,a,サーブ,10,石川,0,1,2818,,,,,,,
169,20221126,久光,東レ,20,14,a,*,レシーブ成功(優),18,戸江,1,1,2818,,,,,,,
170,20221126,久光,東レ,20,14,a,*,アタック成功,1,長岡,1,1,2818,,,,,,,
171,20221126,久光,東レ,21,14,*,*,,,,1,1,2818,得点,,,,,,
172,20221126,久光,東レ,21,14,*,*,,,,0,1,2818,,,IN:7,ファンヘッケ,OUT:2,井上(美),
173,20221126,久光,東レ,21,14,*,*,サーブ,1,長岡,0,1,2818,,,,,,,
174,20221126,久光,東レ,21,14,*,a,レシーブ失敗,9,水杉,1,1,2818,,,,,,,
175,20221126,久光,東レ,21,14,*,a,アタック失敗,11,野呂,1,1,2818,,,,,,,
176,20221126,久光,東レ,22,14,*,*,,,,1,1,2818,得点,,,,,,
177,20221126,久光,東レ,22,14,*,*,サーブ,1,長岡,0,1,2818,,,,,,,
178,20221126,久光,東レ,22,14,*,a,レシーブ成功(良),9,水杉,1,1,2818,,,,,,,
179,20221126,久光,東レ,22,14,*,a,アタック,10,石川,1,1,2818,,,,,,,
180,20221126,久光,東レ,22,14,*,*,アタック,21,中島,2,1,2818,,,,,,,
181,20221126,久光,東レ,22,14,*,a,アタック,14,西川,3,1,2818,,,,,,,
182,20221126,久光,東レ,22,14,*,*,アタック,21,中島,4,1,2818,,,,,,,
183,20221126,久光,東レ,22,14,*,a,その他ミス,12,大崎,5,1,2818,,,,,,,
184,20221126,久光,東レ,23,14,*,*,,,,5,1,2818,得点,,,,,,
185,20221126,久光,東レ,23,14,*,*,サーブ,1,長岡,0,1,2818,,,,,,,
186,20221126,久光,東レ,23,14,*,a,レシーブ成功(優),9,水杉,1,1,2818,,,,,,,
187,20221126,久光,東レ,23,14,*,a,アタック,14,西川,1,1,2818,,,,,,,
188,20221126,久光,東レ,23,14,*,*,アタック失敗,7,ファンヘッケ,2,1,2818,,,,,,,
189,20221126,久光,東レ,23,15,a,a,,,,2,1,2818,得点,,,,,,
190,20221126,久光,東レ,23,15,a,*,,,,0,1,2818,,,IN:11,栄,OUT:1,長岡,
191,20221126,久光,東レ,23,15,a,a,サーブ,12,大崎,0,1,2818,,,,,,,
192,20221126,久光,東レ,23,15,a,*,レシーブ成功(優),21,中島,1,1,2818,,,,,,,
193,20221126,久光,東レ,23,15,a,*,アタック失敗,8,平山,1,1,2818,,,,,,,
194,20221126,久光,東レ,23,16,a,a,,,,1,1,2818,得点,,,,,,
195,20221126,久光,東レ,23,16,a,a,サーブ,12,大崎,0,1,2818,,,,,,,
196,20221126,久光,東レ,23,16,a,*,レシーブ成功(優),24,西村,1,1,2818,,,,,,,
197,20221126,久光,東レ,23,16,a,*,アタック,8,平山,1,1,2818,,,,,,,
198,20221126,久光,東レ,23,16,a,a,アタック成功,11,野呂,2,1,2818,,,,,,,
199,20221126,久光,東レ,23,16,a,*,,,,2,1,2818,,,,,,,チャレンジ失敗
200,20221126,久光,東レ,23,17,a,a,,,,2,1,2818,得点,,,,,,
201,20221126,久光,東レ,23,17,a,a,サーブミス,12,大崎,0,1,2818,,,,,,,
202,20221126,久光,東レ,24,17,*,*,,,,0,1,2818,得点,,,,,,
203,20221126,久光,東レ,24,17,*,*,,,,0,1,2818,,,IN:22,深澤,OUT:24,西村,
204,20221126,久光,東レ,24,17,*,*,サーブミス,21,中島,0,1,2818,,,,,,,
205,20221126,久光,東レ,24,18,a,a,,,,0,1,2818,得点,,,,,,
206,20221126,久光,東レ,24,18,a,a,サーブ,14,西川,0,1,2818,,,,,,,
207,20221126,久光,東レ,24,18,a,*,レシーブ成功(優),18,戸江,1,1,2818,,,,,,,
208,20221126,久光,東レ,24,18,a,*,アタック,7,ファンヘッケ,1,1,2818,,,,,,,
