,date,home_team,away_team,home_point,away_point,serve_right,team,skill,player_num,player_name,trainsition,set,url_id,point,in_player_num,in_player_name,out_player_num,out_player_name,timeout
0,20230129,仙台,ヴィアティン,0,0,*,a,サーブ,7,坂口,0,1,3167,,,,,,
1,20230129,仙台,ヴィアティン,0,0,*,*,レシーブ成功(優),10,貝塚,1,1,3167,,,,,,
2,20230129,仙台,ヴィアティン,0,0,*,*,アタック成功,7,村山,1,1,3167,,,,,,
3,20230129,仙台,ヴィアティン,1,0,*,*,,,,1,1,3167,得点,,,,,
4,20230129,仙台,ヴィアティン,1,0,*,*,サーブ,14,中田,0,1,3167,,,,,,
5,20230129,仙台,ヴィアティン,1,0,*,a,レシーブ失敗,9,佐藤,1,1,3167,,,,,,
6,20230129,仙台,ヴィアティン,1,0,*,a,アタック,4,増田,1,1,3167,,,,,,
7,20230129,仙台,ヴィアティン,1,0,*,*,アタック失敗,5,張,2,1,3167,,,,,,
8,20230129,仙台,ヴィアティン,1,1,a,a,,,,2,1,3167,得点,,,,,
9,20230129,仙台,ヴィアティン,1,1,a,a,サーブ,9,佐藤,0,1,3167,,,,,,
10,20230129,仙台,ヴィアティン,1,1,a,*,レシーブ失敗,14,中田,1,1,3167,,,,,,
11,20230129,仙台,ヴィアティン,1,1,a,*,アタック,7,村山,1,1,3167,,,,,,
12,20230129,仙台,ヴィアティン,1,1,a,a,ブロック成功,8,牛頭,2,1,3167,,,,,,
13,20230129,仙台,ヴィアティン,1,2,a,a,,,,2,1,3167,得点,,,,,
14,20230129,仙台,ヴィアティン,1,2,a,a,サーブ,9,佐藤,0,1,3167,,,,,,
15,20230129,仙台,ヴィアティン,1,2,a,*,レシーブ成功(良),14,中田,1,1,3167,,,,,,
16,20230129,仙台,ヴィアティン,1,2,a,*,アタック成功,7,村山,1,1,3167,,,,,,
17,20230129,仙台,ヴィアティン,2,2,*,*,,,,1,1,3167,得点,,,,,
18,20230129,仙台,ヴィアティン,2,2,*,*,サーブ,3,小茂田,0,1,3167,,,,,,
19,20230129,仙台,ヴィアティン,2,2,*,a,レシーブ成功(優),9,佐藤,1,1,3167,,,,,,
20,20230129,仙台,ヴィアティン,2,2,*,a,アタック,8,牛頭,1,1,3167,,,,,,
21,20230129,仙台,ヴィアティン,2,2,*,*,アタック,2,山村,2,1,3167,,,,,,
22,20230129,仙台,ヴィアティン,2,2,*,a,アタック成功,4,増田,3,1,3167,,,,,,
23,20230129,仙台,ヴィアティン,2,3,a,a,,,,3,1,3167,得点,,,,,
24,20230129,仙台,ヴィアティン,2,3,a,a,サーブ,8,牛頭,0,1,3167,,,,,,
25,20230129,仙台,ヴィアティン,2,3,a,*,レシーブ成功(良),14,中田,1,1,3167,,,,,,
26,20230129,仙台,ヴィアティン,2,3,a,*,アタック失敗,5,張,1,1,3167,,,,,,
27,20230129,仙台,ヴィアティン,2,4,a,a,,,,1,1,3167,得点,,,,,
28,20230129,仙台,ヴィアティン,2,4,a,a,サーブミス,8,牛頭,0,1,3167,,,,,,
29,20230129,仙台,ヴィアティン,3,4,*,*,,,,0,1,3167,得点,,,,,
30,20230129,仙台,ヴィアティン,3,4,*,*,サーブ,7,村山,0,1,3167,,,,,,
31,20230129,仙台,ヴィアティン,3,4,*,a,レシーブ成功(良),10,川下,1,1,3167,,,,,,
32,20230129,仙台,ヴィアティン,3,4,*,a,アタック,4,増田,1,1,3167,,,,,,
33,20230129,仙台,ヴィアティン,3,4,*,a,アタック,10,川下,2,1,3167,,,,,,
34,20230129,仙台,ヴィアティン,3,4,*,*,アタック成功,5,張,3,1,3167,,,,,,
35,20230129,仙台,ヴィアティン,4,4,*,*,,,,3,1,3167,得点,,,,,
